# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.10
metadata : {}


# id : NWRW1800000040.10.1.1
최저임금마저 가위질한 미용실

최저임금마저	최저/NNG+임금/NNG+마저/JX
가위질한	가위/NNG+질/XSN+하/XSV+ㄴ/ETM
미용실	미용실/NNG


# id : NWRW1800000040.10.2.1
인턴시급 2971원·주 65시간 근무

인턴시급	인턴/NNG+시급/NNG
2971원·주	2971/SN+원/NNB+·/SP+주/NNG
65시간	65/SN+시간/NNB
근무	근무/NNG


# id : NWRW1800000040.10.3.1
근무 관련 질환치료도 자기돈으로

근무	근무/NNG
관련	관련/NNG
질환치료도	질환/NNG+치료/NNG+도/JX
자기돈으로	자기/NNG+돈/NNG+으로/JKB


# id : NWRW1800000040.10.4.1
전국 유명 프랜차이즈 미용실 등에서 일하는 스텝(인턴 점원)들이 최저임금도 받지 못하는 등 ‘근로기준법 위반 사각지대’에 놓여 있는 것으로 드러났다.

전국	전국/NNG
유명	유명/NNG
프랜차이즈	프랜차이즈/NNG
미용실	미용실/NNG
등에서	등/NNB+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
스텝(인턴	스텝/NNG+(/SS+인턴/NNG
점원)들이	점원/NNG+)/SS+들/XSN+이/JKS
최저임금도	최저/NNG+임금/NNG+도/JX
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
등	등/NNB
‘근로기준법	‘/SS+근로/NNG+기준법/NNG
위반	위반/NNG
사각지대’에	사각지대/NNG+’/SS+에/JKB
놓여	놓이/VV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.10.5.1
청년노동자의 노동조건 개선 등을 위해 만들어진 세대별 노조 ‘청년유니온’은 18일 프랜차이즈 헤어숍의 근로조건 실태조사를 벌인 결과 스텝들의 평균 시급이 2971원으로 최저임금 4580원(2012년 기준)에 크게 미달하는 것으로 나타났다고 18일 밝혔다.

청년노동자의	청년/NNG+노동자/NNG+의/JKG
노동조건	노동/NNG+조건/NNG
개선	개선/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
만들어진	만들/VV+어/EC+지/VX+ㄴ/ETM
세대별	세대/NNG+별/XSN
노조	노조/NNG
‘청년유니온’은	‘/SS+청년유니온/NNP+’/SS+은/JX
18일	18/SN+일/NNB
프랜차이즈	프랜차이즈/NNG
헤어숍의	헤어숍/NNG+의/JKG
근로조건	근로/NNG+조건/NNG
실태조사를	실태/NNG+조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과	결과/NNG
스텝들의	스텝/NNG+들/XSN+의/JKG
평균	평균/NNG
시급이	시급/NNG+이/JKS
