# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.3
metadata : {}


# id : NWRW1800000021.3.1.1
“빅3 흔들릴때…”

“빅3	“/SS+빅/NNG+3/SN
흔들릴때…”	흔들리/VV+ㄹ/ETM+때/NNG+…/SE+”/SS


# id : NWRW1800000021.3.1.2
유럽차 美시장 본격공략

유럽차	유럽/NNP+차/NNG
美시장	美/SH+시장/NNG
본격공략	본격/NNG+공략/NNG


# id : NWRW1800000021.3.2.1
제너럴모터스(GM) 포드 크라이슬러 등 생사의 기로에 선 미국의 ‘빅3’가 유럽 자동차회사들의 미국 시장 공략이라는 새로운 도전에 직면했다고 월스트리트저널이 5일 보도했다.

제너럴모터스(GM)	제너럴모터스/NNP+(/SS+GM/SL+)/SS
포드	포드/NNP
크라이슬러	크라이슬러/NNP
등	등/NNB
생사의	생사/NNG+의/JKG
기로에	기로/NNG+에/JKB
선	서/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
‘빅3’가	‘/SS+빅/NNG+3/SN+’/SS+가/JKS
유럽	유럽/NNP
자동차회사들의	자동차/NNG+회사/NNG+들/XSN+의/JKG
미국	미국/NNP
시장	시장/NNG
공략이라는	공략/NNG+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
도전에	도전/NNG+에/JKB
직면했다고	직면/NNG+하/XSV+았/EP+다고/EC
월스트리트저널이	월스트리트저널/NNP+이/JKS
5일	5/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.3.3.1
이 신문에 따르면 독일 폴크스바겐과 BMW 등 유럽 자동차회사들은 빅3가 고전하는 사이에 신차를 발표하고 마케팅 비용도 크게 늘리는 등 본격적으로 미국 시장 공략에 나섰다.

이	이/MMD
신문에	신문/NNG+에/JKB
따르면	따르/VV+면/EC
독일	독일/NNP
폴크스바겐과	폴크스바겐/NNP+과/JKB
BMW	BMW/SL
등	등/NNB
유럽	유럽/NNP
자동차회사들은	자동차/NNG+회사/NNG+들/XSN+은/JX
빅3가	빅/NNG+3/SN+가/JKS
고전하는	고전/NNG+하/XSV+는/ETM
사이에	사이/NNG+에/JKB
신차를	신차/NNG+를/JKO
발표하고	발표/NNG+하/XSV+고/EC
마케팅	마케팅/NNG
비용도	비용/NNG+도/JX
크게	크/VA+게/EC
늘리는	늘리/VV+는/ETM
본격적으로	본격/NNG+적/XSN+으로/JKB
미국	미국/NNP
시장	시장/NNG
공략에	공략/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.3.4.1
폴크스바겐은 2018년까지 미국 시장에서의 판매량을 3배로 늘리기로 하고 20년 만에 처음으로 미국 공장에 10억 달러를 투자하는 한편 미국 시장을 겨냥한 새로운 모델들을 개발하고 있다.

폴크스바겐은	폴크스바겐/NNP+은/JX
2018년까지	2018/SN+년/NNB+까지/JX
미국	미국/NNP
시장에서의	시장/NNG+에서/JKB+의/JKG
판매량을	판매량/NNG+을/JKO
3배로	3/SN+배/NNG+로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
하고	하/VV+고/EC
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
공장에	공장/NNG+에/JKB
10억	10/SN+억/NR
달러를	달러/NNB+를/JKO
투자하는	투자/NNG+하/XSV+는/ETM
한편	한편/NNG
시장을	시장/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
모델들을	모델/NNG+들/XSN+을/JKO
개발하고	개발/NNG+하/XSV+고/EC
