# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.419
metadata : {}


# id : NWRW1800000022.419.1.1
[그것은 이렇습니다] Q: 우리가 일본표준시를 쓰기 때문에 실제 시간이 30분 차이 난다는데?

[그것은	[/SS+그것/NP+은/JX
이렇습니다]	이렇/VA+습니다/EF+]/SS
Q:	Q/SL+:/SP
우리가	우리/NP+가/JKS
일본표준시를	일본/NNP+표준시/NNG+를/JKO
쓰기	쓰/VV+기/ETN
때문에	때문/NNB+에/JKB
실제	실제/NNG
시간이	시간/NNG+이/JKS
30분	30/SN+분/NNB
차이	차이/NNG
난다는데?	나/VV+ㄴ다는데/EF+?/SF


# id : NWRW1800000022.419.2.1
우리나라에선 일본 표준시를 쓰기 때문에 실제로 해가 가장 높이 떠 있는 시간이 낮 12시가 아니라 낮 12시 30분으로 30분 차이가 난다는데 사실인가요?

우리나라에선	우리나라/NNG+에서/JKB+ㄴ/JX
일본	일본/NNP
표준시를	표준시/NNG+를/JKO
쓰기	쓰/VV+기/ETN
때문에	때문/NNB+에/JKB
실제로	실제로/MAG
해가	해/NNG+가/JKS
가장	가장/MAG
높이	높이/MAG
떠	뜨/VV+어/EC
있는	있/VX+는/ETM
시간이	시간/NNG+이/JKS
낮	낮/NNG
12시가	12/SN+시/NNB+가/JKC
아니라	아니/VCN+라/EC
12시	12/SN+시/NNB
30분으로	30/SN+분/NNB+으로/JKB
30분	30/SN+분/NNB
차이가	차이/NNG+가/JKS
난다는데	나/VV+ㄴ다는데/EC
사실인가요?	사실/NNG+이/VCP+ㄴ가/EF+요/JX+?/SF


# id : NWRW1800000022.419.2.2
사실이라면 그 이유가 궁금합니다.

사실이라면	사실/NNG+이/VCP+라면/EC
그	그/MMD
이유가	이유/NNG+가/JKS
궁금합니다.	궁금하/VA+ㅂ니다/EF+./SF


# id : NWRW1800000022.419.3.1
― 경남 김해시 독자 안효천씨

―	―/SS
경남	경남/NNP
김해시	김해시/NNP
독자	독자/NNG
안효천씨	안효천/NNP+씨/NNB


# id : NWRW1800000022.419.4.1
A: 우리나라 표준시는 100년간 네 차례 바뀌어… 1시간 시차 두기 위해 일본과 같은 동경 135도를 기준으로 정해

A:	A/SL+:/SP
우리나라	우리나라/NNG
표준시는	표준시/NNG+는/JX
100년간	100/SN+년/NNB+간/XSN
네	네/MMN
차례	차례/NNG
바뀌어…	바뀌/VV+어/EF+…/SE
1시간	1/SN+시간/NNB
시차	시차/NNG
두기	두/VV+기/ETN
위해	위하/VV+아/EC
일본과	일본/NNP+과/JKB
같은	같/VA+은/ETM
동경	동경/NNG
135도를	135/SN+도/NNB+를/JKO
기준으로	기준/NNG+으로/JKB
정해	정하/VV+아/EF


# id : NWRW1800000022.419.5.1
우리나라는 일본 표준시와 동일한 동경 135도를 기준으로 시간을 사용하는 게 맞습니다.

우리나라는	우리나라/NNG+는/JX
일본	일본/NNP
표준시와	표준시/NNG+와/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
동경	동경/NNG
135도를	135/SN+도/NNB+를/JKO
기준으로	기준/NNG+으로/JKB
시간을	시간/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
맞습니다.	맞/VV+습니다/EF+./SF


# id : NWRW1800000022.419.5.2
세계의 표준시간은 지난 1884년 미국 워싱턴에서 열린 '만국지도회의'에서 영국 그리니치 천문대를 통과하는 경선을 '본초 자오선'으로 정하고, 경도 15도를 지날 때마다 1시간의 시간차를 두기로 했습니다.

세계의	세계/NNG+의/JKG
표준시간은	표준/NNG+시간/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1884년	1884/SN+년/NNB
미국	미국/NNP
워싱턴에서	워싱턴/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
'만국지도회의'에서	'/SS+만국/NNG+지도/NNG+회의/NNG+'/SS+에서/JKB
영국	영국/NNP
그리니치	그리니치/NNP
천문대를	천문대/NNG+를/JKO
통과하는	통과/NNG+하/XSV+는/ETM
경선을	경선/NNG+을/JKO
'본초	'/SS+본초/NNG
자오선'으로	자오선/NNG+'/SS+으로/JKB
정하고,	정하/VV+고/EC+,/SP
경도	경도/NNG
15도를	15/SN+도/NNB+를/JKO
지날	지나/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
1시간의	1/SN+시간/NNB+의/JKG
시간차를	시간차/NNG+를/JKO
두기로	두/VV+기/ETN+로/JKB
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.419.6.1
하지만 우리나라의 표준시간(우리나라 표준시를 알려주는 세슘원자시계·3만년에 1초정도 틀리는 정밀 시계다)은 지난 100년간 4차례나 변경되는 수난을 겪었습니다.

하지만	하지만/MAJ
우리나라의	우리나라/NNG+의/JKG
표준시간(우리나라	표준/NNG+시간/NNG+(/SS+우리나라/NNG
표준시를	표준시/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
세슘원자시계·3만년에	세슘/NNG+원자/NNG+시계/NNG+·/SP+3/SN+만/NR+년/NNB+에/JKB
1초정도	1/SN+초/NNB+정도/NNG
틀리는	틀리/VV+는/ETM
정밀	정밀/NNG
시계다)은	시계/NNG+이/VCP+다/EF+)/SS+은/JX
지난	지나/VV+ㄴ/ETM
100년간	100/SN+년/NNB+간/XSN
4차례나	4/SN+차례/NNG+나/JX
변경되는	변경/NNG+되/XSV+는/ETM
수난을	수난/NNG+을/JKO
겪었습니다.	겪/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000022.419.6.2
한국표준과학연구원에 따르면 조선시대 말 우리나라 표준시는 중국 산둥반도를 지나는 동경 120도가 기준이었습니다.

한국표준과학연구원에	한국표준과학연구원/NNP+에/JKB
따르면	따르/VV+면/EC
조선시대	조선시대/NNG
말	말/NNB
우리나라	우리나라/NNG
표준시는	표준시/NNG+는/JX
중국	중국/NNP
산둥반도를	산둥반도/NNP+를/JKO
지나는	지나/VV+는/ETM
동경	동경/NNG
120도가	120/SN+도/NNB+가/JKS
기준이었습니다.	기준/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000022.419.6.3
그러다가 서양식 시간대를 처음 도입하면서 1908년 대한제국은 한반도 중앙을 가로지르는 동경 127.5도를 표준시로 선포했습니다.

그러다가	그러/VV+다가/EC
서양식	서양식/NNG
시간대를	시간대/NNG+를/JKO
처음	처음/NNG
도입하면서	도입/NNG+하/XSV+면서/EC
1908년	1908/SN+년/NNB
대한제국은	대한제국/NNP+은/JX
한반도	한반도/NNP
중앙을	중앙/NNG+을/JKO
가로지르는	가로지르/VV+는/ETM
동경	동경/NNG
127.5도를	127/SN+./SP+5/SN+도/NNB+를/JKO
표준시로	표준시/NNG+로/JKB
선포했습니다.	선포/NNG+하/XSV+았/EP+습니다/EF+./SF


# id : NWRW1800000022.419.6.4
이럴경우 일본과는 30분의 시차가 납니다.

이럴경우	이러/VV+ㄹ/ETM+경우/NNG
일본과는	일본/NNP+과/JKB+는/JX
30분의	30/SN+분/NNB+의/JKG
시차가	시차/NNG+가/JKS
납니다.	나/VV+ㅂ니다/EF+./SF


# id : NWRW1800000022.419.7.1
그러나 일제는 조선을 침탈한 뒤 표준시를 일본이 사용하는 동경 135도로 바꿨습니다.

그러나	그러나/MAJ
일제는	일제/NNG+는/JX
조선을	조선/NNP+을/JKO
침탈한	침탈/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
표준시를	표준시/NNG+를/JKO
