# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.16
metadata : {}


# id : NWRW1800000038.16.1.1
[특파원 저널] 영화 '대부' 속 그곳… '리틀 이탈리아' 역사 속으로

[특파원	[/SS+특파원/NNG
저널]	저널/NNG+]/SS
영화	영화/NNG
'대부'	'/SS+대부/NNG+'/SS
속	속/NNG
그곳…	그곳/NP+…/SE
'리틀	'/SS+리틀/NNG
이탈리아'	이탈리아/NNP+'/SS
역사	역사/NNG
속으로	속/NNG+으로/JKB


# id : NWRW1800000038.16.2.1
뉴욕 맨해튼 월세 치솟아 수십년 된 식당 줄줄이 폐업

뉴욕	뉴욕/NNP
맨해튼	맨해튼/NNP
월세	월세/NNG
치솟아	치솟/VV+아/EC
수십년	수십/NR+년/NNB
된	되/VV+ㄴ/ETM
식당	식당/NNG
줄줄이	줄줄이/MAG
폐업	폐업/NNG


# id : NWRW1800000038.16.3.1
레스토랑의 이탈리아어 'Ristorante' 간판이 걸린 식당이 늘어선 미국 뉴욕 맨해튼 남쪽 멀버리가(街).

레스토랑의	레스토랑/NNG+의/JKG
이탈리아어	이탈리아어/NNP
'Ristorante'	'/SS+Ristorante/SL+'/SS
간판이	간판/NNG+이/JKS
걸린	걸리/VV+ㄴ/ETM
식당이	식당/NNG+이/JKS
늘어선	늘어서/VV+ㄴ/ETM
미국	미국/NNP
뉴욕	뉴욕/NNP
맨해튼	맨해튼/NNP
남쪽	남쪽/NNG
멀버리가(街).	멀버리가/NNG+(/SS+街/SH+)/SS+./SF


# id : NWRW1800000038.16.3.2
이 거리 한가운데 1300㎡(393평) 부지에 웅장하게 자리 잡은 붉은 벽돌의 대형 레스토랑 'SPQR' 입구는 24일 철제 셔터로 굳게 닫혀 있었다.

이	이/MMD
거리	거리/NNG
한가운데	한/XPN+가운데/NNG
1300㎡(393평)	1300/SN+㎡/SW+(/SS+393/SN+평/NNB+)/SS
부지에	부지/NNG+에/JKB
웅장하게	웅장하/VA+게/EC
자리	자리/NNG
잡은	잡/VV+은/ETM
붉은	붉/VA+은/ETM
벽돌의	벽돌/NNG+의/JKG
대형	대형/NNG
레스토랑	레스토랑/NNG
'SPQR'	'/SS+SPQR/SL+'/SS
입구는	입구/NNG+는/JX
24일	24/SN+일/NNB
철제	철제/NNG
셔터로	셔터/NNG+로/JKB
굳게	굳/VA+게/EC
닫혀	닫히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.16.3.3
입구 유리문에는 이 가게가 지난 30년간 '미슐랭 가이드' '자가트' 등 세계적 레스토랑 평가업체로부터 받은 고득점 성적표들이 붙어 있다.

입구	입구/NNG
유리문에는	유리문/NNG+에/JKB+는/JX
이	이/MMD
가게가	가게/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
30년간	30/SN+년/NNB+간/XSN
'미슐랭	'/SS+미슐랭/NNP
가이드'	가이드/NNG+'/SS
'자가트'	'/SS+자가트/NNP+'/SS
등	등/NNB
세계적	세계/NNG+적/XSN
레스토랑	레스토랑/NNG
평가업체로부터	평가/NNG+업체/NNG+로부터/JKB
받은	받/VV+은/ETM
고득점	고/XPN+득점/NNG
성적표들이	성적표/NNG+들/XSN+이/JKS
붙어	붙/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.16.3.4
인근 카페 '라 벨라 페라라'도 문이 닫혀 있었다.

인근	인근/NNG
카페	카페/NNG
'라	'/SS+라/NA
벨라	벨라/NNP
페라라'도	페라라/NA+'/SS+도/JX
문이	문/NNG+이/JKS
닫혀	닫히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.16.4.1
영화 '대부' 등 수많은 영화의 배경이 됐던 뉴욕의 '리틀 이탈리아'가 역사 속으로 사라지고 있다.

영화	영화/NNG
'대부'	'/SS+대부/NNG+'/SS
등	등/NNB
수많은	수많/VA+은/ETM
영화의	영화/NNG+의/JKG
배경이	배경/NNG+이/JKC
됐던	되/VV+었/EP+던/ETM
뉴욕의	뉴욕/NNP+의/JKG
'리틀	'/SS+리틀/NNG
이탈리아'가	이탈리아/NNP+'/SS+가/JKS
역사	역사/NNG
속으로	속/NNG+으로/JKB
사라지고	사라지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.16.4.2
1950년 인구조사에서 2149명이 넘었던 이 지역 거주 이탈리아 출생자 수는 2000년 44명을 기록했고, 2010년 조사에서 마침내 '0명'을 찍었다.

1950년	1950/SN+년/NNB
인구조사에서	인구/NNG+조사/NNG+에서/JKB
2149명이	2149/SN+명/NNB+이/JKS
넘었던	넘/VV+었/EP+던/ETM
이	이/MMD
지역	지역/NNG
거주	거주/NNG
이탈리아	이탈리아/NNP
출생자	출생자/NNG
수는	수/NNG+는/JX
2000년	2000/SN+년/NNB
44명을	44/SN+명/NNB+을/JKO
기록했고,	기록/NNG+하/XSV+았/EP+고/EC+,/SP
2010년	2010/SN+년/NNB
조사에서	조사/NNG+에서/JKB
마침내	마침내/MAG
'0명'을	'/SS+0/SN+명/NNB+'/SS+을/JKO
찍었다.	찍/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.16.5.1
원인은 치솟는 월세다.

원인은	원인/NNG+은/JX
치솟는	치솟/VV+는/ETM
월세다.	월세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.16.5.2
뉴욕 부동산 정보 사이트 '핫패즈'에 따르면, 리틀 이탈리아의 주택 월세 중간값은 원룸형이 2750달러(300만원)다.

뉴욕	뉴욕/NNP
부동산	부동산/NNG
정보	정보/NNG
사이트	사이트/NNG
'핫패즈'에	'/SS+핫패즈/NNP+'/SS+에/JKB
따르면,	따르/VV+면/EC+,/SP
리틀	리틀/NNG
이탈리아의	이탈리아/NNP+의/JKG
주택	주택/NNG
월세	월세/NNG
중간값은	중간값/NNG+은/JX
원룸형이	원룸/NNG+형/XSN+이/JKS
2750달러(300만원)다.	2750/SN+달러/NNB+(/SS+300/SN+만/NR+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000038.16.5.3
SPQR은 집주인이 작년 말 재계약을 앞두고 7만5000달러(8100만원)의 월세를 요구했다고 인근 레스토랑 '소피아'의 점원은 24일 말했다.

SPQR은	SPQR/SL+은/JX
집주인이	집주인/NNG+이/JKS
작년	작년/NNG
말	말/NNB
재계약을	재/XPN+계약/NNG+을/JKO
앞두고	앞두/VV+고/EC
7만5000달러(8100만원)의	7/SN+만/NR+5000/SN+달러/NNB+(/SS+8100/SN+만/NR+원/NNB+)/SS+의/JKG
월세를	월세/NNG+를/JKO
요구했다고	요구/NNG+하/XSV+았/EP+다고/EC
인근	인근/NNG
레스토랑	레스토랑/NNG
'소피아'의	'/SS+소피아/NNP+'/SS+의/JKG
점원은	점원/NNG+은/JX
24일	24/SN+일/NNB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.16.5.4
이전 계약의 월세는 4만5000달러였다고 했다.

이전	이전/NNG
계약의	계약/NNG+의/JKG
월세는	월세/NNG+는/JX
4만5000달러였다고	4/SN+만/NR+5000/SN+달러/NNB+이/VCP+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.16.6.1
조개 요릿집 '움베르토'의 이탈리아 출신 매니저는 "집세가 '리틀 이탈리아'에서 이탈리아를 몰아내고 있다"고 했다.

조개	조개/NNG
요릿집	요릿집/NNG
'움베르토'의	'/SS+움베르토/NNP+'/SS+의/JKG
이탈리아	이탈리아/NNP
출신	출신/NNG
매니저는	매니저/NNG+는/JX
"집세가	"/SS+집세/NNG+가/JKS
'리틀	'/SS+리틀/NNG
이탈리아'에서	이탈리아/NNP+'/SS+에서/JKB
이탈리아를	이탈리아/NNP+를/JKO
몰아내고	몰아내/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.16.6.2
움베르토는 1972년 악명 높던 마피아 두목 '미치광이 조' 갈로(Gallo)가 경쟁 조직에 습격을 받아 숨진 장소로 유명하지만, 최근 폐업을 고려 중인 것으로 알려졌다.

움베르토는	움베르토/NNP+는/JX
1972년	1972/SN+년/NNB
악명	악명/NNG
높던	높/VA+던/ETM
마피아	마피아/NNG
두목	두목/NNG
'미치광이	'/SS+미치광이/NNG
조'	조/NNP+'/SS
갈로(Gallo)가	갈로/NNP+(/SS+Gallo/SL+)/SS+가/JKS
경쟁	경쟁/NNG
조직에	조직/NNG+에/JKB
습격을	습격/NNG+을/JKO
받아	받/VV+아/EC
숨진	숨지/VV+ㄴ/ETM
장소로	장소/NNG+로/JKB
유명하지만,	유명/NNG+하/XSA+지만/EC+,/SP
최근	최근/MAG
폐업을	폐업/NNG+을/JKO
고려	고려/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.16.6.3
이탈리아 이민자와 레스토랑이 빠진 자리에는 고급 상점과 아파트가 들어서고 있다.

이탈리아	이탈리아/NNP
이민자와	이민자/NNG+와/JC
레스토랑이	레스토랑/NNG+이/JKS
빠진	빠지/VV+ㄴ/ETM
자리에는	자리/NNG+에/JKB+는/JX
고급	고급/NNG
상점과	상점/NNG+과/JC
아파트가	아파트/NNG+가/JKS
들어서고	들어서/VV+고/EC
있다.	있/VX+다/EF+./SF


