# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.198
metadata : {}


# id : NWRW1800000041.198.1.1
공항버스 ‘꽝’… 안전띠가 살렸다

공항버스	공항버스/NNG
‘꽝’…	‘/SS+꽝/MAG+’/SS+…/SE
안전띠가	안전띠/NNG+가/JKS
살렸다	살리/VV+었/EP+다/EF


# id : NWRW1800000041.198.2.1
영종대교 위에서 트럭 들이받아… 가드레일 없었으면 바다 빠질뻔 버스 앞부분 형체 못알아볼 정도 완파… 승객 10여명 안전띠 매 경상 그쳐

영종대교	영종대교/NNP
위에서	위/NNG+에서/JKB
트럭	트럭/NNG
들이받아…	들이받/VV+아/EC+…/SE
가드레일	가드레일/NNG
없었으면	없/VA+었/EP+으면/EC
바다	바다/NNG
빠질뻔	빠지/VV+ㄹ/ETM+뻔/NNB
버스	버스/NNG
앞부분	앞부분/NNG
형체	형체/NNG
못알아볼	못/MAG+알아보/VV+ㄹ/ETM
정도	정도/NNG
완파…	완파/NNG+…/SE
승객	승객/NNG
10여명	10/SN+여/XSN+명/NNB
안전띠	안전띠/NNG
매	매/VV+어/EC
경상	경상/NNG
그쳐	그치/VV+어/EF


# id : NWRW1800000041.198.3.1
인천 영종대교 한복판에서 버스가 트럭을 들이받고 바다로 추락할 뻔한 아찔한 사고가 났다.

인천	인천/NNP
영종대교	영종대교/NNP
한복판에서	한/XPN+복판/NNG+에서/JKB
버스가	버스/NNG+가/JKS
트럭을	트럭/NNG+을/JKO
들이받고	들이받/VV+고/EC
바다로	바다/NNG+로/JKB
추락할	추락/NNG+하/XSV+ㄹ/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
아찔한	아찔/MAG+하/XSA+ㄴ/ETM
사고가	사고/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.198.3.2
10여 명의 승객은 모두 안전띠를 매고 있어 가벼운 부상에 그쳤다.

10여	10/SN+여/XSN
명의	명/NNB+의/JKG
승객은	승객/NNG+은/JX
모두	모두/MAG
안전띠를	안전띠/NNG+를/JKO
매고	매/VV+고/EC
있어	있/VX+어/EC
가벼운	가볍/VA+ㄴ/ETM
부상에	부상/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.198.3.3
안전띠 착용처럼 기본 안전수칙을 지키면 참혹한 결과를 막을 수 있다는 것을 또 한 번 보여준 사고였다.

안전띠	안전띠/NNG
착용처럼	착용/NNG+처럼/JKB
기본	기본/NNG
안전수칙을	안전/NNG+수칙/NNG+을/JKO
지키면	지키/VV+면/EC
참혹한	참혹/NNG+하/XSA+ㄴ/ETM
결과를	결과/NNG+를/JKO
막을	막/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
또	또/MAG
한	한/MMN
번	번/NNB
보여준	보이/VV+어/EC+주/VX+ㄴ/ETM
사고였다.	사고/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.198.4.1
14일 오전 9시 55분경 인천공항 방향 영종대교 상부도로(왕복 6차로) 중간지점 1차로에서 장모 씨(56)가 운전하던 공항리무진버스(6100번)가 중앙분리대 청소 준비를 위해 서행하던 25t 신호트럭을 들이받았다.

14일	14/SN+일/NNB
오전	오전/NNG
9시	9/SN+시/NNB
55분경	55/SN+분/NNB+경/XSN
인천공항	인천공항/NNP
방향	방향/NNG
영종대교	영종대교/NNP
상부도로(왕복	상부/NNG+도로/NNG+(/SS+왕복/NNG
6차로)	6/SN+차로/NNG+)/SS
중간지점	중간/NNG+지점/NNG
1차로에서	1/SN+차로/NNG+에서/JKB
장모	장/NNP+모/NP
씨(56)가	씨/NNB+(/SS+56/SN+)/SS+가/JKS
운전하던	운전/NNG+하/XSV+던/ETM
공항리무진버스(6100번)가	공항/NNG+리무진/NNG+버스/NNG+(/SS+6100/SN+번/NNB+)/SS+가/JKS
중앙분리대	중앙/NNG+분리대/NNG
청소	청소/NNG
준비를	준비/NNG+를/JKO
위해	위하/VV+아/EC
서행하던	서행/NNG+하/XSV+던/ETM
25t	25/SN+t/SW
신호트럭을	신호/NNG+트럭/NNG+을/JKO
들이받았다.	들이받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.198.5.1
운전자 장 씨가 신호트럭을 들이받고 급히 핸들을 꺾은 탓에 버스가 끝 차로로 방향을 틀면서 약 40m 아래 바다로 추락할 뻔했지만 교량에 설치된 높이 1.2m 규모의 강철(지름 20cm)로 된 가드레일을 들이받고 멈춰 섰다.

운전자	운전자/NNG
장	장/NNP
씨가	씨/NNB+가/JKS
신호트럭을	신호/NNG+트럭/NNG+을/JKO
들이받고	들이받/VV+고/EC
급히	급히/MAG
핸들을	핸들/NNG+을/JKO
꺾은	꺾/VV+은/ETM
탓에	탓/NNG+에/JKB
버스가	버스/NNG+가/JKS
끝	끝/NNG
차로로	차로/NNG+로/JKB
방향을	방향/NNG+을/JKO
틀면서	틀/VV+면서/EC
약	약/MMA
40m	40/SN+m/SW
아래	아래/NNG
바다로	바다/NNG+로/JKB
추락할	추락/NNG+하/XSV+ㄹ/ETM
뻔했지만	뻔/NNB+하/XSA+았/EP+지만/EC
교량에	교량/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
높이	높이/NNG
1.2m	1/SN+./SP+2/SN+m/SW
규모의	규모/NNG+의/JKG
강철(지름	강철/NNG+(/SS+지름/NNG
20cm)로	20/SN+cm/SW+)/SS+로/JKB
된	되/VV+ㄴ/ETM
가드레일을	가드레일/NNG+을/JKO
멈춰	멈추/VV+어/EC
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.198.5.2
이 사고로 버스의 앞부분이 형체를 알아볼 수 없을 정도로 완파되고, 신호트럭 뒷부분이 반파될 정도로 큰 충격이 발생해 장 씨와 신호트럭 운전사 김모 씨(39)가 얼굴과 목 등을 크게 다쳤다.

이	이/MMD
사고로	사고/NNG+로/JKB
버스의	버스/NNG+의/JKG
앞부분이	앞부분/NNG+이/JKS
형체를	형체/NNG+를/JKO
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
정도로	정도/NNG+로/JKB
완파되고,	완파/NNG+되/XSV+고/EC+,/SP
신호트럭	신호/NNG+트럭/NNG
뒷부분이	뒷부분/NNG+이/JKS
반파될	반파/NNG+되/XSV+ㄹ/ETM
큰	크/VA+ㄴ/ETM
충격이	충격/NNG+이/JKS
발생해	발생/NNG+하/XSV+아/EC
장	장/NNP
씨와	씨/NNB+와/JC
운전사	운전사/NNG
김모	김/NNP+모/NP
씨(39)가	씨/NNB+(/SS+39/SN+)/SS+가/JKS
얼굴과	얼굴/NNG+과/JC
목	목/NNG
등을	등/NNB+을/JKO
크게	크/VA+게/EC
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.198.5.3
하지만 승객 10여 명은 모두 안전띠를 매고 있어 좌석에서 튕겨나가거나 유리창 등에 부딪치지 않았고 대부분 경상에 그쳤다.

하지만	하지만/MAJ
승객	승객/NNG
10여	10/SN+여/XSN
명은	명/NNB+은/JX
모두	모두/MAG
안전띠를	안전띠/NNG+를/JKO
매고	매/VV+고/EC
있어	있/VX+어/EC
좌석에서	좌석/NNG+에서/JKB
튕겨나가거나	튕기/VV+어/EC+나가/VX+거나/EC
유리창	유리창/NNG
등에	등/NNB+에/JKB
부딪치지	부딪치/VV+지/EC
않았고	않/VX+았/EP+고/EC
대부분	대/XPN+부분/NNG
경상에	경상/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.198.6.1
승객 김모 씨는 경찰의 피해자 조사에서 “사고 당시 충격으로 몸이 뒤로 젖혀졌다가 앞으로 쏠리면서 목을 다쳤지만 안전띠 때문에 큰 부상을 입지 않았다”고 진술했다.

승객	승객/NNG
김모	김/NNP+모/NP
씨는	씨/NNB+는/JX
경찰의	경찰/NNG+의/JKG
피해자	피해자/NNG
조사에서	조사/NNG+에서/JKB
“사고	“/SS+사고/NNG
당시	당시/NNG
충격으로	충격/NNG+으로/JKB
몸이	몸/NNG+이/JKS
뒤로	뒤/NNG+로/JKB
젖혀졌다가	젖혀지/VV+었/EP+다가/EC
앞으로	앞/NNG+으로/JKB
쏠리면서	쏠리/VV+면서/EC
목을	목/NNG+을/JKO
다쳤지만	다치/VV+었/EP+지만/EC
안전띠	안전띠/NNG
때문에	때문/NNB+에/JKB
큰	크/VA+ㄴ/ETM
부상을	부상/NNG+을/JKO
입지	입/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.198.7.1
정지균 인천고속도로순찰대장은 “장 씨가 버스회사의 안전관리 방침에 따라 승객들이 탈 때마다 안전띠 착용을 확인해 승객들이 모두 안전띠를 맨 것으로 확인됐다”며 “안전띠를 매지 않았다면 강한 추돌과 급격한 방향 전환에 따른 충격으로 승객들이 크게 다쳤을 것”이라고 말했다.

정지균	정지균/NNP
인천고속도로순찰대장은	인천/NNP+고속/NNG+도로/NNG+순찰대장/NNG+은/JX
“장	“/SS+장/NNP
