# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.90
metadata : {}


# id : NWRW1800000032.90.1.1
신흥국들 “물가 잡자” 기준금리 인상 /선진국서 돈 몰려 ‘통화절상’ 딜레마

신흥국들	신흥국/NNG+들/XSN
“물가	“/SS+물가/NNG
잡자”	잡/VV+자/EF+”/SS
기준금리	기준/NNG+금리/NNG
인상	인상/NNG
/선진국서	//SP+선진국/NNG+서/JKB
돈	돈/NNG
몰려	몰리/VV+어/EC
‘통화절상’	‘/SS+통화/NNG+절상/NNG+’/SS
딜레마	딜레마/NNG


# id : NWRW1800000032.90.2.1
‘물가와의 전쟁’ 또다른 변수

‘물가와의	‘/SS+물가/NNG+와/JKB+의/JKG
전쟁’	전쟁/NNG+’/SS
또다른	또/MAG+다른/MMD
변수	변수/NNG


# id : NWRW1800000032.90.3.1
일부 국가들에서 잇단 기준금리 인상으로 저금리 시대가 저물어가고 있다.

일부	일부/NNG
국가들에서	국가/NNG+들/XSN+에서/JKB
잇단	잇달/VV+ㄴ/ETM
기준금리	기준/NNG+금리/NNG
인상으로	인상/NNG+으로/JKB
저금리	저/XPN+금리/NNG
시대가	시대/NNG+가/JKS
저물어가고	저물/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.90.3.2
치솟는 물가를 좌시할 수 없기 때문이다.

치솟는	치솟/VV+는/ETM
물가를	물가/NNG+를/JKO
좌시할	좌시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.90.3.3
하지만 선진 경제권과 신흥국 사이의 금리 차이가 더 벌어지면서, 각국 통화당국은 딜레마에 빠졌다.

하지만	하지만/MAJ
선진	선진/NNG
경제권과	경제/NNG+권/XSN+과/JC
신흥국	신흥국/NNG
사이의	사이/NNG+의/JKG
금리	금리/NNG
차이가	차이/NNG+가/JKS
더	더/MAG
벌어지면서,	벌어지/VV+면서/EC+,/SP
각국	각국/NNG
통화당국은	통화/NNG+당국/NNG+은/JX
딜레마에	딜레마/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.90.4.1
브라질 중앙은행은 지난 19일 기준금리를 11.25%로 0.5%포인트 올렸다.

브라질	브라질/NNP
중앙은행은	중앙은행/NNG+은/JX
지난	지나/VV+ㄴ/ETM
19일	19/SN+일/NNB
기준금리를	기준/NNG+금리/NNG+를/JKO
11.25%로	11/SN+./SP+25/SN+%/SW+로/JKB
0.5%포인트	0/SN+./SP+5/SN+%/SW+포인트/NNG
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.90.4.2
브라질의 기준금리는 선진 경제권과 신흥국들을 통틀어 최고 수준이다.

브라질의	브라질/NNP+의/JKG
기준금리는	기준/NNG+금리/NNG+는/JX
선진	선진/NNG
경제권과	경제/NNG+권/XSN+과/JC
신흥국들을	신흥국/NNG+들/XSN+을/JKO
통틀어	통틀/VV+어/EC
최고	최고/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.90.4.3
지우마 호세프 대통령이 집권하자마자 물가 고삐 잡기에 나선 것은 지난달 물가상승률이 5.9%로 6년 만에 최고치를 보였기 때문이다.

지우마	지우마/NNP
호세프	호세프/NNP
대통령이	대통령/NNG+이/JKS
집권하자마자	집권/NNG+하/XSV+자마자/EC
물가	물가/NNG
고삐	고삐/NNG
잡기에	잡/VV+기/ETN+에/JKB
나선	나서/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난달	지난달/NNG
물가상승률이	물가/NNG+상승/NNG+률/XSN+이/JKS
5.9%로	5/SN+./SP+9/SN+%/SW+로/JKB
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
최고치를	최고/NNG+치/XSN+를/JKO
보였기	보이/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.90.4.4
최근 리우데자네이루에서 700여명의 사망자를 낸 폭우도 농산품 가격을 더 밀어올렸다.

최근	최근/NNG
리우데자네이루에서	리우데자네이루/NNP+에서/JKB
700여명의	700/SN+여/XSN+명/NNB+의/JKG
사망자를	사망자/NNG+를/JKO
낸	내/VV+ㄴ/ETM
폭우도	폭우/NNG+도/JX
농산품	농산품/NNG
가격을	가격/NNG+을/JKO
더	더/MAG
밀어올렸다.	밀/VV+어/EC+올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.90.4.5
번번이 초인플레이션에 발목을 잡힌 역사를 지닌 브라질로서는 물가 상승의 악몽이 무엇보다 두렵다.

번번이	번번이/MAG
초인플레이션에	초/XPN+인플레이션/NNG+에/JKB
발목을	발목/NNG+을/JKO
잡힌	잡히/VV+ㄴ/ETM
역사를	역사/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
브라질로서는	브라질/NNP+로서/JKB+는/JX
물가	물가/NNG
상승의	상승/NNG+의/JKG
악몽이	악몽/NNG+이/JKS
무엇보다	무엇/NP+보다/JKB
두렵다.	두렵/VA+다/EF+./SF


# id : NWRW1800000032.90.5.1
역시 높은 물가상승률에 시달리는 중국도 지난해 말 기준금리를 두 달 만에 올렸다.

역시	역시/MAG
높은	높/VA+은/ETM
물가상승률에	물가/NNG+상승/NNG+률/XSN+에/JKB
시달리는	시달리/VV+는/ETM
중국도	중국/NNP+도/JX
지난해	지난해/NNG
말	말/NNB
기준금리를	기준/NNG+금리/NNG+를/JKO
두	두/MMN
달	달/NNB
만에	만/NNB+에/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.90.5.2
지난해 여섯 차례나 기준금리를 올려 6.25%에 이른 인도도 이달 재인상이 유력시된다.

지난해	지난해/NNG
여섯	여섯/NR
차례나	차례/NNG+나/JX
기준금리를	기준/NNG+금리/NNG+를/JKO
올려	올리/VV+어/EC
