# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.253
metadata : {}


# id : NWRW1800000024.253.1.1
“제2외곽순환도로 지상관통 대신 지하화해야” /청라지구 입주예정자들 집단행동

“제2외곽순환도로	“/SS+제2외곽순환도로/NNP
지상관통	지상/NNG+관통/NNG
대신	대신/NNG
지하화해야”	지하/NNG+화/XSN+하/XSV+아야/EC+”/SS
/청라지구	//SP+청라지구/NNP
입주예정자들	입주/NNG+예정자/NNG+들/XSN
집단행동	집단행동/NNG


# id : NWRW1800000024.253.2.1
국토해양부가 경제자유구역인 인천 청라지구를 관통하는 민자 고속도로를 지상으로 추진해 논란이 일고 있는 가운데, 이 지역 입주예정자들이 도로의 지하화를 요구하며 집단행동을 시작했다.

국토해양부가	국토/NNG+해양부/NNG+가/JKS
경제자유구역인	경제/NNG+자유/NNG+구역/NNG+이/VCP+ㄴ/ETM
인천	인천/NNP
청라지구를	청라지구/NNP+를/JKO
관통하는	관통/NNG+하/XSV+는/ETM
민자	민자/NNG
고속도로를	고속/NNG+도로/NNG+를/JKO
지상으로	지상/NNG+으로/JKB
추진해	추진/NNG+하/XSV+아/EC
논란이	논란/NNG+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
가운데,	가운데/NNG+,/SP
이	이/MMD
지역	지역/NNG
입주예정자들이	입주/NNG+예정자/NNG+들/XSN+이/JKS
도로의	도로/NNG+의/JKG
지하화를	지하/NNG+화/XSN+를/JKO
요구하며	요구/NNG+하/XSV+며/EC
집단행동을	집단행동/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.3.1
ㄷ아파트 등 청라지구 입주예정자 대표 60여명은 16일 오후 토지공사 청라지구사업소에 몰려가 고속도로의 지하건설을 요구했다.

ㄷ아파트	ㄷ/NNG+아파트/NNG
등	등/NNB
청라지구	청라지구/NNP
입주예정자	입주/NNG+예정자/NNG
대표	대표/NNG
60여명은	60/SN+여/XSN+명/NNB+은/JX
16일	16/SN+일/NNB
오후	오후/NNG
토지공사	토지공사/NNP
청라지구사업소에	청라지구/NNP+사업소/NNG+에/JKB
몰려가	몰려가/VV+아/EC
고속도로의	고속/NNG+도로/NNG+의/JKG
지하건설을	지하/NNG+건설/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.4.1
입주예정자들은 “인천구간 도로 중 경제자유구역인 청라지구만 지상으로 건설하기로 한 것을 도저히 이해할 수 없다”며, “형평에 맞게 청라지구도 지하로 건설해달라”고 요구했다.

입주예정자들은	입주/NNG+예정자/NNG+들/XSN+은/JX
“인천구간	“/SS+인천/NNP+구간/NNG
도로	도로/NNG
중	중/NNB
경제자유구역인	경제/NNG+자유/NNG+구역/NNG+이/VCP+ㄴ/ETM
청라지구만	청라지구/NNP+만/JX
지상으로	지상/NNG+으로/JKB
건설하기로	건설/NNG+하/XSV+기/ETN+로/JKB
한	하/VV+ㄴ/ETM
것을	것/NNB+을/JKO
도저히	도저히/MAG
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며,	없/VA+다/EF+”/SS+며/EC+,/SP
“형평에	“/SS+형평/NNG+에/JKB
맞게	맞/VV+게/EC
청라지구도	청라지구/NNP+도/JX
지하로	지하/NNG+로/JKB
건설해달라”고	건설/NNG+하/XSV+아/EC+달/VX+라/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.4.2
제2외곽순환고속도로 인천~김포구간은 28.57㎞로, 청라지역 4.75㎞를 제외한 인천구간은 모두 터널도로로 설계돼 있다.

제2외곽순환고속도로	제2외곽순환고속도로/NNP
인천~김포구간은	인천/NNP+~/SO+김포/NNP+구간/NNG+은/JX
28.57㎞로,	28/SN+./SP+57/SN+㎞/SW+로/JKB+,/SP
청라지역	청라지역/NNP
4.75㎞를	4/SN+./SP+75/SN+㎞/SW+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
인천구간은	인천/NNP+구간/NNG+은/JX
모두	모두/MAG
터널도로로	터널/NNG+도로/NNG+로/JKB
설계돼	설계/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.253.5.1
이들은 또 “도로 주변 아파트 분양이 끝난 후 국제업무지역 노선에 한해 토지공사가 공사비를 부담하는 조건으로 지하로 건설하겠다고 언론에 발표한 것은 주민들을 우롱한 처사”라며 반발했다.

이들은	이/NP+들/XSN+은/JX
또	또/MAG
“도로	“/SS+도로/NNG
주변	주변/NNG
아파트	아파트/NNG
분양이	분양/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
후	후/NNG
국제업무지역	국제/NNG+업무/NNG+지역/NNG
노선에	노선/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
토지공사가	토지공사/NNP+가/JKS
공사비를	공사비/NNG+를/JKO
부담하는	부담/NNG+하/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
지하로	지하/NNG+로/JKB
건설하겠다고	건설/NNG+하/XSV+겠/EP+다고/EC
언론에	언론/NNG+에/JKB
발표한	발표/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
주민들을	주민/NNG+들/XSN+을/JKO
우롱한	우롱/NNG+하/XSV+ㄴ/ETM
처사”라며	처사/NNG+”/SS+이/VCP+라며/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.5.2
이들은 “밤에는 아무도 없는 국제업무지구는 중요하고, 24시간 사람이 사는 거주지는 중요하지 않단 말이냐”며 분통을 터뜨렸다.

이들은	이/NP+들/XSN+은/JX
“밤에는	“/SS+밤/NNG+에/JKB+는/JX
아무도	아무/NP+도/JX
없는	없/VA+는/ETM
국제업무지구는	국제/NNG+업무/NNG+지구/NNG+는/JX
중요하고,	중요/NNG+하/XSA+고/EC+,/SP
24시간	24/SN+시간/NNB
사람이	사람/NNG+이/JKS
사는	살/VV+는/ETM
거주지는	거주지/NNG+는/JX
중요하지	중요/NNG+하/XSA+지/EC
않단	않/VX+단/ETM
말이냐”며	말/NNG+이/VCP+냐/EF+”/SS+며/EC
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.253.5.3
이 도로 환경영향평가서에는 지상화에 따른 소음피해가 낮에는 최고 69.3㏈(데시벨), 야간 60.2㏈로 기준치인 65, 55㏈을 모두 초과했으며, 저감대책으로 2~16m의 방음벽을 설치한다고만 돼 있다.

이	이/MMD
도로	도로/NNG
환경영향평가서에는	환경/NNG+영향/NNG+평가서/NNG+에/JKB+는/JX
지상화에	지상/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
소음피해가	소음/NNG+피해/NNG+가/JKS
낮에는	낮/NNG+에/JKB+는/JX
최고	최고/NNG
69.3㏈(데시벨),	69/SN+./SP+3/SN+㏈/SW+(/SS+데시벨/NNB+)/SS+,/SP
야간	야간/NNG
60.2㏈로	60/SN+./SP+2/SN+㏈/SW+로/JKB
기준치인	기준/NNG+치/XSN+이/VCP+ㄴ/ETM
65,	65/SN+,/SP
55㏈을	55/SN+㏈/SW+을/JKO
모두	모두/MAG
초과했으며,	초과/NNG+하/XSV+았/EP+으며/EC+,/SP
저감대책으로	저감/NNG+대책/NNG+으로/JKB
2~16m의	2/SN+~/SO+16/SN+m/SW+의/JKG
방음벽을	방음벽/NNG+을/JKO
설치한다고만	설치/NNG+하/XSV+ㄴ다고/EC+만/JX
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.253.6.1
사업시행자인 토지공사는 이날 “고속도로 사업은 국토해양부 소관 업무이지만, 지하로 건설하도록 국토부와 건설사에 적극 건의하겠다”며 책임을 떠넘기려는 태도를 보여, 입주예정자들과 마찰을 빚었다.

사업시행자인	사업/NNG+시행자/NNG+이/VCP+ㄴ/ETM
토지공사는	토지공사/NNP+는/JX
이날	이날/NNG
“고속도로	“/SS+고속/NNG+도로/NNG
사업은	사업/NNG+은/JX
국토해양부	국토/NNG+해양부/NNG
소관	소관/NNG
업무이지만,	업무/NNG+이/VCP+지만/EC+,/SP
지하로	지하/NNG+로/JKB
건설하도록	건설/NNG+하/XSV+도록/EC
국토부와	국토부/NNG+와/JC
건설사에	건설사/NNG+에/JKB
적극	적극/NNG
건의하겠다”며	건의/NNG+하/XSV+겠/EP+다/EF+”/SS+며/EC
책임을	책임/NNG+을/JKO
떠넘기려는	떠넘기/VV+려는/ETM
태도를	태도/NNG+를/JKO
보여,	보이/VV+어/EC+,/SP
입주예정자들과	입주/NNG+예정자/NNG+들/XSN+과/JKB
마찰을	마찰/NNG+을/JKO
빚었다.	빚/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.253.6.2
입주예정자들은 지하화 요구가 반영될 때까지 국토부, 인천경제청 등을 돌며 집단 시위를 계속하겠다고 밝혔다.

입주예정자들은	입주/NNG+예정자/NNG+들/XSN+은/JX
지하화	지하/NNG+화/XSN
요구가	요구/NNG+가/JKS
반영될	반영/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
국토부,	국토부/NNG+,/SP
인천경제청	인천경제청/NNP
등을	등/NNB+을/JKO
돌며	돌/VV+며/EC
집단	집단/NNG
시위를	시위/NNG+를/JKO
계속하겠다고	계속/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.253.7.1
토지공사는 이날 기자에게 “국제업무타운지역 1.16㎞와 아파트 단지 등 1.9㎞를 지하로 건설해주도록 고속도로 건설사에 요구했다”며, “아파트 단지 등 국제업무지역 양쪽을 개방형으로 건설하는 방안을 검토하고 있다”고 말했다.

토지공사는	토지공사/NNP+는/JX
이날	이날/NNG
기자에게	기자/NNG+에게/JKB
“국제업무타운지역	“/SS+국제업무타운지역/NNP
1.16㎞와	1/SN+./SP+16/SN+㎞/SW+와/JC
아파트	아파트/NNG
단지	단지/NNG
등	등/NNB
1.9㎞를	1/SN+./SP+9/SN+㎞/SW+를/JKO
지하로	지하/NNG+로/JKB
건설해주도록	건설/NNG+하/XSV+아/EC+주/VX+도록/EC
고속도로	고속/NNG+도로/NNG
건설사에	건설사/NNG+에/JKB
요구했다”며,	요구/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC+,/SP
“아파트	“/SS+아파트/NNG
국제업무지역	국제/NNG+업무/NNG+지역/NNG
양쪽을	양쪽/NNG+을/JKO
개방형으로	개방/NNG+형/XSN+으로/JKB
건설하는	건설/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.7.2
국토해양부 관계자는 “토지공사가 공사비 부담을 전제로 국제업무타운에 한해 지하로 건설하는 것을 건설사와 협의중이지만, 나머지 지역은 건설을 하면서 사후 환경영향평가를 통해 소음 문제 등을 보완할 계획”이라고 말했다.

국토해양부	국토/NNG+해양부/NNG
관계자는	관계자/NNG+는/JX
“토지공사가	“/SS+토지공사/NNP+가/JKS
공사비	공사비/NNG
부담을	부담/NNG+을/JKO
전제로	전제/NNG+로/JKB
국제업무타운에	국제업무타운/NNP+에/JKB
한해	한/NNG+하/XSV+아/EC
지하로	지하/NNG+로/JKB
건설하는	건설/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
건설사와	건설사/NNG+와/JKB
협의중이지만,	협의/NNG+중/NNB+이/VCP+지만/EC+,/SP
나머지	나머지/NNG
지역은	지역/NNG+은/JX
건설을	건설/NNG+을/JKO
하면서	하/VV+면서/EC
사후	사후/NNG
환경영향평가를	환경/NNG+영향/NNG+평가/NNG+를/JKO
통해	통하/VV+아/EC
소음	소음/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
보완할	보완/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.7.3
그러나 이 관계자는 “지하로 했을 경우 추가 건설비용과 기술적 문제를 검토해보라고 건설사에 구두로 지시했다”며, “결과가 나오면 비용부담 문제를 놓고 심도있게 검토해 보겠다”고 말했다.

그러나	그러나/MAJ
이	이/MMD
관계자는	관계자/NNG+는/JX
“지하로	“/SS+지하/NNG+로/JKB
했을	하/VV+았/EP+을/ETM
경우	경우/NNG
추가	추가/NNG
건설비용과	건설/NNG+비용/NNG+과/JC
기술적	기술/NNG+적/XSN
문제를	문제/NNG+를/JKO
검토해보라고	검토/NNG+하/XSV+아/EC+보/VX+라고/EC
건설사에	건설사/NNG+에/JKB
구두로	구두/NNG+로/JKB
지시했다”며,	지시/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC+,/SP
“결과가	“/SS+결과/NNG+가/JKS
나오면	나오/VV+면/EC
비용부담	비용/NNG+부담/NNG
놓고	놓/VV+고/EC
심도있게	심도/NNG+있/VA+게/EC
검토해	검토/NNG+하/XSV+아/EC
보겠다”고	보/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.8.1
하지만 고속도로 건설사 관계자는 “국제업무타운 지역을 지하로 건설하는 방안에 대해 협의중이지만 구체적인 지하화 구간에 대해선 언급된 부분이 없다”고 말했다.

하지만	하지만/MAJ
고속도로	고속/NNG+도로/NNG
건설사	건설사/NNG
관계자는	관계자/NNG+는/JX
“국제업무타운	“/SS+국제업무타운/NNP
지역을	지역/NNG+을/JKO
지하로	지하/NNG+로/JKB
건설하는	건설/NNG+하/XSV+는/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
협의중이지만	협의/NNG+중/NNB+이/VCP+지만/EC
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
지하화	지하/NNG+화/XSN
구간에	구간/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
언급된	언급/NNG+되/XSV+ㄴ/ETM
부분이	부분/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.253.9.1
주변 환경을 고려하지 않고 타당성(경제성)이 떨어진다는 이유로 경제자유구역을 두동강 내는 도로를 건설하겠다는 국토해양부의 무책임한 발상과, 토지 매각 등 돈벌이에만 급급한 토지공사의 행태에 우려하는 목소리도 나온다.

주변	주변/NNG
환경을	환경/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
타당성(경제성)이	타당성/NNG+(/SS+경제/NNG+성/XSN+)/SS+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
