# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.80
metadata : {}


# id : NWRW1800000048.80.1.1
“수입맥주 할인제한 검토한 적 없어”

“수입맥주	“/SS+수입/NNG+맥주/NNG
할인제한	할인/NNG+제한/NNG
검토한	검토/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없어”	없/VA+어/EF+”/SS


# id : NWRW1800000048.80.2.1
기재부, 소비자 불만 커지자 해명

기재부,	기재부/NNG+,/SP
소비자	소비자/NNG
불만	불만/NNG
커지자	커지/VV+자/EC
해명	해명/NNG


# id : NWRW1800000048.80.3.1
정부가 논란이 확산되고 있는 수입맥주 할인판매 제한에 대해 “검토한 적이 없다”고 밝혔다.

정부가	정부/NNG+가/JKS
논란이	논란/NNG+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
수입맥주	수입/NNG+맥주/NNG
할인판매	할인/NNG+판매/NNG
제한에	제한/NNG+에/JKB
대해	대하/VV+아/EC
“검토한	“/SS+검토/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.80.4.1
임재현 기획재정부 재산소비세정책관은 19일 오후 기자브리핑을 열어 “정부가 수입맥주 가격 할인을 금지한다는 일부 언론 보도들이 나오고 있는데, 전혀 사실이 아니다.

임재현	임재현/NNP
기획재정부	기획/NNG+재정부/NNG
재산소비세정책관은	재산/NNG+소비세/NNG+정책관/NNG+은/JX
19일	19/SN+일/NNB
오후	오후/NNG
기자브리핑을	기자/NNG+브리핑/NNG+을/JKO
열어	열/VV+어/EC
“정부가	“/SS+정부/NNG+가/JKS
수입맥주	수입/NNG+맥주/NNG
가격	가격/NNG
할인을	할인/NNG+을/JKO
금지한다는	금지/NNG+하/XSV+ㄴ다는/ETM
일부	일부/NNG
언론	언론/NNG
보도들이	보도/NNG+들/XSN+이/JKS
나오고	나오/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
전혀	전혀/MAG
사실이	사실/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.80.4.2
검토한 적도 없다”고 말했다.

검토한	검토/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.80.5.1
수입맥주 할인 제한을 둘러싼 논란은 지난달 27일 주형환 기재부 1차관 주재로 열린 ‘투자·수출 애로 해소 간담회’에서 국내 맥주 업계가 수입 맥주의 할인판매 문제를 건의했고, 정부가 제도개선 방안을 마련하겠다고 밝힌 것으로 알려지면서 불거졌다.

수입맥주	수입/NNG+맥주/NNG
할인	할인/NNG
제한을	제한/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란은	논란/NNG+은/JX
지난달	지난달/NNG
27일	27/SN+일/NNB
주형환	주형환/NNP
기재부	기재부/NNG
1차관	1/SN+차관/NNG
주재로	주재/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
‘투자·수출	‘/SS+투자/NNG+·/SP+수출/NNG
애로	애로/NNG
해소	해소/NNG
