# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.59
metadata : {}


# id : NWRW1800000038.59.1.1
66세 이장희, 가수 2막 시작… "나 관객에게 모두 드리리"

66세	66/SN+세/NNB
이장희,	이장희/NNP+,/SP
가수	가수/NNG
2막	2/SN+막/NNB
시작…	시작/NNG+…/SE
"나	"/SS+나/NP
관객에게	관객/NNG+에게/JKB
모두	모두/MAG
드리리"	드리/VV+리/EF+"/SS


# id : NWRW1800000038.59.2.1
데뷔 42년 만에 첫 전국 투어

데뷔	데뷔/NNG
42년	42/SN+년/NNB
만에	만/NNB+에/JKB
첫	첫/MMN
전국	전국/NNG
투어	투어/NNG


# id : NWRW1800000038.59.3.1
60대 노장 가수와의 대화는 거듭 '혼신'과 '행복'으로 수렴됐다.

60대	60/SN+대/NNB
노장	노장/NNG
가수와의	가수/NNG+와/JKB+의/JKG
대화는	대화/NNG+는/JX
거듭	거듭/MAG
'혼신'과	'/SS+혼신/NNG+'/SS+과/JC
'행복'으로	'/SS+행복/NNG+'/SS+으로/JKB
수렴됐다.	수렴/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.59.3.2
1970년대 직접 작사·작곡한 노래 '나 그대에게 모두 드리리' '그건 너' '한 잔의 추억' 등을 히트시키며 스타덤에 올랐던 '세시봉 시대'의 주역 이장희(66).

1970년대	1970/SN+년대/NNB
직접	직접/MAG
작사·작곡한	작사/NNG+·/SP+작곡/NNG+하/XSV+ㄴ/ETM
노래	노래/NNG
'나	'/SS+나/NP
그대에게	그대/NP+에게/JKB
모두	모두/MAG
드리리'	드리/VV+리/EF+'/SS
'그건	'/SS+그거/NP+ㄴ/JX
너'	너/NP+'/SS
'한	'/SS+한/MMN
잔의	잔/NNG+의/JKG
추억'	추억/NNG+'/SS
등을	등/NNB+을/JKO
히트시키며	히트/NNG+시키/XSV+며/EC
스타덤에	스타덤/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
'세시봉	'/SS+세시봉/NNP
시대'의	시대/NNG+'/SS+의/JKG
주역	주역/NNG
이장희(66).	이장희/NNP+(/SS+66/SN+)/SS+./SF


# id : NWRW1800000038.59.3.3
그가 데뷔 42년 만에 처음으로 올해 전국 투어 콘서트에 나선다.

그가	그/NP+가/JKS
데뷔	데뷔/NNG
42년	42/SN+년/NNB
만에	만/NNB+에/JKB
처음으로	처음/NNG+으로/JKB
올해	올해/NNG
전국	전국/NNG
투어	투어/NNG
콘서트에	콘서트/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.59.3.4
3월 1일 서울 세종문화회관을 시작으로 한 달 반에 걸쳐 대전, 부산, 대구, 전주 등을 돌 예정이다.

3월	3/SN+월/NNB
1일	1/SN+일/NNB
서울	서울/NNP
세종문화회관을	세종문화회관/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
한	한/MMN
달	달/NNB
반에	반/NNG+에/JKB
걸쳐	걸치/VV+어/EC
대전,	대전/NNP+,/SP
부산,	부산/NNP+,/SP
대구,	대구/NNP+,/SP
전주	전주/NNP
등을	등/NNB+을/JKO
돌	돌/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.59.4.1
8일 오후 울릉도에 있는 그를 전화로 인터뷰했다.

8일	8/SN+일/NNB
오후	오후/NNG
울릉도에	울릉도/NNP+에/JKB
있는	있/VA+는/ETM
그를	그/NP+를/JKO
전화로	전화/NNG+로/JKB
인터뷰했다.	인터뷰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.59.4.2
그는 10여년 전부터 울릉도와 LA에서 1년의 절반씩을 보내며 행복한 방랑 생활을 하고 있다.

그는	그/NP+는/JX
10여년	10/SN+여/XSN+년/NNB
전부터	전/NNG+부터/JX
울릉도와	울릉도/NNP+와/JC
LA에서	LA/SL+에서/JKB
1년의	1/SN+년/NNB+의/JKG
절반씩을	절반/NNG+씩/XSN+을/JKO
보내며	보내/VV+며/EC
행복한	행복/NNG+하/XSA+ㄴ/ETM
방랑	방랑/NNG
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.59.4.3
"콘서트다운 콘서트는 평생 처음인 것 같아요.

"콘서트다운	"/SS+콘서트/NNG+답/XSA+ㄴ/ETM
콘서트는	콘서트/NNG+는/JX
평생	평생/NNG
처음인	처음/NNG+이/VCP+ㄴ/ETM
것	것/NNB
같아요.	같/VA+아요/EF+./SF


# id : NWRW1800000038.59.4.4
게다가 전국 투어까지 하게 됐으니….

게다가	게다가/MAG
전국	전국/NNG
투어까지	투어/NNG+까지/JX
하게	하/VV+게/EC
됐으니….	되/VV+었/EP+으니/EC+…/SE+./SF


# id : NWRW1800000038.59.4.5
요즘 뒤늦게 음악에 대한 애정을 되찾아 감격하고 있거든요.

요즘	요즘/NNG
뒤늦게	뒤늦/VA+게/EC
음악에	음악/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
애정을	애정/NNG+을/JKO
되찾아	되찾/VV+아/EC
감격하고	감격/NNG+하/XSV+고/EC
있거든요.	있/VX+거든/EF+요/JX+./SF


# id : NWRW1800000038.59.4.6
수십년 만에 고향을 찾은 느낌이랄까요.

수십년	수십/NR+년/NNB
만에	만/NNB+에/JKB
고향을	고향/NNG+을/JKO
찾은	찾/VV+은/ETM
느낌이랄까요.	느낌/NNG+이/VCP+랄까/EF+요/JX+./SF


# id : NWRW1800000038.59.4.7
그런 만큼 제 무대를 찾아주시는 분들에게 혼신의 힘을 다해 모든 걸 보여 드릴 겁니다.

그런	그런/MMD
만큼	만큼/NNB
제	저/NP+의/JKG
무대를	무대/NNG+를/JKO
찾아주시는	찾/VV+아/EC+주/VX+시/EP+는/ETM
분들에게	분/NNB+들/XSN+에게/JKB
혼신의	혼신/NNG+의/JKG
힘을	힘/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
모든	모든/MMN
걸	거/NNB+ㄹ/JKO
보여	보이/VV+어/EC
드릴	드리/VX+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.59.4.8
관객도 저도 행복을 실감하는 그런 자리가 돼야죠."그는 확신에 찬 어조였다.

관객도	관객/NNG+도/JX
저도	저/NP+도/JX
행복을	행복/NNG+을/JKO
실감하는	실감/NNG+하/XSV+는/ETM
그런	그런/MMD
자리가	자리/NNG+가/JKC
돼야죠."그는	되/VV+어야지/EF+요/JX+./SF+"/SS+그/NP+는/JX
확신에	확신/NNG+에/JKB
찬	차/VV+ㄴ/ETM
어조였다.	어조/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.59.4.9
"6개월간 LA에 머물다가 2일 다시 울릉도로 들어왔다"는 그는 현재 "오랜 친구인 기타리스트 강근식과 함께 매일 집 앞 교회 안 식당에서 연습하고 있다"고 했다.

"6개월간	"/SS+6/SN+개월/NNB+간/XSN
LA에	LA/SL+에/JKB
머물다가	머물/VV+다가/EC
2일	2/SN+일/NNB
다시	다시/MAG
울릉도로	울릉도/NNP+로/JKB
들어왔다"는	들어오/VV+았/EP+다/EF+"/SS+는/ETM
그는	그/NP+는/JX
현재	현재/MAG
"오랜	"/SS+오랜/MMA
친구인	친구/NNG+이/VCP+ㄴ/ETM
기타리스트	기타리스트/NNG
강근식과	강근식/NNP+과/JKB
함께	함께/MAG
매일	매일/MAG
집	집/NNG
앞	앞/NNG
교회	교회/NNG
안	안/NNG
식당에서	식당/NNG+에서/JKB
연습하고	연습/NNG+하/XSV+고/EC
