# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.292
metadata : {}


# id : NWRW1800000044.292.1.1
[한겨레 프리즘] 지방선거 관전법?

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
지방선거	지방/NNG+선거/NNG
관전법?	관전법/NNG+?/SF


# id : NWRW1800000044.292.1.2
/ 한귀영

/	//SP
한귀영	한귀영/NNP


# id : NWRW1800000044.292.2.1
[한겨레] 올해는 박근혜 정부가 임기 2년차에 접어드는 해이자 지방선거가 있는 해다.

[한겨레]	[/SS+한겨레/NNP+]/SS
올해는	올해/NNG+는/JX
박근혜	박근혜/NNP
정부가	정부/NNG+가/JKS
임기	임기/NNG
2년차에	2/SN+년/NNB+차/NNB+에/JKB
접어드는	접어들/VV+는/ETM
해이자	해/NNG+이/VCP+자/EC
지방선거가	지방/NNG+선거/NNG+가/JKS
있는	있/VA+는/ETM
해다.	해/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.292.2.2
객관적 정세는 정부 여당에 유리해 보인다.

객관적	객관/NNG+적/XSN
정세는	정세/NNG+는/JX
정부	정부/NNG
여당에	여당/NNG+에/JKB
유리해	유리/NNG+하/XSA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.292.2.3
박 대통령의 지지율이 50% 선에서 비교적 탄탄하게 유지되고 있고, 새누리당 지지율도 민주당보다 두배 이상 높다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
50%	50/SN+%/SW
선에서	선/NNG+에서/JKB
비교적	비교/NNG+적/XSN
탄탄하게	탄탄하/VA+게/EC
유지되고	유지/NNG+되/XSV+고/EC
있고,	있/VX+고/EC+,/SP
새누리당	새누리당/NNP
지지율도	지지/NNG+율/XSN+도/JX
민주당보다	민주당/NNP+보다/JKB
두배	두/MMN+배/NNG
이상	이상/NNG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000044.292.2.4
하지만 조금만 내부로 들어가 보면 이 우열 구도는 매우 불안정하다는 게 드러난다.

하지만	하지만/MAJ
조금만	조금/NNG+만/JX
내부로	내부/NNG+로/JKB
들어가	들어가/VV+아/EC
보면	보/VX+면/EC
이	이/MMD
우열	우열/NNG
구도는	구도/NNG+는/JX
매우	매우/MAG
불안정하다는	불/XPN+안정/NNG+하/XSA+다는/ETM
게	거/NNB+이/JKS
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.292.2.5
불통을 원칙으로 삼는 듯한 완고한 모습이나, 목소리 다른 국민들을 비정상으로 낙인찍는 대통령의 행태에 대해 적지 않은 국민들이 인내의 한계에 이른 듯하다.

불통을	불통/NNG+을/JKO
원칙으로	원칙/NNG+으로/JKB
삼는	삼/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
완고한	완고하/VA+ㄴ/ETM
모습이나,	모습/NNG+이나/JC+,/SP
목소리	목소리/NNG
다른	다르/VA+ㄴ/ETM
국민들을	국민/NNG+들/XSN+을/JKO
비정상으로	비/XPN+정상/NNG+으로/JKB
낙인찍는	낙인찍/VV+는/ETM
대통령의	대통령/NNG+의/JKG
행태에	행태/NNG+에/JKB
대해	대하/VV+아/EC
적지	적/VA+지/EC
않은	않/VX+은/ETM
