# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.16
metadata : {}


# id : NWRW1800000036.16.1.1
‘거품 뺀 아웃도어’ 이참에 마련할까

‘거품	‘/SS+거품/NNG
뺀	빼/VV+ㄴ/ETM
아웃도어’	아웃도어/NNG+’/SS
이참에	이참/NNG+에/JKB
마련할까	마련/NNG+하/XSV+ㄹ까/EF


# id : NWRW1800000036.16.2.1
[한겨레] 날씨·소비심리 악화탓 작년말부터 판매 부진

[한겨레]	[/SS+한겨레/NNP+]/SS
날씨·소비심리	날씨/NNG+·/SP+소비/NNG+심리/NNG
악화탓	악화/NNG+탓/NNG
작년말부터	작년/NNG+말/NNB+부터/JX
판매	판매/NNG
부진	부진/NNG


# id : NWRW1800000036.16.3.1
백화점·대형마트, 봄맞이 대대적 할인행사

백화점·대형마트,	백화점/NNG+·/SP+대형/NNG+마트/NNG+,/SP
봄맞이	봄맞이/NNG
대대적	대대적/MMA
할인행사	할인/NNG+행사/NNG


# id : NWRW1800000036.16.4.1
지난해까지만 해도 유행처럼 번졌던 아웃도어 상품에 대한 열기가 한풀 꺾이면서 판매가 부진하자, 유통업계가 아웃도어 상품 할인 판매에 대대적으로 나서고 있다.

지난해까지만	지난해/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
유행처럼	유행/NNG+처럼/JKB
번졌던	번지/VV+었/EP+던/ETM
아웃도어	아웃도어/NNG
상품에	상품/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
열기가	열기/NNG+가/JKS
한풀	한풀/MAG
꺾이면서	꺾이/VV+면서/EC
판매가	판매/NNG+가/JKS
부진하자,	부진/NNG+하/XSA+자/EC+,/SP
유통업계가	유통업/NNG+계/XSN+가/JKS
상품	상품/NNG
할인	할인/NNG
판매에	판매/NNG+에/JKB
대대적으로	대대적/NNG+으로/JKB
나서고	나서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.16.5.1
국내 아웃도어 시장은 기하급수적으로 성장했다.

국내	국내/NNG
아웃도어	아웃도어/NNG
시장은	시장/NNG+은/JX
기하급수적으로	기하급수/NNG+적/XSN+으로/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.16.5.2
업계에서는 아웃도어 시장 규모가 2000년 약 2000억원에서 2010년 3조원을 돌파하고, 지난해에는 4조원 정도로 확대된 것으로 추산하고 있다.

업계에서는	업계/NNG+에서/JKB+는/JX
아웃도어	아웃도어/NNG
시장	시장/NNG
규모가	규모/NNG+가/JKS
2000년	2000/SN+년/NNB
약	약/MMA
2000억원에서	2000/SN+억/NR+원/NNB+에서/JKB
2010년	2010/SN+년/NNB
3조원을	3/SN+조/NR+원/NNB+을/JKO
돌파하고,	돌파/NNG+하/XSV+고/EC+,/SP
지난해에는	지난해/NNG+에/JKB+는/JX
4조원	4/SN+조/NR+원/NNB
정도로	정도/NNG+로/JKB
확대된	확대/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추산하고	추산/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.16.5.3
최근 5년간 연평균 20% 이상 성장해, 현재 시장 규모가 미국, 독일에 이어 세계 3위로 커졌다.

최근	최근/NNG
5년간	5/SN+년/NNB+간/XSN
연평균	연평균/NNG
20%	20/SN+%/SW
이상	이상/NNG
성장해,	성장/NNG+하/XSV+아/EC+,/SP
현재	현재/MAG
시장	시장/NNG
규모가	규모/NNG+가/JKS
미국,	미국/NNP+,/SP
독일에	독일/NNP+에/JKB
이어	잇/VV+어/EC
세계	세계/NNG
3위로	3/SN+위/NNB+로/JKB
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.16.5.4
이는 레저활동 인구가 증가한 이유도 있지만, 아웃도어 상품이 등산용이라는 기존 관념에서 탈피해 일상생활에서도 큰 인기를 끌었기 때문이다.

이는	이/NP+는/JX
레저활동	레저/NNG+활동/NNG
인구가	인구/NNG+가/JKS
증가한	증가/NNG+하/XSV+ㄴ/ETM
이유도	이유/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
아웃도어	아웃도어/NNG
상품이	상품/NNG+이/JKS
등산용이라는	등산/NNG+용/XSN+이/VCP+라는/ETM
기존	기존/NNG
관념에서	관념/NNG+에서/JKB
탈피해	탈피/NNG+하/XSV+아/EC
일상생활에서도	일상생활/NNG+에서/JKB+도/JX
큰	크/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끌었기	끌/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.16.6.1
아웃도어 업체들은 이런 분위기를 타고 지난해 사상 최대 물량의 상품을 제작한 것으로 알려지고 있다.

아웃도어	아웃도어/NNG
업체들은	업체/NNG+들/XSN+은/JX
이런	이런/MMD
분위기를	분위기/NNG+를/JKO
타고	타/VV+고/EC
지난해	지난해/NNG
사상	사상/NNG
최대	최대/NNG
물량의	물량/NNG+의/JKG
상품을	상품/NNG+을/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려지고	알려지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.16.6.2
그러나 날씨와 소비 심리 악화, 가격 거품 논란 등의 영향으로 지난해 말부터 판매가 매우 부진한 상황이다.

그러나	그러나/MAJ
날씨와	날씨/NNG+와/JC
소비	소비/NNG
심리	심리/NNG
악화,	악화/NNG+,/SP
가격	가격/NNG
거품	거품/NNG
논란	논란/NNG
등의	등/NNB+의/JKG
영향으로	영향/NNG+으로/JKB
지난해	지난해/NNG
말부터	말/NNB+부터/JX
판매가	판매/NNG+가/JKS
매우	매우/MAG
부진한	부진/NNG+하/XSA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.16.6.3
한 백화점 관계자는 “청소년들 사이에 노스페이스 상품을 사면 ‘노스페이스 추종자’라는 인식까지 생기면서 매출이 줄어들고 있다”며 “여기에다 최근 날씨가 추워 봄 상품까지 영향을 받고 있는데, 이런 추세라면 1년 내내 할인전을 열어야 하는 상황”이라고 말했다.

한	한/MMN
백화점	백화점/NNG
관계자는	관계자/NNG+는/JX
“청소년들	“/SS+청소년/NNG+들/XSN
사이에	사이/NNG+에/JKB
노스페이스	노스페이스/NNP
상품을	상품/NNG+을/JKO
사면	사/VV+면/EC
‘노스페이스	‘/SS+노스페이스/NNP
추종자’라는	추종자/NNG+’/SS+이/VCP+라는/ETM
인식까지	인식/NNG+까지/JX
생기면서	생기/VV+면서/EC
매출이	매출/NNG+이/JKS
줄어들고	줄어들/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“여기에다	“/SS+여기/NP+에다/JKB
최근	최근/NNG
날씨가	날씨/NNG+가/JKS
추워	춥/VA+어/EC
봄	봄/NNG
상품까지	상품/NNG+까지/JX
영향을	영향/NNG+을/JKO
받고	받/VV+고/EC
있는데,	있/VX+는데/EC+,/SP
이런	이런/MMD
추세라면	추세/NNG+이/VCP+라면/EC
1년	1/SN+년/NNB
내내	내내/MAG
할인전을	할인전/NNG+을/JKO
열어야	열/VV+어야/EC
하는	하/VX+는/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.16.7.1
신세계백화점은 16~24일 200억원 물량의 대규모 ‘아웃도어 박람회’를 연다.

신세계백화점은	신세계백화점/NNP+은/JX
16~24일	16/SN+~/SO+24/SN+일/NNB
200억원	200/SN+억/NR+원/NNB
물량의	물량/NNG+의/JKG
대규모	대/XPN+규모/NNG
‘아웃도어	‘/SS+아웃도어/NNG
박람회’를	박람회/NNG+’/SS+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.16.7.2
노스페이스 티셔츠(5만4000원), 컬럼비아 등산바지(9만5000원), 케이(K)2 등산화(11만원), 라푸마 방풍재킷(10만2000원), 몽벨 재킷(16만원), 코오롱스포츠 고어텍스 재킷(22만2000원) 등 상품에 따라 30~60% 할인 판매한다.

노스페이스	노스페이스/NNP
