# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.56
metadata : {}


# id : NWRW1800000041.56.1.1
‘톈안먼’ 25주년… 中은 지금 準전시상태

‘톈안먼’	‘/SS+톈안먼/NNP+’/SS
25주년…	25/SN+주년/NNB+…/SE
中은	中/SH+은/JX
지금	지금/MAG
準전시상태	準/SH+전시/NNG+상태/NNG


# id : NWRW1800000041.56.2.1
보안요원 10만명… 192곳에 검문소, 베이징 전역 경찰견 650마리 투입

보안요원	보안/NNG+요원/NNG
10만명…	10/SN+만/NR+명/NNB+…/SE
192곳에	192/SN+곳/NNG+에/JKB
검문소,	검문소/NNG+,/SP
베이징	베이징/NNP
전역	전역/NNG
경찰견	경찰견/NNG
650마리	650/SN+마리/NNB
투입	투입/NNG


# id : NWRW1800000041.56.3.1
단오절 휴일인 2일 오전.

단오절	단오절/NNG
휴일인	휴일/NNG+이/VCP+ㄴ/ETM
2일	2/SN+일/NNB
오전.	오전/NNG+./SF


# id : NWRW1800000041.56.3.2
중국 베이징(北京)의 톈안먼(天安門)과 마주 보고 있는 쯔진청(紫禁城) 앞 인도에는 X선 투시기를 통과하려는 사람들로 300m가량의 긴 줄이 이어져 있었다.

중국	중국/NNP
베이징(北京)의	베이징/NNP+(/SS+北京/SH+)/SS+의/JKG
톈안먼(天安門)과	톈안먼/NNP+(/SS+天安門/SH+)/SS+과/JKB
마주	마주/MAG
보고	보/VV+고/EC
있는	있/VX+는/ETM
쯔진청(紫禁城)	쯔진청/NNP+(/SS+紫禁城/SH+)/SS
앞	앞/NNG
인도에는	인도/NNG+에/JKB+는/JX
X선	X/SL+선/NNG
투시기를	투시기/NNG+를/JKO
통과하려는	통과/NNG+하/XSV+려는/ETM
사람들로	사람/NNG+들/XSN+로/JKB
300m가량의	300/SN+m/SW+가량/XSN+의/JKG
긴	길/VA+ㄴ/ETM
줄이	줄/NNG+이/JKS
이어져	이어지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.56.3.3
시간이 지날수록 줄은 더 길어졌다.

시간이	시간/NNG+이/JKS
지날수록	지나/VV+ㄹ수록/EC
줄은	줄/NNG+은/JX
더	더/MAG
길어졌다.	길어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.56.3.4
군인들이 2열 종대로 인도를 따라 행진하는 등 긴장감이 감돌았다.

군인들이	군인/NNG+들/XSN+이/JKS
2열	2/SN+열/NNG
종대로	종대/NNG+로/JKB
인도를	인도/NNG+를/JKO
따라	따르/VV+아/EC
행진하는	행진/NNG+하/XSV+는/ETM
등	등/NNB
긴장감이	긴장감/NNG+이/JKS
감돌았다.	감돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.56.3.5
톈안먼뿐만 아니라 베이징 시내 곳곳에서는 완전무장한 군인들이 2개조(6명이 한 조)씩 짝을 지어 차량을 타고 다니는 모습이 자주 목격되고 있다.

톈안먼뿐만	톈안먼/NNP+뿐/JX+만/JX
아니라	아니/VCN+라/EC
베이징	베이징/NNP
시내	시내/NNG
곳곳에서는	곳곳/NNG+에서/JKB+는/JX
완전무장한	완전/NNG+무장/NNG+하/XSV+ㄴ/ETM
군인들이	군인/NNG+들/XSN+이/JKS
2개조(6명이	2/SN+개/NNB+조/NNG+(/SS+6/SN+명/NNB+이/JKS
한	한/MMN
조)씩	조/NNG+)/SS+씩/XSN
짝을	짝/NNG+을/JKO
지어	짓/VV+어/EC
차량을	차량/NNG+을/JKO
타고	타/VV+고/EC
다니는	다니/VV+는/ETM
모습이	모습/NNG+이/JKS
자주	자주/MAG
목격되고	목격/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.56.4.1
중국 당국이 6월 4일 톈안먼 사태 25주년을 앞두고 주요 대도시에서 전시상태에 준하는 경계 태세에 돌입했다고 중화권 매체 보쉰(博迅)이 2일 보도했다.

중국	중국/NNP
당국이	당국/NNG+이/JKS
6월	6/SN+월/NNB
4일	4/SN+일/NNB
톈안먼	톈안먼/NNP
사태	사태/NNG
25주년을	25/SN+주년/NNB+을/JKO
앞두고	앞두/VV+고/EC
주요	주요/NNG
대도시에서	대/XPN+도시/NNG+에서/JKB
