# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.103
metadata : {}


# id : NWRW1800000041.103.1.1
[중·한 코리아 가이드 매거진 ‘니하오’]해외명품이 한자리에, 롯데면세점 월드점

[중·한	[/SS+중/NNP+·/SP+한/NNP
코리아	코리아/NNP
가이드	가이드/NNG
매거진	매거진/NNG
‘니하오’]해외명품이	‘/SS+니하오/NNG+’/SS+]/SS+해외/NNG+명품/NNG+이/JKS
한자리에,	한자리/NNG+에/JKB+,/SP
롯데면세점	롯데면세점/NNP
월드점	월드점/NNG


# id : NWRW1800000041.103.2.1
제2롯데월드의 롯데면세점 월드타워점(서울 송파구 올림픽로)은 1989년 1월 14일 3305m²(약 1000평) 규모의 롯데면세점 잠실점으로 출발했다.

제2롯데월드의	제/XPN+2/SN+롯데월드/NNP+의/JKG
롯데면세점	롯데면세점/NNP
월드타워점(서울	월드타워점/NNG+(/SS+서울/NNP
송파구	송파구/NNP
올림픽로)은	올림픽로/NNP+)/SS+은/JX
1989년	1989/SN+년/NNB
1월	1/SN+월/NNB
14일	14/SN+일/NNB
3305m²(약	3305/SN+m²/SW+(/SS+약/MMA
1000평)	1000/SN+평/NNB+)/SS
규모의	규모/NNG+의/JKG
잠실점으로	잠실점/NNG+으로/JKB
출발했다.	출발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.103.2.2
이 매장은 1987년 개장한 롯데월드에 몰리는 외국인 관광객들이 편리하게 원스톱으로 쇼핑을 즐길 수 있도록 하기 위해 만들어졌다.

이	이/MMD
매장은	매장/NNG+은/JX
1987년	1987/SN+년/NNB
개장한	개장/NNG+하/XSV+ㄴ/ETM
롯데월드에	롯데월드/NNP+에/JKB
몰리는	몰리/VV+는/ETM
외국인	외국인/NNG
관광객들이	관광객/NNG+들/XSN+이/JKS
편리하게	편리/NNG+하/XSA+게/EC
원스톱으로	원스톱/NNG+으로/JKB
쇼핑을	쇼핑/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
만들어졌다.	만들/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.103.2.3
롯데면세점 잠실점은 롯데월드를 찾는 단체관광객을 배려한 동선을 갖추고 있었다.

롯데면세점	롯데면세점/NNP
잠실점은	잠실점/NNG+은/JX
롯데월드를	롯데월드/NNP+를/JKO
찾는	찾/VV+는/ETM
단체관광객을	단체/NNG+관광객/NNG+을/JKO
