# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.215
metadata : {}


# id : NWRW1800000026.215.1.1
[세종시 수정안 부결 이후] 청와대·내각 개편은;"키워드는 탕평과 세대교체 靑 이달 중순, 내각은 하순 쯤"

[세종시	[/SS+세종시/NNP
수정안	수정안/NNG
부결	부결/NNG
이후]	이후/NNG+]/SS
청와대·내각	청와대/NNP+·/SP+내각/NNG
개편은;"키워드는	개편/NNG+은/JX+;/SW+"/SS+키워드/NNG+는/JX
탕평과	탕평/NNG+과/JC
세대교체	세대교체/NNG
靑	靑/SH
이달	이달/NNG
중순,	중순/NNG+,/SP
내각은	내각/NNG+은/JX
하순	하순/NNG
쯤"	쯤/XSN+"/SS


# id : NWRW1800000026.215.2.1
정운찬 국무총리가 세종시 수정안이 국회에서 부결된 데 대해 "전적으로 책임지겠다"며 사실상 퇴진 의사를 밝힌 가운데 청와대와 내각 개편에 관심이 쏠리고 있다.

정운찬	정운찬/NNP
국무총리가	국무총리/NNG+가/JKS
세종시	세종시/NNP
수정안이	수정안/NNG+이/JKS
국회에서	국회/NNG+에서/JKB
부결된	부결/NNG+되/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
"전적으로	"/SS+전적/NNG+으로/JKB
책임지겠다"며	책임지/VV+겠/EP+다/EF+"/SS+며/EC
사실상	사실상/MAG
퇴진	퇴진/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
가운데	가운데/NNG
청와대와	청와대/NNP+와/JC
내각	내각/NNG
개편에	개편/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.215.2.2
이명박 대통령은 6월 14일 라디오 연설에서 "준비되는 대로 청와대와 내각의 진용을 새로이 갖추겠다"고 밝힌 바 있고, 청와대는 6·2지방선거 직후부터 인적 개편을 위한 후보군 선정 및 검증 작업을 계속해 온 것으로 알려졌다.

이명박	이명박/NNP
대통령은	대통령/NNG+은/JX
6월	6/SN+월/NNB
