# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.373
metadata : {}


# id : NWRW1800000044.373.1.1
“2000t급 사고 때 왜 세월호만 국정원에 먼저 보고하나”

“2000t급	“/SS+2000/SN+t/SW+급/NNG
사고	사고/NNG
때	때/NNG
왜	왜/MAG
세월호만	세월호/NNP+만/JX
국정원에	국정원/NNG+에/JKB
먼저	먼저/MAG
보고하나”	보고/NNG+하/XSV+나/EF+”/SS


# id : NWRW1800000044.373.2.1
[한겨레] 커지는 ‘세월호-국정원 연관의혹’

[한겨레]	[/SS+한겨레/NNP+]/SS
커지는	커지/VV+는/ETM
‘세월호-국정원	‘/SS+세월호/NNP+-/SO+국정원/NNG
연관의혹’	연관/NNG+의혹/NNG+’/SS


# id : NWRW1800000044.373.3.1
‘국정원 지적 100가지 문서’ 놓고

‘국정원	‘/SS+국정원/NNG
지적	지적/NNG
100가지	100/SN+가지/NNB
문서’	문서/NNG+’/SS
놓고	놓/VV+고/EC


# id : NWRW1800000044.373.4.1
새정치 “세월호-국정원 관계 밝혀라”

새정치	새정치/NNP
“세월호-국정원	“/SS+세월호/NNP+-/SO+국정원/NNG
관계	관계/NNG
밝혀라”	밝히/VV+어라/EF+”/SS


# id : NWRW1800000044.373.5.1
국회 정보위 소집 요구

국회	국회/NNG
정보위	정보위/NNG
소집	소집/NNG
요구	요구/NNG


# id : NWRW1800000044.373.6.1
새누리 “선거용 의혹 제기”

새누리	새누리/NNP
“선거용	“/SS+선거/NNG+용/XSN
의혹	의혹/NNG
제기”	제기/NNG+”/SS


# id : NWRW1800000044.373.7.1
7·30 재보궐선거를 하루 앞둔 29일, 야당은 세월호 선내에 있던 업무용 노트북에서 복원된 ‘국정원 지적사항’ 문건과 세월호가 사고 발생 시 국가정보원에 보고하도록 된 이유 등을 따져보기 위해 국회 정보위원회를 소집하자고 거듭 요구했다.

7·30	7/SN+·/SP+30/SN
