# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.87
metadata : {}


# id : NWRW1800000046.87.1.1
영어·수학보다 '나라' 배우는 게 더 중요합니다

영어·수학보다	영어/NNP+·/SP+수학/NNG+보다/JKB
'나라'	'/SS+나라/NNG+'/SS
배우는	배우/VV+는/ETM
게	거/NNB+이/JKS
더	더/MAG
중요합니다	중요/NNG+하/XSA+ㅂ니다/EF


# id : NWRW1800000046.87.2.1
'동창만세운동' 기념사업 10년 이끈 김창묵 동찬기업 회장

'동창만세운동'	'/SS+동창/NNP+만세/NNG+운동/NNG+'/SS
기념사업	기념사업/NNG
10년	10/SN+년/NNB
이끈	이끌/VV+ㄴ/ETM
김창묵	김창묵/NNP
동찬기업	동찬기업/NNP
회장	회장/NNG


# id : NWRW1800000046.87.3.1
남대문시장에서 무일푼 출신 옷장사로 자수성가한 김창묵(93) 동찬기업 회장의 3·1절은 특별하다.

남대문시장에서	남대문시장/NNP+에서/JKB
무일푼	무일푼/NNG
출신	출신/NNG
옷장사로	옷/NNG+장사/NNG+로/JKB
자수성가한	자수성가/NNG+하/XSV+ㄴ/ETM
김창묵(93)	김창묵/NNP+(/SS+93/SN+)/SS
동찬기업	동찬기업/NNP
회장의	회장/NNG+의/JKG
3·1절은	3·1절/NNG+은/JX
특별하다.	특별/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.87.3.2
지난 26일 사무실에서 만난 그는 3월 1일 강원도 홍천에서 열릴 '동창만세운동' 기념행사 준비로 분주했다.

지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
사무실에서	사무실/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
그는	그/NP+는/JX
3월	3/SN+월/NNB
1일	1/SN+일/NNB
강원도	강원도/NNP
홍천에서	홍천/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
'동창만세운동'	'/SS+동창/NNP+만세/NNG+운동/NNG+'/SS
기념행사	기념행사/NNG
준비로	준비/NNG+로/JKB
분주했다.	분주/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000046.87.3.3
1919년 고향인 홍천군 내촌면 동창마을에서 주민 1000여명이 만세를 부르다 일경(日警) 총탄에 8명이 순국한 강원 최대의 만세운동이다.

1919년	1919/SN+년/NNB
고향인	고향/NNG+이/VCP+ㄴ/ETM
홍천군	홍천군/NNP
내촌면	내촌면/NNP
동창마을에서	동창마을/NNP+에서/JKB
주민	주민/NNG
1000여명이	1000/SN+여/XSN+명/NNB+이/JKS
만세를	만세/NNG+를/JKO
부르다	부르/VV+다/EC
일경(日警)	일경/NNG+(/SS+日警/SH+)/SS
총탄에	총탄/NNG+에/JKB
8명이	8/SN+명/NNB+이/JKS
순국한	순국/NNG+하/XSV+ㄴ/ETM
강원	강원/NNP
최대의	최대/NNG+의/JKG
만세운동이다.	만세/NNG+운동/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.87.3.4
시위를 이끈 김덕원 의사(義士)는 이후 만주를 오가며 독립운동을 이어가다 체포돼 심한 고문을 당했다.

시위를	시위/NNG+를/JKO
이끈	이끌/VV+ㄴ/ETM
김덕원	김덕원/NNP
의사(義士)는	의사/NNG+(/SS+義士/SH+)/SS+는/JX
이후	이후/NNG
만주를	만주/NNP+를/JKO
오가며	오가/VV+며/EC
독립운동을	독립운동/NNG+을/JKO
이어가다	잇/VV+어/EC+가/VX+다/EC
체포돼	체포/NNG+되/XSV+어/EC
심한	심하/VA+ㄴ/ETM
고문을	고문/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.87.3.5
김창묵 회장은 10여년 전 사재 100억원을 들여 동창만세운동 유적지를 만들었고 현재도 기념사업을 이끌고 있다.

김창묵	김창묵/NNP
회장은	회장/NNG+은/JX
10여년	10/SN+여/XSN+년/NNB
전	전/NNG
사재	사재/NNG
100억원을	100/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
동창만세운동	동창/NNP+만세/NNG+운동/NNG
유적지를	유적지/NNG+를/JKO
만들었고	만들/VV+었/EP+고/EC
현재도	현재/NNG+도/JX
기념사업을	기념사업/NNG+을/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.87.3.6
김덕원 의사는 그의 종(從)조부다.

김덕원	김덕원/NNP
의사는	의사/NNG+는/JX
그의	그/NP+의/JKG
종(從)조부다.	종/NA+(/SS+從/SH+)/SS+조부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.87.4.1
기념사업은 동창마을 일대에 김덕원 의사가 일본 경찰의 눈을 피해 3년이나 숨어 살던 '도깨비집'과 그가 자주 이용했던 산길을 복원하고 '만세공원'을 조성하는 작업 등을 포함한다.

기념사업은	기념사업/NNG+은/JX
동창마을	동창마을/NNP
일대에	일대/NNG+에/JKB
김덕원	김덕원/NNP
의사가	의사/NNG+가/JKS
일본	일본/NNP
경찰의	경찰/NNG+의/JKG
눈을	눈/NNG+을/JKO
피해	피하/VV+아/EC
3년이나	3/SN+년/NNB+이나/JX
숨어	숨/VV+어/EC
살던	살/VV+던/ETM
'도깨비집'과	'/SS+도깨비/NNG+집/NNG+'/SS+과/JC
그가	그/NP+가/JKS
자주	자주/MAG
이용했던	이용/NNG+하/XSV+았/EP+던/ETM
산길을	산길/NNG+을/JKO
복원하고	복원/NNG+하/XSV+고/EC
'만세공원'을	'/SS+만세공원/NNP+'/SS+을/JKO
조성하는	조성/NNG+하/XSV+는/ETM
작업	작업/NNG
등을	등/NNB+을/JKO
포함한다.	포함/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.87.4.2
무덤은커녕 사망 일시나 이유에 관한 기록도 없다.

무덤은커녕	무덤/NNG+은/JX+커녕/JX
사망	사망/NNG
일시나	일시/NNG+나/JC
이유에	이유/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
기록도	기록/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.87.4.3
이 때문에 김 회장이 전문가들과 직접 사료를 수집하고 고증하는 작업을 병행하고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
김	김/NNP
회장이	회장/NNG+이/JKS
전문가들과	전문가/NNG+들/XSN+과/JKB
직접	직접/MAG
사료를	사료/NNG+를/JKO
수집하고	수집/NNG+하/XSV+고/EC
