# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.233
metadata : {}


# id : NWRW1800000044.233.1.1
유대균 “아버지 사망 몰랐다”

유대균	유대균/NNP
“아버지	“/SS+아버지/NNG
사망	사망/NNG
몰랐다”	모르/VV+았/EP+다/EF+”/SS


# id : NWRW1800000044.233.2.1
[한겨레] 25일 용인서 검거…밀항 시도·가족 연락 등 부인

[한겨레]	[/SS+한겨레/NNP+]/SS
25일	25/SN+일/NNB
용인서	용인/NNP+서/JKB
검거…밀항	검거/NNG+…/SE+밀항/NNG
시도·가족	시도/NNG+·/SP+가족/NNG
연락	연락/NNG
등	등/NNB
부인	부인/NNG


# id : NWRW1800000044.233.3.1
도피 도운 여성도 함께…인천지검으로 압송 조사

도피	도피/NNG
도운	돕/VV+ㄴ/ETM
여성도	여성/NNG+도/JX
함께…인천지검으로	함께/MAG+…/SE+인천지검/NNP+으로/JKB
압송	압송/NNG
조사	조사/NNG


# id : NWRW1800000044.233.4.1
유병언(73) 전 세모그룹 회장의 큰아들 유대균(44)씨와 그의 도피를 수행하며 도와온 박아무개(35·여)씨가 25일 저녁 경찰에 검거됐다.

유병언(73)	유병언/NNP+(/SS+73/SN+)/SS
전	전/MMD
세모그룹	세모그룹/NNP
회장의	회장/NNG+의/JKG
큰아들	큰아들/NNG
유대균(44)씨와	유대균/NNP+(/SS+44/SN+)/SS+씨/NNB+와/JKB
그의	그/NP+의/JKG
도피를	도피/NNG+를/JKO
수행하며	수행/NNG+하/XSV+며/EC
도와온	돕/VV+아/EC+오/VX+ㄴ/ETM
박아무개(35·여)씨가	박/NNP+아무개/NP+(/SS+35/SN+·/SP+여/NNG+)/SS+씨/NNB+가/JKS
25일	25/SN+일/NNB
저녁	저녁/NNG
경찰에	경찰/NNG+에/JKB
검거됐다.	검거/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.233.4.2
대균씨는 세월호 선사인 청해진해운의 자금을 횡령한 혐의 등으로, 박씨는 대균씨의 도피를 도운 혐의로 각각 수배를 받아왔다.

대균씨는	대균/NNP+씨/NNB+는/JX
세월호	세월호/NNP
선사인	선사/NNG+이/VCP+ㄴ/ETM
청해진해운의	청해진해운/NNP+의/JKG
자금을	자금/NNG+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의	혐의/NNG
등으로,	등/NNB+으로/JKB+,/SP
박씨는	박/NNP+씨/NNB+는/JX
대균씨의	대균/NNP+씨/NNB+의/JKG
도피를	도피/NNG+를/JKO
도운	돕/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
각각	각각/MAG
수배를	수배/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.233.5.1
경찰은 이날 저녁 7시께 경기도 용인시 수지구 상현동의 ㄱ오피스텔 716호에서 대균씨와 박씨를 검거했다.

경찰은	경찰/NNG+은/JX
이날	이날/NNG
저녁	저녁/NNG
7시께	7/SN+시/NNB+께/XSN
경기도	경기도/NNP
용인시	용인시/NNP
수지구	수지구/NNP
상현동의	상현동/NNP+의/JKG
ㄱ오피스텔	ㄱ/NNG+오피스텔/NNG
716호에서	716/SN+호/NNB+에서/JKB
대균씨와	대균/NNP+씨/NNB+와/JC
박씨를	박/NNP+씨/NNB+를/JKO
검거했다.	검거/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.233.5.2
20㎡(6평)가량 크기인 이 오피스텔은 대균씨의 측근인 하아무개씨의 여동생 소유로, 경찰은 하씨가 5월 이후 이곳을 사용하지 않고 있음에도 수도·전기요금이 계속 부과되는 것에 주목해 주변 조사 끝에 이들을 검거했다고 밝혔다.

20㎡(6평)가량	20/SN+㎡/SW+(/SS+6/SN+평/NNB+)/SS+가량/XSN
크기인	크기/NNG+이/VCP+ㄴ/ETM
이	이/MMD
오피스텔은	오피스텔/NNG+은/JX
대균씨의	대균/NNP+씨/NNB+의/JKG
측근인	측근/NNG+이/VCP+ㄴ/ETM
하아무개씨의	하/NNP+아무개/NP+씨/NNB+의/JKG
여동생	여동생/NNG
소유로,	소유/NNG+로/JKB+,/SP
경찰은	경찰/NNG+은/JX
하씨가	하/NNP+씨/NNB+가/JKS
5월	5/SN+월/NNB
이후	이후/NNG
이곳을	이곳/NP+을/JKO
사용하지	사용/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있음에도	있/VX+음/ETN+에/JKB+도/JX
수도·전기요금이	수도/NNG+·/SP+전기/NNG+요금/NNG+이/JKS
계속	계속/MAG
부과되는	부과/NNG+되/XSV+는/ETM
것에	것/NNB+에/JKB
주목해	주목/NNG+하/XSV+아/EC
주변	주변/NNG
조사	조사/NNG
끝에	끝/NNG+에/JKB
이들을	이/NP+들/XSN+을/JKO
검거했다고	검거/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.233.6.1
인천지검은 이들의 신병을 경찰에서 넘겨받아 조사에 들어갔다.

인천지검은	인천지검/NNP+은/JX
이들의	이/NP+들/XSN+의/JKG
신병을	신병/NNG+을/JKO
경찰에서	경찰/NNG+에서/JKB
넘겨받아	넘겨받/VV+아/EC
조사에	조사/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.233.6.2
유대균씨는 인천지검으로 들어가면서 기자들에게 “아버지의 사망 사실은 몰랐다.

유대균씨는	유대균/NNP+씨/NNB+는/JX
인천지검으로	인천지검/NNP+으로/JKB
들어가면서	들어가/VV+면서/EC
기자들에게	기자/NNG+들/XSN+에게/JKB
“아버지의	“/SS+아버지/NNG+의/JKG
사망	사망/NNG
사실은	사실/NNG+은/JX
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.233.6.3
(체포된 뒤에) 경찰에서 들었다”, “밀항을 시도하지 않았고 도피중에 가족과 연락한 적이 없다”고 말했다.

(체포된	(/SS+체포/NNG+되/XSV+ㄴ/ETM
뒤에)	뒤/NNG+에/JKB+)/SS
경찰에서	경찰/NNG+에서/JKB
들었다”,	듣/VV+었/EP+다/EF+”/SS+,/SP
“밀항을	“/SS+밀항/NNG+을/JKO
시도하지	시도/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
도피중에	도피/NNG+중/NNB+에/JKB
가족과	가족/NNG+과/JKB
연락한	연락/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.233.7.1
검찰은 이들을 상대로 도피를 도운 사람, 도피 경위와 경로 등을 조사하고 있다.

검찰은	검찰/NNG+은/JX
이들을	이/NP+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
도피를	도피/NNG+를/JKO
도운	돕/VV+ㄴ/ETM
사람,	사람/NNG+,/SP
도피	도피/NNG
경위와	경위/NNG+와/JC
경로	경로/NNG
등을	등/NNB+을/JKO
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.233.7.2
대균씨는 세월호 참사 사흘 뒤인 지난 4월19일 인천공항을 통해 프랑스로 출국하려다 출국금지된 사실을 알고 달아났다.

대균씨는	대균/NNP+씨/NNB+는/JX
세월호	세월호/NNP
참사	참사/NNG
사흘	사흘/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
4월19일	4/SN+월/NNB+19/SN+일/NNB
인천공항을	인천공항/NNP+을/JKO
통해	통하/VV+아/EC
프랑스로	프랑스/NNP+로/JKB
출국하려다	출국/NNG+하/XSV+려다/EC
출국금지된	출국/NNG+금지/NNG+되/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.233.8.1
검찰은 아버지 유 전 회장과 세월호 선사인 청해진해운의 자금횡령·배임, 조세포탈 등을 공모한 혐의로 대균씨에게 5월12일 출석 요구를 했지만 불응하자 체포영장을 발부받았다.

검찰은	검찰/NNG+은/JX
아버지	아버지/NNG
유	유/NNP
전	전/MMD
회장과	회장/NNG+과/JC
세월호	세월호/NNP
선사인	선사/NNG+이/VCP+ㄴ/ETM
청해진해운의	청해진해운/NNP+의/JKG
자금횡령·배임,	자금/NNG+횡령/NNG+·/SP+배임/NNG+,/SP
조세포탈	조세/NNG+포탈/NNG
등을	등/NNB+을/JKO
공모한	공모/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
대균씨에게	대균/NNP+씨/NNB+에게/JKB
5월12일	5/SN+월/NNB+12/SN+일/NNB
출석	출석/NNG
요구를	요구/NNG+를/JKO
했지만	하/VV+았/EP+지만/EC
불응하자	불응/NNG+하/XSV+자/EC
체포영장을	체포/NNG+영장/NNG+을/JKO
발부받았다.	발부/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.233.8.2
기독교복음침례회(일명 구원파) 신도 신아무개(64·구속기소)씨의 딸인 박씨는 태권도 선수 출신으로 대균씨의 경호원 노릇도 한 것으로 알려졌다.

기독교복음침례회(일명	기독교/NNG+복음/NNG+침례회/NNG+(/SS+일명/NNG
구원파)	구원파/NNP+)/SS
신도	신도/NNG
신아무개(64·구속기소)씨의	신/NNP+아무개/NP+(/SS+64/SN+·/SP+구속/NNG+기소/NNG+)/SS+씨/NNB+의/JKG
딸인	딸/NNG+이/VCP+ㄴ/ETM
박씨는	박/NNP+씨/NNB+는/JX
태권도	태권도/NNG
선수	선수/NNG
출신으로	출신/NNG+으로/JKB
대균씨의	대균/NNP+씨/NNB+의/JKG
경호원	경호원/NNG
노릇도	노릇/NNG+도/JX
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.233.9.1
한편 유 전 회장의 부인 권윤자(71·구속)씨는 남편의 주검이 발견된 뒤인 지난 22일 장례 절차에 참여하겠다며 일시 석방을 요구하는 구속집행정지를 신청했다고 인천지법이 밝혔다.

한편	한편/MAG
유	유/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
부인	부인/NNG
