# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.394
metadata : {}


# id : NWRW1800000038.394.1.1
美 "한국 정부가 戰作權 전환 再연기 제안"

美	美/SH
"한국	"/SS+한국/NNP
정부가	정부/NNG+가/JKS
戰作權	戰作權/SH
전환	전환/NNG
再연기	再/SH+연기/NNG
제안"	제안/NNG+"/SS


# id : NWRW1800000038.394.2.1
지난달 韓美국방장관 회담서 朴대통령 의중 반영된 듯

지난달	지난달/NNG
韓美국방장관	韓美/SH+국방/NNG+장관/NNG
회담서	회담/NNG+서/JKB
朴대통령	朴/SH+대통령/NNG
의중	의중/NNG
반영된	반영/NNG+되/XSV+ㄴ/ETM
듯	듯/NNB


# id : NWRW1800000038.394.3.1
김관진 국방장관이 지난달 싱가포르에서 열린 척 헤이글 미국 국방장관과의 회담에서 오는 2015년 말로 예정된 전시작전통제권(전작권)을 한국으로 전환하는 시기를 사실상 재(再)연기할 것을 제안한 것으로 확인됐다.

김관진	김관진/NNP
국방장관이	국방/NNG+장관/NNG+이/JKS
지난달	지난달/NNG
싱가포르에서	싱가포르/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
척	척/NNP
헤이글	헤이글/NNP
미국	미국/NNP
국방장관과의	국방/NNG+장관/NNG+과/JKB+의/JKG
회담에서	회담/NNG+에서/JKB
오는	오/VV+는/ETM
2015년	2015/SN+년/NNB
말로	말/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
전시작전통제권(전작권)을	전시/NNG+작전/NNG+통제/NNG+권/XSN+(/SS+전작권/NNG+)/SS+을/JKO
한국으로	한국/NNP+으로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
시기를	시기/NNG+를/JKO
사실상	사실상/MAG
재(再)연기할	재/XPN+(/SS+再/SH+)/SS+연기/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안한	제안/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.394.4.1
양국은 실무 채널을 통해 전작권 재연기 문제를 협의 중이며 오는 10월 한·미 국방장관 회담 때 재연기 문제의 가닥을 잡을 계획인 것으로 알려졌다.

양국은	양국/NNG+은/JX
실무	실무/NNG
채널을	채널/NNG+을/JKO
통해	통하/VV+아/EC
전작권	전작권/NNG
재연기	재/XPN+연기/NNG
문제를	문제/NNG+를/JKO
협의	협의/NNG
중이며	중/NNB+이/VCP+며/EC
오는	오/VV+는/ETM
10월	10/SN+월/NNB
한·미	한·미/NNP
국방장관	국방/NNG+장관/NNG
회담	회담/NNG
때	때/NNG
문제의	문제/NNG+의/JKG
가닥을	가닥/NNG+을/JKO
잡을	잡/VV+을/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.394.5.1
미국 국방부 고위 당국자는 16일(현지 시각) 연합뉴스 인터뷰에서 "한국 정부가 전작권 전환 재연기를 최근 제안한 것으로 알고 있다"면서 "양국 정부가 이 문제에 관해 협의하고 있다"고 밝혔다.

미국	미국/NNP
국방부	국방부/NNG
고위	고위/NNG
당국자는	당국자/NNG+는/JX
16일(현지	16/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
연합뉴스	연합뉴스/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
"한국	"/SS+한국/NNP
정부가	정부/NNG+가/JKS
전작권	전작권/NNG
전환	전환/NNG
재연기를	재/XPN+연기/NNG+를/JKO
최근	최근/MAG
제안한	제안/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"면서	있/VX+다/EF+"/SS+면서/EC
"양국	"/SS+양국/NNG
이	이/MMD
문제에	문제/NNG+에/JKB
관해	관하/VV+아/EC
협의하고	협의/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.394.5.2
그는 한국 정부의 입장이 버락 오바마 대통령과 존 케리 국무장관에게도 전달됐다고 밝혔다.

그는	그/NP+는/JX
한국	한국/NNP
정부의	정부/NNG+의/JKG
입장이	입장/NNG+이/JKS
버락	버락/NNP
오바마	오바마/NNP
대통령과	대통령/NNG+과/JC
존	존/NNP
케리	케리/NNP
국무장관에게도	국무/NNG+장관/NNG+에게/JKB+도/JX
전달됐다고	전달/NNG+되/XSV+었/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.394.6.1
우리 정부 관계자는 "김 장관은 싱가포르 회담에서 올 들어 3차 핵실험을 통해 더욱 심각해진 북한 핵문제 등 안보 상황을 중요한 조건으로 고려하면서 전작권 전환 준비를 점검하는 등 신중하게 전환을 추진해 나가자고 미측에 제안했다"며 "김 장관이 재연기라는 표현을 쓰지는 않았지만 사실상 재연기에 무게를 뒀던 내용"이라고 말했다.

우리	우리/NP
정부	정부/NNG
관계자는	관계자/NNG+는/JX
"김	"/SS+김/NNP
장관은	장관/NNG+은/JX
싱가포르	싱가포르/NNP
회담에서	회담/NNG+에서/JKB
올	올/NNG
들어	들/VV+어/EC
3차	3/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
통해	통하/VV+아/EC
더욱	더욱/MAG
심각해진	심각하/VA+아/EC+지/VX+ㄴ/ETM
북한	북한/NNP
핵문제	핵/NNG+문제/NNG
등	등/NNB
안보	안보/NNG
상황을	상황/NNG+을/JKO
중요한	중요/NNG+하/XSA+ㄴ/ETM
조건으로	조건/NNG+으로/JKB
고려하면서	고려/NNG+하/XSV+면서/EC
전작권	전작권/NNG
전환	전환/NNG
