# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.236
metadata : {}


# id : NWRW1800000021.236.1.1
‘속병’ 재발한 한나라, 이번에도 응급 봉합?

‘속병’	‘/SS+속병/NNG+’/SS
재발한	재발/NNG+하/XSV+ㄴ/ETM
한나라,	한나라/NNP+,/SP
이번에도	이번/NNG+에/JKB+도/JX
응급	응급/NNG
봉합?	봉합/NNG+?/SF


# id : NWRW1800000021.236.2.1
한나라당이 핵심 쟁점법안인 미디어관계법 국회 처리를 앞두고 적전분열(敵前分裂)하는 지리멸렬한 모습을 보이고 있다.

한나라당이	한나라당/NNP+이/JKS
핵심	핵심/NNG
쟁점법안인	쟁점/NNG+법안/NNG+이/VCP+ㄴ/ETM
미디어관계법	미디어/NNG+관계법/NNG
국회	국회/NNG
처리를	처리/NNG+를/JKO
앞두고	앞두/VV+고/EC
적전분열(敵前分裂)하는	적전/NNG+분열/NNG+(/SS+敵前分裂/SH+)/SS+하/VV+는/ETM
지리멸렬한	지리멸렬/NNG+하/XSV+ㄴ/ETM
모습을	모습/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.236.2.2
박근혜 전 한나라당 대표가 19일 “미디어법을 당장 직권상정한다면 반대표를 던지겠다”고 한 발언이 집권 여당을 송두리째 뒤흔들어 놓고 있는 것이다.

박근혜	박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표가	대표/NNG+가/JKS
19일	19/SN+일/NNB
“미디어법을	“/SS+미디어법/NNG+을/JKO
당장	당장/NNG
직권상정한다면	직권/NNG+상정/NNG+하/XSV+ㄴ다면/EC
반대표를	반대표/NNG+를/JKO
던지겠다”고	던지/VV+겠/EP+다/EF+”/SS+고/JKQ
한	하/VV+ㄴ/ETM
발언이	발언/NNG+이/JKS
집권	집권/NNG
여당을	여당/NNG+을/JKO
송두리째	송두리/NNG+째/XSN
뒤흔들어	뒤흔들/VV+어/EC
놓고	놓/VX+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.236.2.3
한나라당이 미디어법 처리를 위해 민주당과 정면 대치하고 있는 상황에서 불거진 이 같은 내부 파열음은 거대 여당의 한계를 여실히 보여주는 것이다.

한나라당이	한나라당/NNP+이/JKS
미디어법	미디어법/NNG
처리를	처리/NNG+를/JKO
위해	위하/VV+아/EC
민주당과	민주당/NNP+과/JKB
정면	정면/NNG
대치하고	대치/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
불거진	불거지/VV+ㄴ/ETM
이	이/MMD
같은	같/VA+은/ETM
내부	내부/NNG
파열음은	파열음/NNG+은/JX
거대	거대/NNG
여당의	여당/NNG+의/JKG
한계를	한계/NNG+를/JKO
여실히	여실히/MAG
