# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.81
metadata : {}


# id : NWRW1800000041.81.1.1
[사회공헌 Together]인니 청년에 정비 가르치고, 아프리카 주민 자립 도와

[사회공헌	[/SS+사회/NNG+공헌/NNG
Together]인니	Together/SL+]/SS+인니/NNP
청년에	청년/NNG+에/JKB
정비	정비/NNG
가르치고,	가르치/VV+고/EC+,/SP
아프리카	아프리카/NNP
주민	주민/NNG
자립	자립/NNG
도와	돕/VV+아/EC


# id : NWRW1800000041.81.2.1
현대자동차그룹은 ‘자동차를 통한 인류의 행복 추구’라는 경영 이념과 ‘함께 움직이는 세상’이라는 슬로건 아래 교통안전문화 정착(세이프 무브), 장애인 이동편의 증진(이지 무브), 환경보전(그린 무브), 임직원 자원봉사 활성화(해피 무브) 등을 4대 중점 체계로 삼고 사회공헌 활동을 전개하고 있다.

현대자동차그룹은	현대자동차그룹/NNP+은/JX
‘자동차를	‘/SS+자동차/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
인류의	인류/NNG+의/JKG
행복	행복/NNG
추구’라는	추구/NNG+’/SS+이/VCP+라는/ETM
경영	경영/NNG
이념과	이념/NNG+과/JC
‘함께	‘/SS+함께/MAG
움직이는	움직이/VV+는/ETM
세상’이라는	세상/NNG+’/SS+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
교통안전문화	교통안전/NNG+문화/NNG
정착(세이프	정착/NNG+(/SS+세이프/NNG
무브),	무브/NNG+)/SS+,/SP
장애인	장애인/NNG
이동편의	이동/NNG+편의/NNG
증진(이지	증진/NNG+(/SS+이지/NNG
환경보전(그린	환경/NNG+보전/NNG+(/SS+그린/NNG
임직원	임직원/NNG
자원봉사	자원봉사/NNG
활성화(해피	활성/NNG+화/XSN+(/SS+해피/NNG
무브)	무브/NNG+)/SS
등을	등/NNB+을/JKO
4대	4/SN+대/NNG
중점	중점/NNG
체계로	체계/NNG+로/JKB
삼고	삼/VV+고/EC
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
전개하고	전개/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.81.3.1
1월 정몽구 현대차그룹 회장은 신년사에서 “소외된 계층을 보살피는 사회공헌 활동에도 적극 앞장서 국민 모두가 행복을 누릴 수 있도록 함께 최선의 노력을 다해달라”고 임직원들에게 당부하기도 했다.

1월	1/SN+월/NNB
정몽구	정몽구/NNP
현대차그룹	현대차그룹/NNP
회장은	회장/NNG+은/JX
신년사에서	신년사/NNG+에서/JKB
“소외된	“/SS+소외/NNG+되/XSV+ㄴ/ETM
계층을	계층/NNG+을/JKO
보살피는	보살피/VV+는/ETM
사회공헌	사회/NNG+공헌/NNG
활동에도	활동/NNG+에/JKB+도/JX
적극	적극/NNG
앞장서	앞장서/VV+어/EC
국민	국민/NNG
모두가	모두/NNG+가/JKS
행복을	행복/NNG+을/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
함께	함께/MAG
최선의	최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
다해달라”고	다/MAG+하/XSV+아/EC+달/VX+라/EF+”/SS+고/JKQ
임직원들에게	임직원/NNG+들/XSN+에게/JKB
당부하기도	당부/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.81.4.1
2005년 시작한 현대차 대표 사회공헌사업 ‘함께 움직이는 세상 공모사업’은 예산이나 인력 부족으로 복지사업을 진행하는 데 어려움을 겪는 단체들을 지원하고 있다.

2005년	2005/SN+년/NNB
시작한	시작/NNG+하/XSV+ㄴ/ETM
현대차	현대차/NNP
대표	대표/NNG
사회공헌사업	사회/NNG+공헌/NNG+사업/NNG
‘함께	‘/SS+함께/MAG
움직이는	움직이/VV+는/ETM
세상	세상/NNG
공모사업’은	공모/NNG+사업/NNG+’/SS+은/JX
예산이나	예산/NNG+이나/JC
인력	인력/NNG
부족으로	부족/NNG+으로/JKB
복지사업을	복지/NNG+사업/NNG+을/JKO
진행하는	진행/NNG+하/XSV+는/ETM
데	데/NNB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
단체들을	단체/NNG+들/XSN+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.81.4.2
사회복지사업에도 전문화가 필요하기 때문이다.

사회복지사업에도	사회/NNG+복지/NNG+사업/NNG+에/JKB+도/JX
전문화가	전문/NNG+화/XSN+가/JKS
필요하기	필요/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.81.4.3
현대차는 1월 37개 사회복지사업을 새로 선정하는 등 현재까지 총 305개 사업에 40억 원을 지원했다.

현대차는	현대차/NNP+는/JX
1월	1/SN+월/NNB
37개	37/SN+개/NNB
사회복지사업을	사회/NNG+복지/NNG+사업/NNG+을/JKO
새로	새로/MAG
선정하는	선정/NNG+하/XSV+는/ETM
등	등/NNB
현재까지	현재/NNG+까지/JX
총	총/MMA
305개	305/SN+개/NNB
사업에	사업/NNG+에/JKB
40억	40/SN+억/NR
원을	원/NNB+을/JKO
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.81.5.1
기아자동차는 최근 ‘사회공헌 홈페이지(csr.kia.com)’를 개설했다.

기아자동차는	기아자동차/NNP+는/JX
최근	최근/MAG
‘사회공헌	‘/SS+사회/NNG+공헌/NNG
홈페이지(csr.kia.com)’를	홈페이지/NNG+(/SS+csr/SL+./SP+kia/SL+./SP+com/SL+)/SS+’/SS+를/JKO
개설했다.	개설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.81.5.2
이를 계기로 기아차는 회사가 진행하고 있는 사회공헌 활동을 안내하고 이해관계자들과 활발히 소통할 수 있게 됐다.

이를	이/NP+를/JKO
계기로	계기/NNG+로/JKB
기아차는	기아차/NNP+는/JX
회사가	회사/NNG+가/JKS
진행하고	진행/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사회공헌	사회/NNG+공헌/NNG
활동을	활동/NNG+을/JKO
안내하고	안내/NNG+하/XSV+고/EC
이해관계자들과	이해관계자/NNG+들/XSN+과/JKB
활발히	활발히/MAG
소통할	소통/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.81.6.1
현대차그룹은 해외에서도 활발히 사회공헌활동을 펴고 있다.

현대차그룹은	현대차그룹/NNP+은/JX
해외에서도	해외/NNG+에서/JKB+도/JX
활발히	활발히/MAG
사회공헌활동을	사회/NNG+공헌/NNG+활동/NNG+을/JKO
펴고	펴/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.81.6.2
현대차는 1월 인도네시아에 청년들의 자립 기반을 마련해주는 ‘현대·한국국제협력단(코이카) 드림센터’를 건립했다.

현대차는	현대차/NNP+는/JX
1월	1/SN+월/NNB
인도네시아에	인도네시아/NNP+에/JKB
청년들의	청년/NNG+들/XSN+의/JKG
자립	자립/NNG
기반을	기반/NNG+을/JKO
마련해주는	마련/NNG+하/XSV+아/EC+주/VX+는/ETM
‘현대·한국국제협력단(코이카)	‘/SS+현대·한국국제협력단/NNP+(/SS+코이카/NNP+)/SS
드림센터’를	드림센터/NNP+’/SS+를/JKO
건립했다.	건립/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.81.6.3
이 드림센터는 약 1716m² 규모 부지에 교실, 컴퓨터실, 엔진 워크숍, 페인팅숍 등을 갖췄다.

