# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.181
metadata : {}


# id : NWRW1800000038.181.1.1
영훈국제中 행정실장… 뇌물받은 혐의로 체포

영훈국제中	영훈국제中/NNP
행정실장…	행정실장/NNG+…/SE
뇌물받은	뇌물/NNG+받/XSV+은/ETM
혐의로	혐의/NNG+로/JKB
체포	체포/NNG


# id : NWRW1800000038.181.2.1
입학 편의 봐준다며 뒷돈… 檢, 영훈학원 횡령혐의도 수사

입학	입학/NNG
편의	편의/NNG
봐준다며	봐주/VV+ㄴ다며/EC
뒷돈…	뒷돈/NNG+…/SE
檢,	檢/SH+,/SP
영훈학원	영훈학원/NNP
횡령혐의도	횡령/NNG+혐의/NNG+도/JX
수사	수사/NNG


# id : NWRW1800000038.181.3.1
영훈국제중학교 입시 비리 혐의를 수사하고 있는 검찰이 영훈학원 법인의 교비 횡령 혐의 등에 대해서도 수사를 확대하고 있다.

영훈국제중학교	영훈국제중학교/NNP
입시	입시/NNG
비리	비리/NNG
혐의를	혐의/NNG+를/JKO
수사하고	수사/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
검찰이	검찰/NNG+이/JKS
영훈학원	영훈학원/NNP
법인의	법인/NNG+의/JKG
교비	교비/NNG
횡령	횡령/NNG
혐의	혐의/NNG
등에	등/NNB+에/JKB
대해서도	대하/VV+아서/EC+도/JX
수사를	수사/NNG+를/JKO
확대하고	확대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.181.4.1
서울북부지검 형사6부(부장 신성식)는 "성적 조작 등을 통한 입시 비리 혐의 외에 영훈학원이 학교 자금을 유용해 23억2700여만원을 횡령한 혐의를 잡고 28일 서울 강북구 미아동 영훈중을 비롯해 영훈고, 영훈학원 법인과 이사장 자택 등 총 16군데를 압수수색했다"고 29일 밝혔다.

서울북부지검	서울북부지검/NNP
형사6부(부장	형사/NNG+6/SN+부/NNG+(/SS+부장/NNG
신성식)는	신성식/NNP+)/SS+는/JX
"성적	"/SS+성적/NNG
조작	조작/NNG
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
입시	입시/NNG
비리	비리/NNG
혐의	혐의/NNG
외에	외/NNB+에/JKB
영훈학원이	영훈학원/NNP+이/JKS
학교	학교/NNG
자금을	자금/NNG+을/JKO
유용해	유용/NNG+하/XSA+아/EC
23억2700여만원을	23/SN+억/NR+2700/SN+여/XSN+만/NR+원/NNB+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
잡고	잡/VV+고/EC
28일	28/SN+일/NNB
서울	서울/NNP
강북구	강북구/NNP
미아동	미아동/NNP
영훈중을	영훈중/NNP+을/JKO
비롯해	비롯하/VV+아/EC
영훈고,	영훈고/NNP+,/SP
영훈학원	영훈학원/NNP
법인과	법인/NNG+과/JC
이사장	이사장/NNG
자택	자택/NNG
등	등/NNB
총	총/MMA
16군데를	16/SN+군데/NNB+를/JKO
압수수색했다"고	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
29일	29/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.181.4.2
이를 통해 검찰은 서류와 회계 자료, 컴퓨터 자료 등 상자 80개 분량을 확보했다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
검찰은	검찰/NNG+은/JX
서류와	서류/NNG+와/JC
회계	회계/NNG
자료,	자료/NNG+,/SP
컴퓨터	컴퓨터/NNG
자료	자료/NNG
등	등/NNB
상자	상자/NNG
80개	80/SN+개/NNB
분량을	분량/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.181.4.3
검찰은 또 입학 편의를 봐주겠다며 학부모로부터 돈을 받은 혐의로 영훈국제중 행정실장 임모(54)씨를 체포해 조사 중이라고 밝혔다.

검찰은	검찰/NNG+은/JX
또	또/MAG
입학	입학/NNG
편의를	편의/NNG+를/JKO
봐주겠다며	봐주/VV+겠/EP+다며/EC
학부모로부터	학부모/NNG+로부터/JKB
돈을	돈/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
영훈국제중	영훈국제중/NNP
행정실장	행정실장/NNG
임모(54)씨를	임/NNP+모/NP+(/SS+54/SN+)/SS+씨/NNB+를/JKO
체포해	체포/NNG+하/XSV+아/EC
조사	조사/NNG
중이라고	중/NNB+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.181.5.1
검찰은 사회적 배려 대상자의 비경제적 배려 대상자 전형으로 올해 영훈국제중에 입학한 이재용 삼성전자 부회장 아들의 성적 부풀리기 의혹에 대해서는 "이 부회장 아들이 주관적 점수에서 만점을 받아 입학했다고 해도 성적 조작 혐의가 있는지는 수사를 통해 확인해야 한다"고 밝혔다.

검찰은	검찰/NNG+은/JX
사회적	사회/NNG+적/XSN
배려	배려/NNG
대상자의	대상자/NNG+의/JKG
비경제적	비/XPN+경제/NNG+적/XSN
대상자	대상자/NNG
전형으로	전형/NNG+으로/JKB
올해	올해/NNG
영훈국제중에	영훈국제중/NNP+에/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장	부회장/NNG
아들의	아들/NNG+의/JKG
성적	성적/NNG
부풀리기	부풀리기/NNG
의혹에	의혹/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"이	"/SS+이/NNP
아들이	아들/NNG+이/JKS
주관적	주관/NNG+적/XSN
점수에서	점수/NNG+에서/JKB
만점을	만점/NNG+을/JKO
받아	받/VV+아/EC
입학했다고	입학/NNG+하/XSV+았/EP+다고/EC
해도	하/VV+아도/EC
조작	조작/NNG
혐의가	혐의/NNG+가/JKS
있는지는	있/VA+는지/EF+는/JX
수사를	수사/NNG+를/JKO
통해	통하/VV+아/EC
확인해야	확인/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.181.5.2
검찰은 또 "성적 조작을 저지른 학교 관계자뿐 아니라 성적 조작 대가를 지불한 것이 확인되는 학부모들은 소환해 조사할 수 있다"고 말했다.

검찰은	검찰/NNG+은/JX
또	또/MAG
"성적	"/SS+성적/NNG
조작을	조작/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
학교	학교/NNG
관계자뿐	관계자/NNG+뿐/JX
아니라	아니/VCN+라/EC
성적	성적/NNG
조작	조작/NNG
대가를	대가/NNG+를/JKO
지불한	지불/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
확인되는	확인/NNG+되/XSV+는/ETM
학부모들은	학부모/NNG+들/XSN+은/JX
소환해	소환/NNG+하/XSV+아/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.181.5.3
검찰은 성적 조작에 관여한 학교 관계자는 업무방해죄와 배임주재, 성적 조작을 요청하고 대가를 지불한 학부모들은 배임증재로 처벌할 방침이다.

검찰은	검찰/NNG+은/JX
성적	성적/NNG
조작에	조작/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
학교	학교/NNG
관계자는	관계자/NNG+는/JX
업무방해죄와	업무/NNG+방해죄/NNG+와/JC
배임주재,	배임/NNG+주재/NNG+,/SP
조작을	조작/NNG+을/JKO
요청하고	요청/NNG+하/XSV+고/EC
대가를	대가/NNG+를/JKO
지불한	지불/NNG+하/XSV+ㄴ/ETM
학부모들은	학부모/NNG+들/XSN+은/JX
배임증재로	배임/NNG+증재/NNG+로/JKB
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.181.6.1
검찰은 "서울시교육청이 제출한 2013학년도 입시 관련 감사 자료 외에 이전 연도의 자료도 제출받아 수사하고 있다"고 말했다.

검찰은	검찰/NNG+은/JX
"서울시교육청이	"/SS+서울시교육청/NNP+이/JKS
제출한	제출/NNG+하/XSV+ㄴ/ETM
2013학년도	2013/SN+학년도/NNG
입시	입시/NNG
관련	관련/NNG
감사	감사/NNG
자료	자료/NNG
외에	외/NNB+에/JKB
이전	이전/NNG
연도의	연도/NNG+의/JKG
자료도	자료/NNG+도/JX
제출받아	제출/NNG+받/XSV+아/EC
수사하고	수사/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


