# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.339
metadata : {}


# id : NWRW1800000028.339.1.1
다음달부터 금융권 수장 물갈이

다음달부터	다음/NNG+달/NNG+부터/JX
금융권	금융/NNG+권/XSN
수장	수장/NNG
물갈이	물갈이/NNG


# id : NWRW1800000028.339.2.1
올해 하반기와 내년 초 금융권에 최고경영자(CEO) ‘인사 태풍’이 불 전망이다.

올해	올해/NNG
하반기와	하반기/NNG+와/JC
내년	내년/NNG
초	초/NNB
금융권에	금융/NNG+권/XSN+에/JKB
최고경영자(CEO)	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS
‘인사	‘/SS+인사/NNG
태풍’이	태풍/NNG+’/SS+이/JKS
불	불/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.339.3.1
한국자산관리공사(캠코)는 이철휘 전 사장의 사표 제출로 공석인 사장 인선을 위해 지난달 30일 임원추천위원회(임추위)를 구성했다.

한국자산관리공사(캠코)는	한국자산관리공사/NNP+(/SS+캠코/NNP+)/SS+는/JX
이철휘	이철휘/NNP
전	전/MMD
사장의	사장/NNG+의/JKG
사표	사표/NNG
제출로	제출/NNG+로/JKB
공석인	공석/NNG+이/VCP+ㄴ/ETM
사장	사장/NNG
인선을	인선/NNG+을/JKO
위해	위하/VV+아/EC
지난달	지난달/NNG
30일	30/SN+일/NNB
임원추천위원회(임추위)를	임원/NNG+추천/NNG+위원회/NNG+(/SS+임추위/NNG+)/SS+를/JKO
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.339.3.2
조만간 후보자 모집 공고를 내고 11월 중에 선임을 마무리할 계획이다.

조만간	조만간/MAG
후보자	후보자/NNG
모집	모집/NNG
공고를	공고/NNG+를/JKO
내고	내/VV+고/EC
11월	11/SN+월/NNB
중에	중/NNB+에/JKB
선임을	선임/NNG+을/JKO
마무리할	마무리/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.339.3.3
금융권 안팎에서는 차기 사장으로 김경호 전 아시아개발은행(ADB) 이사와 현재 사장 직무대행을 맡고 있는 인호 부사장, 김성진 전 조달청장, 최수현 금융정보분석원(FIU) 원장 등을 거론하고 있다.

금융권	금융/NNG+권/XSN
안팎에서는	안팎/NNG+에서/JKB+는/JX
차기	차기/NNG
사장으로	사장/NNG+으로/JKB
김경호	김경호/NNP
전	전/MMD
아시아개발은행(ADB)	아시아개발은행/NNP+(/SS+ADB/SL+)/SS
이사와	이사/NNG+와/JC
현재	현재/MAG
사장	사장/NNG
직무대행을	직무/NNG+대행/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
인호	인호/NNP
부사장,	부사장/NNG+,/SP
김성진	김성진/NNP
조달청장,	조달청장/NNG+,/SP
최수현	최수현/NNP
금융정보분석원(FIU)	금융/NNG+정보/NNG+분석원/NNG+(/SS+FIU/SL+)/SS
원장	원장/NNG
등을	등/NNB+을/JKO
거론하고	거론/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.339.4.1
오는 12월20일 임기가 끝나는 윤용로 기업은행장의 후임 인선은 11월 말이나 12월 초 행장추천위원회를 구성하면서 시작할 것으로 보인다.

오는	오/VV+는/ETM
12월20일	12/SN+월/NNB+20/SN+일/NNB
임기가	임기/NNG+가/JKS
끝나는	끝나/VV+는/ETM
윤용로	윤용로/NNP
기업은행장의	기업은행장/NNG+의/JKG
후임	후임/NNG
인선은	인선/NNG+은/JX
11월	11/SN+월/NNB
말이나	말/NNB+이나/JC
12월	12/SN+월/NNB
초	초/NNB
행장추천위원회를	행장/NNG+추천/NNG+위원회/NNG+를/JKO
구성하면서	구성/NNG+하/XSV+면서/EC
시작할	시작/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.339.4.2
윤 행장의 연임 가능성과 함께 김용환 금융감독원 수석부원장, 권혁세 금융위원회 부위원장도 물망에 오르고 있다.

윤	윤/NNP
행장의	행장/NNG+의/JKG
연임	연임/NNG
가능성과	가능/NNG+성/XSN+과/JKB
함께	함께/MAG
김용환	김용환/NNP
금융감독원	금융/NNG+감독원/NNG
수석부원장,	수석/NNG+부원장/NNG+,/SP
권혁세	권혁세/NNP
금융위원회	금융/NNG+위원회/NNG
부위원장도	부위원장/NNG+도/JX
물망에	물망/NNG+에/JKB
오르고	오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.339.5.1
내년 3월에는 우리금융지주 회장과 은행장 임기가 끝난다.

내년	내년/NNG
3월에는	3/SN+월/NNB+에/JKB+는/JX
우리금융지주	우리금융지주/NNP
회장과	회장/NNG+과/JC
은행장	은행장/NNG
임기가	임기/NNG+가/JKS
끝난다.	끝나/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.339.5.2
이팔성 우리금융 회장과 이종휘 우리은행장의 거취는 현재 진행중인 우리금융 민영화와의 연계가 불가피하다.

이팔성	이팔성/NNP
우리금융	우리금융/NNP
회장과	회장/NNG+과/JC
이종휘	이종휘/NNP
우리은행장의	우리은행장/NNG+의/JKG
거취는	거취/NNG+는/JX
현재	현재/MAG
진행중인	진행/NNG+중/NNB+이/VCP+ㄴ/ETM
민영화와의	민영/NNG+화/XSN+와/JKB+의/JKG
연계가	연계/NNG+가/JKS
불가피하다.	불가피하/VA+다/EF+./SF


# id : NWRW1800000028.339.5.3
우리금융 인수를 추진중인 하나금융지주도 김승유 회장과 김종렬 사장, 김정태 하나은행장 등의 임기가 내년 3월 만료된다.

우리금융	우리금융/NNP
인수를	인수/NNG+를/JKO
추진중인	추진/NNG+중/NNB+이/VCP+ㄴ/ETM
하나금융지주도	하나금융지주/NNP+도/JX
김승유	김승유/NNP
회장과	회장/NNG+과/JC
김종렬	김종렬/NNP
사장,	사장/NNG+,/SP
김정태	김정태/NNP
하나은행장	하나은행장/NNG
등의	등/NNB+의/JKG
임기가	임기/NNG+가/JKS
내년	내년/NNG
3월	3/SN+월/NNB
만료된다.	만료/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.339.5.4
금융권에서는 이들의 연임을 점치고 있다.

금융권에서는	금융/NNG+권/XSN+에서/JKB+는/JX
이들의	이/NP+들/XSN+의/JKG
연임을	연임/NNG+을/JKO
점치고	점치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.339.6.1
최고경영진끼리의 내분 사태로 한바탕 홍역을 치른 신한금융지주는 라응찬 회장의 차명 계좌 조사, 신상훈 사장의 검찰 조사 결과에 따라 운명이 갈릴 것으로 보인다.

최고경영진끼리의	최고/NNG+경영진/NNG+끼리/XSN+의/JKG
내분	내분/NNG
사태로	사태/NNG+로/JKB
한바탕	한바탕/MAG
홍역을	홍역/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
신한금융지주는	신한금융지주/NNP+는/JX
라응찬	라응찬/NNP
회장의	회장/NNG+의/JKG
차명	차명/NNG
계좌	계좌/NNG
조사,	조사/NNG+,/SP
신상훈	신상훈/NNP
사장의	사장/NNG+의/JKG
검찰	검찰/NNG
조사	조사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
운명이	운명/NNG+이/JKS
갈릴	갈리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.339.6.2
이백순 은행장도 재일동포 주주로부터 5억원이 든 통장을 전달받은 사실이 드러나 귀추가 주목된다.

이백순	이백순/NNP
은행장도	은행장/NNG+도/JX
재일동포	재일/NNG+동포/NNG
주주로부터	주주/NNG+로부터/JKB
5억원이	5/SN+억/NR+원/NNB+이/JKS
든	들/VV+ㄴ/ETM
통장을	통장/NNG+을/JKO
전달받은	전달/NNG+받/XSV+은/ETM
사실이	사실/NNG+이/JKS
드러나	드러나/VV+아/EC
귀추가	귀추/NNG+가/JKS
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


