# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.344
metadata : {}


# id : NWRW1800000053.344.1.1
“바닷모래 채취 못해 건설대란 일어난다는건 공갈협박”… 김영춘 해수장관, 건설업계 강력 비판

“바닷모래	“/SS+바닷모래/NNG
채취	채취/NNG
못해	못/MAG+하/VV+아/EC
건설대란	건설/NNG+대란/NNG
일어난다는건	일어나/VV+ㄴ다는/ETM+거/NNB+ㄴ/JX
공갈협박”…	공갈/NNG+협박/NNG+”/SS+…/SE
김영춘	김영춘/NNP
해수장관,	해수/NNG+장관/NNG+,/SP
건설업계	건설업/NNG+계/XSN
강력	강력/NNG
비판	비판/NNG


# id : NWRW1800000053.344.2.1
어민 등 반발로 1월부터 채취 중단 업계 “수입 안돼 골재대란땐 큰 피해”… 국토부 “해수부와 합의점 도출 할것”

어민	어민/NNG
등	등/NNB
반발로	반발/NNG+로/JKB
1월부터	1/SN+월/NNB+부터/JX
채취	채취/NNG
중단	중단/NNG
업계	업계/NNG
“수입	“/SS+수입/NNG
안돼	안/MAG+되/XSV+어/EC
골재대란땐	골재/NNG+대란/NNG+때/NNG+ㄴ/JX
큰	크/VA+ㄴ/ETM
피해”…	피해/NNG+”/SS+…/SE
국토부	국토부/NNG
“해수부와	“/SS+해수부/NNG+와/JKB
합의점	합의점/NNG
도출	도출/NNG
할것”	하/VV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000053.344.3.1
김영춘 해양수산부 장관이 남해 배타적경제수역(EEZ) 바닷모래 채취 논란과 관련해 “공갈협박”이라는 표현을 써가며 건설업계를 강하게 비판했다.

김영춘	김영춘/NNP
해양수산부	해양/NNG+수산부/NNG
장관이	장관/NNG+이/JKS
남해	남해/NNP
배타적경제수역(EEZ)	배타/NNG+적/XSN+경제/NNG+수역/NNG+(/SS+EEZ/SL+)/SS
바닷모래	바닷모래/NNG
채취	채취/NNG
논란과	논란/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“공갈협박”이라는	“/SS+공갈/NNG+협박/NNG+”/SS+이/VCP+라는/ETM
표현을	표현/NNG+을/JKO
써가며	쓰/VV+어/EC+가/VX+며/EC
건설업계를	건설업/NNG+계/XSN+를/JKO
강하게	강하/VA+게/EC
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.344.3.2
해수부 장관의 이런 발언에 국토교통부와 건설업계는 당혹스러운 표정을 감추지 못하고 있다.

해수부	해수부/NNG
장관의	장관/NNG+의/JKG
이런	이런/MMD
발언에	발언/NNG+에/JKB
국토교통부와	국토/NNG+교통부/NNG+와/JC
건설업계는	건설업/NNG+계/XSN+는/JX
당혹스러운	당혹/NNG+스럽/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
감추지	감추/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.344.4.1
김 장관은 28일 정부세종청사에서 기자들과 만나 “지금까지 바다는 무주공산처럼 먼저 파헤치는 게 임자였는데 그건 곤란하다”면서 “건설업계가 골재 채취를 중단하면 건설대란이 일어난다고 언급하는 것은 공갈협박이라고 본다”고 밝혔다.

김	김/NNP
장관은	장관/NNG+은/JX
28일	28/SN+일/NNB
정부세종청사에서	정부세종청사/NNP+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“지금까지	“/SS+지금/NNG+까지/JX
바다는	바다/NNG+는/JX
무주공산처럼	무주공산/NNG+처럼/JKB
먼저	먼저/MAG
파헤치는	파헤치/VV+는/ETM
게	거/NNB+이/JKS
임자였는데	임자/NNG+이/VCP+었/EP+는데/EC
그건	그거/NP+ㄴ/JX
곤란하다”면서	곤란/NNG+하/XSA+다/EF+”/SS+면서/EC
“건설업계가	“/SS+건설업/NNG+계/XSN+가/JKS
골재	골재/NNG
채취를	채취/NNG+를/JKO
중단하면	중단/NNG+하/XSV+면/EC
건설대란이	건설/NNG+대란/NNG+이/JKS
일어난다고	일어나/VV+ㄴ다고/EC
언급하는	언급/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
공갈협박이라고	공갈/NNG+협박/NNG+이/VCP+라고/EC
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.344.4.2
김 장관은 “육상의 강변 모래를 쓰거나 동남아에서 저렴한 모래를 수입할 수 있는데 미리 대란을 이야기하는 것은 맞지 않다”고도 말했다.

김	김/NNP
장관은	장관/NNG+은/JX
“육상의	“/SS+육상/NNG+의/JKG
강변	강변/NNG
모래를	모래/NNG+를/JKO
쓰거나	쓰/VV+거나/EC
동남아에서	동남아/NNP+에서/JKB
저렴한	저렴하/VA+ㄴ/ETM
수입할	수입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는데	있/VA+는데/EC
미리	미리/MAG
대란을	대란/NNG+을/JKO
이야기하는	이야기/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
맞지	맞/VV+지/EC
않다”고도	않/VX+다/EF+”/SS+고/JKQ+도/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.344.5.1
건설업계와 수산업계는 남해 EEZ 구역에서 바닷모래를 채취하는 문제를 두고 충돌해 왔다.

건설업계와	건설업/NNG+계/XSN+와/JC
수산업계는	수산업/NNG+계/XSN+는/JX
남해	남해/NNP
EEZ	EEZ/SL
구역에서	구역/NNG+에서/JKB
바닷모래를	바닷모래/NNG+를/JKO
채취하는	채취/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
두고	두/VV+고/EC
충돌해	충돌/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.344.5.2
건설업계는 4대강 사업 등으로 육지에 쌓여 있는 모래를 쓰는 것보다 저렴하다면서 바닷모래를 채취해 왔다.

건설업계는	건설업/NNG+계/XSN+는/JX
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
등으로	등/NNB+으로/JKB
육지에	육지/NNG+에/JKB
쌓여	쌓이/VV+어/EC
있는	있/VX+는/ETM
모래를	모래/NNG+를/JKO
쓰는	쓰/VV+는/ETM
것보다	것/NNB+보다/JKB
저렴하다면서	저렴하/VA+다면서/EC
바닷모래를	바닷모래/NNG+를/JKO
채취해	채취/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.344.5.3
이에 수산업계가 어업활동에 지장이 많다고 반발하면서 올 1월부터 채취가 중단됐다.

이에	이/NP+에/JKB
수산업계가	수산업/NNG+계/XSN+가/JKS
어업활동에	어업/NNG+활동/NNG+에/JKB
지장이	지장/NNG+이/JKS
많다고	많/VA+다고/EC
반발하면서	반발/NNG+하/XSV+면서/EC
올	올/NNG
1월부터	1/SN+월/NNB+부터/JX
채취가	채취/NNG+가/JKS
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.344.6.1
국토부 관계자는 “해수부와 원만한 합의점을 도출해 나갈 계획”이라며 “민간협의체를 통해서도 조율을 하겠다”고 말했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
“해수부와	“/SS+해수부/NNG+와/JKB
원만한	원만하/VA+ㄴ/ETM
합의점을	합의점/NNG+을/JKO
도출해	도출/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“민간협의체를	“/SS+민간/NNG+협의체/NNG+를/JKO
통해서도	통하/VV+아서/EC+도/JX
조율을	조율/NNG+을/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.344.6.2
하지만 한 건설업계 관계자는 “올해 1월 남해 바닷모래 채취가 중단됐을 때 부산, 울산, 경남 일대 10개 현장의 공사가 중단된 바 있다”며 “바닷모래는 아직 해외에서 수입이 안 돼 골재대란이 벌어지면 피해가 크다”며 김 장관의 주장을 반박했다.

하지만	하지만/MAJ
한	한/MMN
건설업계	건설업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“올해	“/SS+올해/NNG
1월	1/SN+월/NNB
남해	남해/NNP
바닷모래	바닷모래/NNG
채취가	채취/NNG+가/JKS
중단됐을	중단/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
부산,	부산/NNP+,/SP
울산,	울산/NNP+,/SP
경남	경남/NNP
일대	일대/NNG
10개	10/SN+개/NNB
현장의	현장/NNG+의/JKG
공사가	공사/NNG+가/JKS
중단된	중단/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“바닷모래는	“/SS+바닷모래/NNG+는/JX
아직	아직/MAG
해외에서	해외/NNG+에서/JKB
수입이	수입/NNG+이/JKS
안	안/MAG
돼	되/VV+어/EC
골재대란이	골재/NNG+대란/NNG+이/JKS
벌어지면	벌어지/VV+면/EC
피해가	피해/NNG+가/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
김	김/NNP
장관의	장관/NNG+의/JKG
주장을	주장/NNG+을/JKO
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.344.7.1
현재 부산 경남 지역 건설현장은 서해 등 다른 지역에서 채취한 바닷모래를 쓰고 있다.

현재	현재/MAG
부산	부산/NNP
경남	경남/NNP
지역	지역/NNG
건설현장은	건설/NNG+현장/NNG+은/JX
서해	서해/NNP
등	등/NNB
다른	다른/MMD
지역에서	지역/NNG+에서/JKB
채취한	채취/NNG+하/XSV+ㄴ/ETM
바닷모래를	바닷모래/NNG+를/JKO
쓰고	쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.344.7.2
하지만 운송 거리가 멀어 m³당 1만2000∼1만3000원 수준이던 모래 가격이 최근 1만5000원까지 뛰었다.

하지만	하지만/MAJ
운송	운송/NNG
거리가	거리/NNG+가/JKS
멀어	멀/VA+어/EC
m³당	m³/SW+당/XSN
1만2000∼1만3000원	1/SN+만/NR+2000/SN+∼/SO+1/SN+만/NR+3000/SN+원/NNB
수준이던	수준/NNG+이/VCP+던/ETM
모래	모래/NNG
가격이	가격/NNG+이/JKS
최근	최근/MAG
1만5000원까지	1/SN+만/NR+5000/SN+원/NNB+까지/JX
뛰었다.	뛰/VV+었/EP+다/EF+./SF


