# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.231
metadata : {}


# id : NWRW1800000037.231.1.1
재주는 투수가 부리고, 돈은 타자가 벌었다

재주는	재주/NNG+는/JX
투수가	투수/NNG+가/JKS
부리고,	부리/VV+고/EC+,/SP
돈은	돈/NNG+은/JX
타자가	타자/NNG+가/JKS
벌었다	벌/VV+었/EP+다/EF


# id : NWRW1800000037.231.2.1
■ 프로야구 연봉 재계약 사실상 마무리

■	■/SW
프로야구	프로/NNG+야구/NNG
연봉	연봉/NNG
재계약	재/XPN+계약/NNG
사실상	사실/NNG+상/XSN
마무리	마무리/NNG


# id : NWRW1800000037.231.3.1
‘명분은 투수가 세우고, 실리는 타자가 챙겼다.’

‘명분은	‘/SS+명분/NNG+은/JX
투수가	투수/NNG+가/JKS
세우고,	세우/VV+고/EC+,/SP
실리는	실리/VV+는/ETM
타자가	타자/NNG+가/JKS
챙겼다.’	챙기/VV+었/EP+다/EF+./SF+’/SS


# id : NWRW1800000037.231.4.1
사실상 마무리된 2013년 프로야구 연봉 재계약 판도다.

사실상	사실/NNG+상/XSN
마무리된	마무리/NNG+되/XSV+ㄴ/ETM
2013년	2013/SN+년/NNB
프로야구	프로/NNG+야구/NNG
연봉	연봉/NNG
재계약	재/XPN+계약/NNG
판도다.	판도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.231.4.2
22일 현재 SK를 제외한 8개 구단은 연봉 재계약을 모두 마치고 홀가분한 마음으로 해외 전지훈련에 돌입했다.

22일	22/SN+일/NNB
현재	현재/MAG
SK를	SK/SL+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
8개	8/SN+개/NNB
구단은	구단/NNG+은/JX
연봉	연봉/NNG
재계약을	재/XPN+계약/NNG+을/JKO
모두	모두/MAG
마치고	마치/VV+고/EC
홀가분한	홀가분하/VA+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
해외	해외/NNG
전지훈련에	전지훈련/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.231.4.3
SK도 올 시즌을 마치면 자유계약(FA) 선수로 풀리는 정근우 최정 송은범과 지난해 ‘홀드왕’ 박희수 등 4명을 뺀 나머지 선수와는 재계약을 마무리 지었다.

SK도	SK/SL+도/JX
올	올/NNG
시즌을	시즌/NNG+을/JKO
마치면	마치/VV+면/EC
자유계약(FA)	자유/NNG+계약/NNG+(/SS+FA/SL+)/SS
선수로	선수/NNG+로/JKB
풀리는	풀리/VV+는/ETM
정근우	정근우/NNP
최정	최정/NNP
송은범과	송은범/NNP+과/JC
지난해	지난해/NNG
‘홀드왕’	‘/SS+홀드왕/NNG+’/SS
박희수	박희수/NNP
등	등/NNB
