# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.353
metadata : {}


# id : NWRW1800000021.353.1.1
‘노사 이면합의’ 금융공기업 CEO 해임

‘노사	‘/SS+노사/NNG
이면합의’	이면/NNG+합의/NNG+’/SS
금융공기업	금융/NNG+공기업/NNG
CEO	CEO/SL
해임	해임/NNG


# id : NWRW1800000021.353.2.1
기획재정부와 금융위원회가 금융 공기업의 임금협상 과정에서 노사간에 이면합의가 있었는지 밝히기 위해 임금협상을 끝낸 모든 금융 공기업의 노사합의 내용을 재점검하기로 했다.

기획재정부와	기획/NNG+재정부/NNG+와/JC
금융위원회가	금융/NNG+위원회/NNG+가/JKS
금융	금융/NNG
공기업의	공기업/NNG+의/JKG
임금협상	임금/NNG+협상/NNG
과정에서	과정/NNG+에서/JKB
노사간에	노사/NNG+간/NNB+에/JKB
이면합의가	이면/NNG+합의/NNG+가/JKS
있었는지	있/VA+었/EP+는지/EF
밝히기	밝히/VV+기/ETN
위해	위하/VV+아/EC
임금협상을	임금/NNG+협상/NNG+을/JKO
끝낸	끝내/VV+ㄴ/ETM
모든	모든/MMN
노사합의	노사/NNG+합의/NNG
내용을	내용/NNG+을/JKO
재점검하기로	재/XPN+점검/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.353.2.2
이는 예금보험공사 노동조합이 올해 임금을 깎는 대신 이명박 정부의 임기가 끝난 뒤 임금을 대폭 올리는 이면계약을 회사 측에 요구한 사실이 확인된 데 따른 것이다.

이는	이/NP+는/JX
예금보험공사	예금보험공사/NNP
노동조합이	노동조합/NNG+이/JKS
올해	올해/NNG
임금을	임금/NNG+을/JKO
깎는	깎/VV+는/ETM
대신	대신/NNG
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
임기가	임기/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
대폭	대폭/MAG
올리는	올리/VV+는/ETM
이면계약을	이면/NNG+계약/NNG+을/JKO
회사	회사/NNG
