# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.122
metadata : {}


# id : NWRW1800000033.122.1.1
외국 사진집-그림책 번역본 해외서 인쇄해 오는 이유는

외국	외국/NNG
사진집-그림책	사진집/NNG+-/SO+그림책/NNG
번역본	번역본/NNG
해외서	해외/NNG+서/JKB
인쇄해	인쇄/NNG+하/XSV+아/EC
오는	오/VX+는/ETM
이유는	이유/NNG+는/JX


# id : NWRW1800000033.122.2.1
영국 돌링킨더슬리(DK)의 ‘자연사’ 대백과 사전은 지구 생명의 역사 40억 년을 한눈에 들여다볼 수 있는 생물도감이다.

영국	영국/NNP
돌링킨더슬리(DK)의	돌링킨더슬리/NNP+(/SS+DK/SL+)/SS+의/JKG
‘자연사’	‘/SS+자연사/NNG+’/SS
대백과	대/XPN+백과/NNG
사전은	사전/NNG+은/JX
지구	지구/NNG
생명의	생명/NNG+의/JKG
역사	역사/NNG
40억	40/SN+억/NR
년을	년/NNB+을/JKO
한눈에	한눈/NNG+에/JKB
들여다볼	들여다보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
생물도감이다.	생물/NNG+도감/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.122.2.2
전 세계에서 19개 박물관과 국립동물원을 보유한 스미스소니언협회의 전문가가 촬영한 화보 5000컷이 눈을 사로잡는다.

전	전/MMN
세계에서	세계/NNG+에서/JKB
19개	19/SN+개/NNB
박물관과	박물관/NNG+과/JC
국립동물원을	국립동물원/NNP+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
스미스소니언협회의	스미스소니언협회/NNP+의/JKG
전문가가	전문가/NNG+가/JKS
촬영한	촬영/NNG+하/XSV+ㄴ/ETM
화보	화보/NNG
5000컷이	5000/SN+컷/NNG+이/JKS
눈을	눈/NNG+을/JKO
사로잡는다.	사로잡/VV+는다/EF+./SF


# id : NWRW1800000033.122.2.3
이 책의 한국어판은 국내에서 1년간 번역과 편집을 마친 파일을 해외로 다시 보낸 뒤 3개월간 인쇄 제작 선박 운송을 거쳐 완제품 형태로 수입됐다.

이	이/MMD
책의	책/NNG+의/JKG
한국어판은	한국어판/NNG+은/JX
국내에서	국내/NNG+에서/JKB
1년간	1/SN+년/NNB+간/XSN
번역과	번역/NNG+과/JC
편집을	편집/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
파일을	파일/NNG+을/JKO
해외로	해외/NNG+로/JKB
다시	다시/MAG
보낸	보내/VV+ㄴ/ETM
뒤	뒤/NNG
3개월간	3/SN+개월/NNB+간/XSN
인쇄	인쇄/NNG
제작	제작/NNG
선박	선박/NNG
운송을	운송/NNG+을/JKO
거쳐	거치/VV+어/EC
완제품	완제품/NNG
형태로	형태/NNG+로/JKB
수입됐다.	수입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.122.3.1
사진집이나 그림책은 이처럼 한국어판도 해외에서 인쇄를 해오는 경우가 많다.

사진집이나	사진집/NNG+이나/JC
그림책은	그림책/NNG+은/JX
이처럼	이/NP+처럼/JKB
한국어판도	한국어판/NNG+도/JX
해외에서	해외/NNG+에서/JKB
인쇄를	인쇄/NNG+를/JKO
해오는	하/VV+아/EC+오/VX+는/ETM
경우가	경우/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.122.3.2
이렇게 복잡한 절차를 거치는 이유는 △인쇄의 질이 각국 번역판에 따라 달라지지 않도록 하고 △각국 출판사의 공동 제작으로 저작권 및 인쇄비를 절감하기 위해서다.

이렇게	이렇/VA+게/EC
복잡한	복잡하/VA+ㄴ/ETM
절차를	절차/NNG+를/JKO
거치는	거치/VV+는/ETM
이유는	이유/NNG+는/JX
△인쇄의	△/SW+인쇄/NNG+의/JKG
질이	질/NNG+이/JKS
각국	각국/NNG
번역판에	번역판/NNG+에/JKB
따라	따르/VV+아/EC
달라지지	달라지/VV+지/EC
않도록	않/VX+도록/EC
하고	하/VX+고/EC
△각국	△/SW+각국/NNG
출판사의	출판사/NNG+의/JKG
공동	공동/NNG
제작으로	제작/NNG+으로/JKB
저작권	저작/NNG+권/XSN
및	및/MAG
인쇄비를	인쇄비/NNG+를/JKO
절감하기	절감/NNG+하/XSV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000033.122.4.1
노의성 사이언스북스 편집장은 “국내 인쇄의 질은 세계 어디에 내놔도 뒤지지 않지만, 나라에 따라 명도와 채도의 세팅이 달라질 수 있기 때문에 영국 본사가 총괄해 이탈리아 독일 홍콩 등지에서 인쇄 작업을 한다”고 설명했다.

노의성	노의성/NNP
사이언스북스	사이언스북스/NNP
편집장은	편집장/NNG+은/JX
“국내	“/SS+국내/NNG
인쇄의	인쇄/NNG+의/JKG
질은	질/NNG+은/JX
세계	세계/NNG
어디에	어디/NP+에/JKB
내놔도	내놓/VV+아도/EC
뒤지지	뒤지/VV+지/EC
않지만,	않/VX+지만/EC+,/SP
나라에	나라/NNG+에/JKB
따라	따르/VV+아/EC
명도와	명도/NNG+와/JC
채도의	채도/NNG+의/JKG
세팅이	세팅/NNG+이/JKS
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
영국	영국/NNP
본사가	본사/NNG+가/JKS
총괄해	총괄/NNG+하/XSV+아/EC
이탈리아	이탈리아/NNP
독일	독일/NNP
홍콩	홍콩/NNP
등지에서	등지/NNB+에서/JKB
인쇄	인쇄/NNG
작업을	작업/NNG+을/JKO
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.122.5.1
해외에서 인쇄하는 경우는 세계 수십 개국 출판사가 저작권을 공동 구입해 비용을 줄이는 형태로 진행한다.

해외에서	해외/NNG+에서/JKB
인쇄하는	인쇄/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
세계	세계/NNG
수십	수십/NR
개국	개국/NNB
출판사가	출판사/NNG+가/JKS
저작권을	저작/NNG+권/XSN+을/JKO
공동	공동/NNG
구입해	구입/NNG+하/XSV+아/EC
비용을	비용/NNG+을/JKO
줄이는	줄이/VV+는/ETM
형태로	형태/NNG+로/JKB
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


