# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.72
metadata : {}


# id : NWRW1800000037.72.1.1
“국제결혼, 정부가 엄격히 관리… 한국어 능력 갖추도록 규제를”

“국제결혼,	“/SS+국제결혼/NNG+,/SP
정부가	정부/NNG+가/JKS
엄격히	엄격히/MAG
관리…	관리/NNG+…/SE
한국어	한국어/NNP
능력	능력/NNG
갖추도록	갖추/VV+도록/EC
규제를”	규제/NNG+를/JKO+”/SS


# id : NWRW1800000037.72.2.1
[LG와 함께하는 동아 다문화賞]‘다문화사회…’ 27일부터 국제 콘퍼런스

[LG와	[/SS+LG/SL+와/JKB
함께하는	함께/MAG+하/XSV+는/ETM
동아	동아/NNP
다문화賞]‘다문화사회…’	다문화/NNG+賞/SH+]/SS+‘/SS+다문화/NNG+사회/NNG+…/SE+’/SS
27일부터	27/SN+일/NNB+부터/JX
국제	국제/NNG
콘퍼런스	콘퍼런스/NNG


# id : NWRW1800000037.72.3.1
“국제결혼은 정부의 엄격한 관리가 필요합니다.

“국제결혼은	“/SS+국제결혼/NNG+은/JX
정부의	정부/NNG+의/JKG
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
관리가	관리/NNG+가/JKS
필요합니다.	필요/NNG+하/XSA+ㅂ니다/EF+./SF


# id : NWRW1800000037.72.3.2
경제적인 거래를 목적으로 하는 결혼이 늘면서 사회적인 문제가 발생하고 베트남 여성의 이미지도 악화되고 있기 때문입니다.”

경제적인	경제/NNG+적/XSN+이/VCP+ㄴ/ETM
거래를	거래/NNG+를/JKO
목적으로	목적/NNG+으로/JKB
하는	하/VV+는/ETM
결혼이	결혼/NNG+이/JKS
늘면서	늘/VV+면서/EC
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
문제가	문제/NNG+가/JKS
발생하고	발생/NNG+하/XSV+고/EC
베트남	베트남/NNP
여성의	여성/NNG+의/JKG
이미지도	이미지/NNG+도/JX
악화되고	악화/NNG+되/XSV+고/EC
있기	있/VX+기/ETN
때문입니다.”	때문/NNB+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000037.72.4.1
베트남 사회과학원 쩐티늉 박사의 말이다.

베트남	베트남/NNP
사회과학원	사회/NNG+과학원/NNG
쩐티늉	쩐티늉/NNP
박사의	박사/NNG+의/JKG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.72.4.2
그는 27일 서울 영등포구 태영빌딩 국제회의장에서 열리는 ‘아시아지역 다문화사회 발전을 위한 국제 콘퍼런스’에서 토론자로 나선다.

그는	그/NP+는/JX
27일	27/SN+일/NNB
서울	서울/NNP
영등포구	영등포구/NNP
태영빌딩	태영빌딩/NNP
국제회의장에서	국제회의장/NNG+에서/JKB
열리는	열리/VV+는/ETM
‘아시아지역	‘/SS+아시아지역/NNP
다문화사회	다문화/NNG+사회/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
국제	국제/NNG
콘퍼런스’에서	콘퍼런스/NNG+’/SS+에서/JKB
토론자로	토론자/NNG+로/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.72.4.3
27∼29일 열리는 이번 콘퍼런스는 사단법인 글로벌투게더, 이주배경청소년지원재단, 국회 다문화사회포럼, 동아일보사가 공동 주최한다.

27∼29일	27/SN+∼/SO+29/SN+일/NNB
열리는	열리/VV+는/ETM
이번	이번/NNG
콘퍼런스는	콘퍼런스/NNG+는/JX
사단법인	사단/NNG+법인/NNG
글로벌투게더,	글로벌투게더/NNP+,/SP
이주배경청소년지원재단,	이주배경청소년지원재단/NNP+,/SP
국회	국회/NNG
다문화사회포럼,	다문화/NNG+사회/NNG+포럼/NNG+,/SP
동아일보사가	동아일보사/NNP+가/JKS
공동	공동/NNG
주최한다.	주최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.72.5.1
그는 최근 베트남의 상당수 국제결혼이 ‘4무(無)’로 진행된다고 자국의 현실을 지적했다.

그는	그/NP+는/JX
최근	최근/MAG
베트남의	베트남/NNP+의/JKG
상당수	상당수/NNG
국제결혼이	국제결혼/NNG+이/JKS
‘4무(無)’로	‘/SS+4/SN+무/NNG+(/SS+無/SH+)/SS+’/SS+로/JKB
진행된다고	진행/NNG+되/XSV+ㄴ다고/EC
자국의	자국/NNG+의/JKG
현실을	현실/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.72.5.2
△사랑 △문화 이해 △건강지식 △가족상황에 대한 지식이 없는 상태에서 하는 결혼이 이뤄진다는 것.

△사랑	△/SW+사랑/NNG
△문화	△/SW+문화/NNG
이해	이해/NNG
△건강지식	△/SW+건강/NNG+지식/NNG
△가족상황에	△/SW+가족/NNG+상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지식이	지식/NNG+이/JKS
없는	없/VA+는/ETM
상태에서	상태/NNG+에서/JKB
하는	하/VV+는/ETM
결혼이	결혼/NNG+이/JKS
이뤄진다는	이뤄지/VV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.72.5.3
이를 뒷받침하는 통계도 제시했다.

이를	이/NP+를/JKO
뒷받침하는	뒷받침/NNG+하/XSV+는/ETM
통계도	통계/NNG+도/JX
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.72.5.4
외국인과 결혼한 베트남 여성 중 약 7%만이 사랑 때문에 결혼했다고 답했다.

외국인과	외국인/NNG+과/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
베트남	베트남/NNP
여성	여성/NNG
중	중/NNB
약	약/MMA
7%만이	7/SN+%/SW+만/JX+이/JKS
사랑	사랑/NNG
때문에	때문/NNB+에/JKB
결혼했다고	결혼/NNG+하/XSV+았/EP+다고/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.72.5.5
5명 중 3명꼴인 60%는 가난 때문에 국제결혼을 택했다고 했다.

5명	5/SN+명/NNB
중	중/NNB
3명꼴인	3/SN+명/NNB+꼴/XSN+이/VCP+ㄴ/ETM
60%는	60/SN+%/SW+는/JX
가난	가난/NNG
때문에	때문/NNB+에/JKB
국제결혼을	국제결혼/NNG+을/JKO
택했다고	택하/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.72.5.6
결혼이 가족의 행복을 위해서가 아니라 경제적인 이유로 이뤄지는 점을 말해준다.

결혼이	결혼/NNG+이/JKS
가족의	가족/NNG+의/JKG
행복을	행복/NNG+을/JKO
위해서가	위하/VV+아서/EC+가/JKC
아니라	아니/VCN+라/EC
경제적인	경제/NNG+적/XSN+이/VCP+ㄴ/ETM
이유로	이유/NNG+로/JKB
이뤄지는	이뤄지/VV+는/ETM
점을	점/NNG+을/JKO
말해준다.	말/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.72.5.7
