# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.19
metadata : {}


# id : NWRW1800000054.19.1.1
駐러시아 美 대사에 트럼프, 헌츠먼 지명

駐러시아	駐/SH+러시아/NNP
美	美/SH
대사에	대사/NNG+에/JKB
트럼프,	트럼프/NNP+,/SP
헌츠먼	헌츠먼/NNP
지명	지명/NNG


# id : NWRW1800000054.19.2.1
도널드 트럼프 대통령이 주(駐)러시아 미국 대사로 유타 주지사와 주(駐)중국 대사를 지낸 존 헌츠먼을 낙점했다고 AP통신 등이 8일(현지 시각) 보도했다.

도널드	도널드/NNP
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
주(駐)러시아	주/NA+(/SS+駐/SH+)/SS+러시아/NNP
미국	미국/NNP
대사로	대사/NNG+로/JKB
유타	유타/NNP
주지사와	주지사/NNG+와/JC
주(駐)중국	주/NA+(/SS+駐/SH+)/SS+중국/NNP
대사를	대사/NNG+를/JKO
지낸	지내/VV+ㄴ/ETM
존	존/NNP
헌츠먼을	헌츠먼/NNP+을/JKO
낙점했다고	낙점/NNG+하/XSV+았/EP+다고/EC
AP통신	AP통신/NNP
등이	등/NNB+이/JKS
8일(현지	8/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.19.3.1
헌츠먼은 민주당, 공화당 정권에서 모두 아시아 주요국 대사로 기용된 적이 있다.

헌츠먼은	헌츠먼/NNP+은/JX
민주당,	민주당/NNP+,/SP
공화당	공화당/NNP
정권에서	정권/NNG+에서/JKB
모두	모두/MAG
아시아	아시아/NNP
주요국	주요국/NNG
대사로	대사/NNG+로/JKB
기용된	기용/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.19.3.2
공화당인 조지 H W 부시 정권에선 주싱가포르 대사를 지냈고, 민주당인 버락 오바마 전 대통령 때는 2009년부터 2년간 주중 대사로 활동했다.

공화당인	공화당/NNP+이/VCP+ㄴ/ETM
조지	조지/NNP
H	H/SL
W	W/SL
부시	부시/NNP
정권에선	정권/NNG+에서/JKB+ㄴ/JX
주싱가포르	주싱가포르/NNG
대사를	대사/NNG+를/JKO
지냈고,	지내/VV+었/EP+고/EC+,/SP
민주당인	민주당/NNP+이/VCP+ㄴ/ETM
버락	버락/NNP
오바마	오바마/NNP
전	전/MMD
대통령	대통령/NNG
때는	때/NNG+는/JX
2009년부터	2009/SN+년/NNB+부터/JX
2년간	2/SN+년/NNB+간/XSN
주중	주중/NNG
대사로	대사/NNG+로/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.19.3.3
익명의 미국 정부 관계자는 "헌츠먼은 영리하고 강인한 인물로, 트럼프 대통령이 원하는 바를 잘 이해하고 있어 주러시아 대사직의 적임자"라고 말했다.

익명의	익명/NNG+의/JKG
미국	미국/NNP
정부	정부/NNG
관계자는	관계자/NNG+는/JX
"헌츠먼은	"/SS+헌츠먼/NNP+은/JX
영리하고	영리하/VA+고/EC
강인한	강인하/VA+ㄴ/ETM
인물로,	인물/NNG+로/JKB+,/SP
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
원하는	원/NNG+하/XSV+는/ETM
바를	바/NNB+를/JKO
잘	잘/MAG
이해하고	이해/NNG+하/XSV+고/EC
있어	있/VX+어/EC
주러시아	주러시아/NNG
대사직의	대사직/NNG+의/JKG
적임자"라고	적임자/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.19.3.4
헌츠먼은 2012년 공화당 대선 경선에 출마했다가 고배를 마신 경험이 있다.

헌츠먼은	헌츠먼/NNP+은/JX
2012년	2012/SN+년/NNB
공화당	공화당/NNP
대선	대선/NNG
경선에	경선/NNG+에/JKB
출마했다가	출마/NNG+하/XSV+았/EP+다가/EC
고배를	고배/NNG+를/JKO
마신	마시/VV+ㄴ/ETM
경험이	경험/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.19.3.5
당시 뉴햄프셔 예비 경선에서 3등에 그치자, 사퇴한 뒤 밋 롬니 후보를 지지했다.

당시	당시/NNG
뉴햄프셔	뉴햄프셔/NNP
예비	예비/NNG
경선에서	경선/NNG+에서/JKB
3등에	3/SN+등/NNB+에/JKB
그치자,	그치/VV+자/EC+,/SP
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
밋	밋/NNP
롬니	롬니/NNP
후보를	후보/NNG+를/JKO
지지했다.	지지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.19.4.1
현재 미국 정가는 러시아의 미 대선 개입 의혹으로 시끄러운 상황이다.

현재	현재/MAG
미국	미국/NNP
정가는	정가/NNG+는/JX
러시아의	러시아/NNP+의/JKG
미	미/NNP
대선	대선/NNG
개입	개입/NNG
의혹으로	의혹/NNG+으로/JKB
시끄러운	시끄럽/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.19.4.2
이 때문에 주러시아 미국 대사 자리가 어느 때보다 중요하다는 분석이 나온다.

이	이/MMD
때문에	때문/NNB+에/JKB
주러시아	주러시아/NNG
미국	미국/NNP
대사	대사/NNG
자리가	자리/NNG+가/JKS
어느	어느/MMD
때보다	때/NNG+보다/JKB
중요하다는	중요/NNG+하/XSA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.19.4.3
또 세계 양대 핵 강국인 미국과 러시아는 새 전략무기감축협정(New START)의 연장 문제를 놓고도 머리를 맞대야 한다.

또	또/MAG
세계	세계/NNG
양대	양대/MMA
핵	핵/NNG
강국인	강국/NNG+이/VCP+ㄴ/ETM
미국과	미국/NNP+과/JC
러시아는	러시아/NNP+는/JX
새	새/MMA
전략무기감축협정(New	전략/NNG+무기/NNG+감축/NNG+협정/NNG+(/SS+New/SL
START)의	START/SL+)/SS+의/JKG
연장	연장/NNG
문제를	문제/NNG+를/JKO
놓고도	놓/VV+고/EC+도/JX
머리를	머리/NNG+를/JKO
맞대야	맞대/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.19.4.4
새 전략무기감축협정은 미국과 러시아가 2018년 2월까지 장거리용 핵탄두 수를 각각 1550개 이내로 줄인다는 내용을 담고 있다.

새	새/MMA
전략무기감축협정은	전략/NNG+무기/NNG+감축/NNG+협정/NNG+은/JX
미국과	미국/NNP+과/JC
러시아가	러시아/NNP+가/JKS
2018년	2018/SN+년/NNB
2월까지	2/SN+월/NNB+까지/JX
장거리용	장거리/NNG+용/XSN
핵탄두	핵탄두/NNG
수를	수/NNG+를/JKO
각각	각각/MAG
1550개	1550/SN+개/NNB
이내로	이내/NNG+로/JKB
줄인다는	줄이/VV+ㄴ다는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.19.5.1
