# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.176
metadata : {}


# id : NWRW1800000038.176.1.1
목메는 血肉의 그리움, 北의 가족에 전해지길…

목메는	목메/VV+는/ETM
血肉의	血肉/SH+의/JKG
그리움,	그리움/NNG+,/SP
北의	北/SH+의/JKG
가족에	가족/NNG+에/JKB
전해지길…	전하/VV+아/EC+지/VX+기/ETN+ㄹ/JKO+…/SE


# id : NWRW1800000038.176.2.1
적십자사, 高齡 이산가족 영상편지 1차로 815편 제작

적십자사,	적십자사/NNP+,/SP
高齡	高齡/SH
이산가족	이산가족/NNG
영상편지	영상/NNG+편지/NNG
1차로	1/SN+차/NNB+로/JKB
815편	815/SN+편/NNB
제작	제작/NNG


# id : NWRW1800000038.176.3.1
"그날 이후 우리 한 번도 못 만났지.

"그날	"/SS+그날/NNG
이후	이후/NNG
우리	우리/NP
한	한/MMN
번도	번/NNB+도/JX
못	못/MAG
만났지.	만나/VV+았/EP+지/EF+./SF


# id : NWRW1800000038.176.3.2
다시 집으로 돌아갈 수 없을 거라 생각 못 했다.

다시	다시/MAG
집으로	집/NNG+으로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
거라	거/NNB+이/VCP+라/EC
생각	생각/NNG
못	못/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.3.3
나는 너를 내내 잊지 못하며 살고 있다."

나는	나/NP+는/JX
너를	너/NP+를/JKO
내내	내내/MAG
잊지	잊/VV+지/EC
못하며	못하/VX+며/EC
살고	살/VV+고/EC
있다."	있/VX+다/EF+./SF+"/SS


# id : NWRW1800000038.176.4.1
백발(白髮) 노파는 작은 상 위에 공책을 펼쳤다.

백발(白髮)	백발/NNG+(/SS+白髮/SH+)/SS
노파는	노파/NNG+는/JX
작은	작/VA+은/ETM
상	상/NNG
위에	위/NNG+에/JKB
공책을	공책/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.4.2
삐뚤빼뚤 큼지막한 글씨를 쓰기 시작한 유송녀(94)씨 손에는 힘이 꽉 들어가 보였다.

삐뚤빼뚤	삐뚤빼뚤/MAG
큼지막한	큼지막하/VA+ㄴ/ETM
글씨를	글씨/NNG+를/JKO
쓰기	쓰/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
유송녀(94)씨	유송녀/NNP+(/SS+94/SN+)/SS+씨/NNB
손에는	손/NNG+에/JKB+는/JX
힘이	힘/NNG+이/JKS
꽉	꽉/MAG
들어가	들어가/VV+아/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.4.3
62년 전 헤어진 딸에게 쓰는 편지는 '보석 같은 딸 옥주야'로 시작했다.

62년	62/SN+년/NNB
전	전/NNG
헤어진	헤어지/VV+ㄴ/ETM
딸에게	딸/NNG+에게/JKB
쓰는	쓰/VV+는/ETM
편지는	편지/NNG+는/JX
'보석	'/SS+보석/NNG
같은	같/VA+은/ETM
딸	딸/NNG
옥주야'로	옥주/NNP+야/JKV+'/SS+로/JKB
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.4.4
편지를 쓴 유씨는 울음 대신 '허허' 너털웃음을 웃었다.

편지를	편지/NNG+를/JKO
쓴	쓰/VV+ㄴ/ETM
유씨는	유/NNP+씨/NNB+는/JX
울음	울음/NNG
대신	대신/NNG
'허허'	'/SS+허허/IC+'/SS
너털웃음을	너털웃음/NNG+을/JKO
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.5.1
황해도가 고향인 유씨는 1951년 가을 피란을 오면서 아홉 살짜리 딸 이옥주(현재 나이 71세)씨를 친척 집에 잠시 맡겼다.

황해도가	황해도/NNP+가/JKS
고향인	고향/NNG+이/VCP+ㄴ/ETM
유씨는	유/NNP+씨/NNB+는/JX
1951년	1951/SN+년/NNB
가을	가을/NNG
피란을	피란/NNG+을/JKO
오면서	오/VV+면서/EC
아홉	아홉/NR
살짜리	살/NNB+짜리/XSN
딸	딸/NNG
이옥주(현재	이옥주/NNP+(/SS+현재/MAG
나이	나이/NNG
71세)씨를	71/SN+세/NNB+)/SS+씨/NNB+를/JKO
친척	친척/NNG
집에	집/NNG+에/JKB
잠시	잠시/MAG
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.5.2
"내일모레면 찾으러 오겠다"며 맡긴 딸을 못 본 지 62년째다.

"내일모레면	"/SS+내일모레/NNG+이/VCP+면/EC
찾으러	찾/VV+으러/EC
오겠다"며	오/VV+겠/EP+다/EF+"/SS+며/EC
맡긴	맡기/VV+ㄴ/ETM
딸을	딸/NNG+을/JKO
못	못/MAG
본	보/VV+ㄴ/ETM
지	지/NNB
62년째다.	62/SN+년/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000038.176.5.3
유씨의 아들 이진하(65)씨는 "어머니가 누나를 만나기 전에는 세상을 못 뜬다는 말을 입버릇처럼 하신다"고 했다.

유씨의	유/NNP+씨/NNB+의/JKG
아들	아들/NNG
이진하(65)씨는	이진하/NNP+(/SS+65/SN+)/SS+씨/NNB+는/JX
"어머니가	"/SS+어머니/NNG+가/JKS
누나를	누나/NNG+를/JKO
만나기	만나/VV+기/ETN
전에는	전/NNG+에/JKB+는/JX
세상을	세상/NNG+을/JKO
못	못/MAG
뜬다는	뜨/VV+ㄴ다는/ETM
말을	말/NNG+을/JKO
입버릇처럼	입버릇/NNG+처럼/JKB
하신다"고	하/VV+시/EP+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.5.4
유씨의 애틋한 마음은 12분짜리 '영상편지'에 고스란히 담겼다.

유씨의	유/NNP+씨/NNB+의/JKG
애틋한	애틋하/VA+ㄴ/ETM
마음은	마음/NNG+은/JX
12분짜리	12/SN+분/NNB+짜리/XSN
'영상편지'에	'/SS+영상/NNG+편지/NNG+'/SS+에/JKB
고스란히	고스란히/MAG
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.6.1
매해 3000여명의 이산가족이 고령(高齡)으로 세상을 뜬다.

매해	매해/MAG
3000여명의	3000/SN+여/XSN+명/NNB+의/JKG
이산가족이	이산가족/NNG+이/JKS
고령(高齡)으로	고령/NNG+(/SS+高齡/SH+)/SS+으로/JKB
세상을	세상/NNG+을/JKO
뜬다.	뜨/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.176.6.2
그런데 이들이 직접 북한에 있는 가족을 만나는 대면(對面) 상봉은 남북 관계가 경색되면서 2010년 금강산 상봉을 끝으로 끊겼다.

그런데	그런데/MAJ
이들이	이/NP+들/XSN+이/JKS
직접	직접/MAG
북한에	북한/NNP+에/JKB
있는	있/VA+는/ETM
가족을	가족/NNG+을/JKO
만나는	만나/VV+는/ETM
대면(對面)	대면/NNG+(/SS+對面/SH+)/SS
상봉은	상봉/NNG+은/JX
남북	남북/NNP
관계가	관계/NNG+가/JKS
경색되면서	경색/NNG+되/XSV+면서/EC
2010년	2010/SN+년/NNB
금강산	금강산/NNP
상봉을	상봉/NNG+을/JKO
끝으로	끝/NNG+으로/JKB
끊겼다.	끊기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.176.6.3
화상 상봉도 2005~ 2007년 7차례가 전부였다.

화상	화상/NNG
상봉도	상봉/NNG+도/JX
2005~	2005/SN+~/SO
2007년	2007/SN+년/NNB
7차례가	7/SN+차례/NNG+가/JKS
전부였다.	전부/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.176.7.1
이에 대한적십자사는 고령의 어르신들이 북한에 있는 가족들에게 남기고 싶은 말을 영상에 담는 '영상편지' 제작을 시작했다.

이에	이/NP+에/JKB
대한적십자사는	대한적십자사/NNP+는/JX
고령의	고령/NNG+의/JKG
어르신들이	어르신/NNG+들/XSN+이/JKS
북한에	북한/NNP+에/JKB
있는	있/VA+는/ETM
가족들에게	가족/NNG+들/XSN+에게/JKB
남기고	남기/VV+고/EC
싶은	싶/VX+은/ETM
말을	말/NNG+을/JKO
영상에	영상/NNG+에/JKB
담는	담/VV+는/ETM
'영상편지'	'/SS+영상/NNG+편지/NNG+'/SS
제작을	제작/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.176.7.2
'이산가족정보통합시스템'에 등록한 생존자 약 7만5000명을 대상으로 수요 조사를 한 결과, 1만6823명이 영상편지를 제작하겠다고 희망했다.

