# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.4
metadata : {}


# id : NWRW1800000028.4.1.1
MB정부 정책 ‘박한 점수’ 지지도 ‘후한 점수’ 왜?

MB정부	MB/SL+정부/NNG
정책	정책/NNG
‘박한	‘/SS+박하/VA+ㄴ/ETM
점수’	점수/NNG+’/SS
지지도	지지도/NNG
‘후한	‘/SS+후하/VA+ㄴ/ETM
왜?	왜/MAG+?/SF


# id : NWRW1800000028.4.2.1
이명박 대통령의 국정운영에 대한 국민들의 긍정적인 평가가 촛불집회 이후 최고치를 기록했다.

이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
국정운영에	국정/NNG+운영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국민들의	국민/NNG+들/XSN+의/JKG
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
평가가	평가/NNG+가/JKS
촛불집회	촛불/NNG+집회/NNG
이후	이후/NNG
최고치를	최고/NNG+치/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.4.3.1
<한겨레> 여론조사에서 2008년 촛불집회 이후 이 대통령에 대한 국정운영 지지도가 50%를 넘어선 것은 이번이 처음이다.

<한겨레>	</SS+한겨레/NNP+>/SS
여론조사에서	여론/NNG+조사/NNG+에서/JKB
2008년	2008/SN+년/NNB
촛불집회	촛불/NNG+집회/NNG
이후	이후/NNG
이	이/NNP
대통령에	대통령/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국정운영	국정/NNG+운영/NNG
지지도가	지지도/NNG+가/JKS
50%를	50/SN+%/SW+를/JKO
넘어선	넘어서/VV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.4.3.2
이번 조사에서 응답자의 11.0%가 ‘매우 잘하고 있다’, 45.7%가 ‘대체로 잘하고 있다’고 답했다.

이번	이번/NNG
조사에서	조사/NNG+에서/JKB
응답자의	응답자/NNG+의/JKG
