# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.36
metadata : {}


# id : NWRW1800000044.36.1.1
움츠린 소비심리 되살아나나

움츠린	움츠리/VV+ㄴ/ETM
소비심리	소비/NNG+심리/NNG
되살아나나	되살아나/VV+나/EF


# id : NWRW1800000044.36.2.1
[한겨레] 8월 소비자심리지수 2p 올라

[한겨레]	[/SS+한겨레/NNP+]/SS
8월	8/SN+월/NNB
소비자심리지수	소비자/NNG+심리/NNG+지수/NNG
2p	2/SN+p/SW
올라	오르/VV+아/EF


# id : NWRW1800000044.36.3.1
향후 경기전망은 8p나 상승

향후	향후/NNG
경기전망은	경기/NNG+전망/NNG+은/JX
8p나	8/SN+p/SW+나/JX
상승	상승/NNG


# id : NWRW1800000044.36.4.1
세월호 참사로 움츠러들었던 소비 심리가 다시 살아날 조짐을 보이고 있다.

세월호	세월호/NNP
참사로	참사/NNG+로/JKB
움츠러들었던	움츠러들/VV+었/EP+던/ETM
소비	소비/NNG
심리가	심리/NNG+가/JKS
다시	다시/MAG
살아날	살아나/VV+ㄹ/ETM
조짐을	조짐/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.36.5.1
한국은행은 27일 소비자들의 경제상황에 대한 심리를 종합적으로 보여주는 소비자심리지수가 8월 중에 전달에 견줘 2포인트 상승한 107을 기록했다고 밝혔다.

한국은행은	한국은행/NNP+은/JX
27일	27/SN+일/NNB
소비자들의	소비자/NNG+들/XSN+의/JKG
경제상황에	경제/NNG+상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심리를	심리/NNG+를/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
보여주는	보이/VV+어/EC+주/VX+는/ETM
소비자심리지수가	소비자/NNG+심리/NNG+지수/NNG+가/JKS
8월	8/SN+월/NNB
중에	중/NNB+에/JKB
전달에	전달/NNG+에/JKB
견줘	견주/VV+어/EC
2포인트	2/SN+포인트/NNG
상승한	상승/NNG+하/XSV+ㄴ/ETM
107을	107/SN+을/JKO
기록했다고	기록/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.36.5.2
지난 4월 세월호 참사가 있은 뒤 5월 중 소비자심리지수는 105로 떨어졌다가 이후 107(6월)로 반등하는가 싶더니 지난달 다시 105로 하락했다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
세월호	세월호/NNP
참사가	참사/NNG+가/JKS
있은	있/VA+은/ETM
뒤	뒤/NNG
5월	5/SN+월/NNB
중	중/NNB
소비자심리지수는	소비자/NNG+심리/NNG+지수/NNG+는/JX
105로	105/SN+로/JKB
떨어졌다가	떨어지/VV+었/EP+다가/EC
이후	이후/NNG
107(6월)로	107/SN+(/SS+6/SN+월/NNB+)/SS+로/JKB
반등하는가	반등/NNG+하/XSV+는가/EF
싶더니	싶/VX+더니/EC
지난달	지난달/NNG
다시	다시/MAG
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.36.5.3
소비자심리지수는 100을 기준으로 그보다 크면 경기를 낙관적으로, 작으면 비관적으로 내다보는 쪽이 많다는 것을 뜻한다.

소비자심리지수는	소비자/NNG+심리/NNG+지수/NNG+는/JX
100을	100/SN+을/JKO
기준으로	기준/NNG+으로/JKB
그보다	그/NP+보다/JKB
크면	크/VA+면/EC
경기를	경기/NNG+를/JKO
낙관적으로,	낙관/NNG+적/XSN+으로/JKB+,/SP
작으면	작/VA+으면/EC
비관적으로	비관/NNG+적/XSN+으로/JKB
내다보는	내다보/VV+는/ETM
쪽이	쪽/NNB+이/JKS
많다는	많/VA+다는/ETM
것을	것/NNB+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.36.5.4
가계의 경제상황에 대한 인식을 보여주는 ‘향후 경기 전망’ 소비자동향지수(CSI)도 100으로 전달에 견줘 8포인트 상승했다.

가계의	가계/NNG+의/JKG
경제상황에	경제/NNG+상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인식을	인식/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
‘향후	‘/SS+향후/NNG
경기	경기/NNG
전망’	전망/NNG+’/SS
소비자동향지수(CSI)도	소비자/NNG+동향/NNG+지수/NNG+(/SS+CSI/SL+)/SS+도/JX
100으로	100/SN+으로/JKB
전달에	전달/NNG+에/JKB
견줘	견주/VV+어/EC
8포인트	8/SN+포인트/NNG
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.36.5.5
이는 1년 3개월만에 최대 상승폭이다.

이는	이/NP+는/JX
1년	1/SN+년/NNB
3개월만에	3/SN+개월/NNB+만/NNB+에/JKB
최대	최대/NNG
상승폭이다.	상승/NNG+폭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.36.6.1
이달 중 소비자심리지수가 상승한 것은 최근 최경환 부총리 겸 기획재정부 장관이 이끄는 박근혜 정부 2기 경제팀의 경기부양책과 한은의 기준금리 인하 효과 등이 겹쳐 소비자들의 경기회복 기대감이 높아진 것으로 풀이된다.

이달	이달/NNG
중	중/NNB
소비자심리지수가	소비자/NNG+심리/NNG+지수/NNG+가/JKS
상승한	상승/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
최근	최근/MAG
최경환	최경환/NNP
부총리	부총리/NNG
겸	겸/NNB
기획재정부	기획/NNG+재정부/NNG
장관이	장관/NNG+이/JKS
이끄는	이끌/VV+는/ETM
박근혜	박근혜/NNP
정부	정부/NNG
2기	2/SN+기/NNG
경제팀의	경제/NNG+팀/NNG+의/JKG
경기부양책과	경기/NNG+부양책/NNG+과/JC
한은의	한은/NNP+의/JKG
기준금리	기준/NNG+금리/NNG
인하	인하/NNG
효과	효과/NNG
등이	등/NNB+이/JKS
겹쳐	겹치/VV+어/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
경기회복	경기/NNG+회복/NNG
기대감이	기대감/NNG+이/JKS
높아진	높아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.36.6.2
정문갑 한은 통계조사팀 차장은 “소비자심리지수 상승엔 현재 및 향후 경기전망에 대한 개선이 크게 작용했다”며 “새 경제팀의 경제정책방향과 세제개편안 그리고 한은의 기준금리 인하로 경기회복 기대감이 커지지 않았나 싶다”고 말했다.

