# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.242
metadata : {}


# id : NWRW1800000037.242.1.1
63년만의 메이저 3연승, 인비라면 가능해

63년만의	63/SN+년/NNB+만/NNB+의/JKG
메이저	메이저/NNG
3연승,	3/SN+연승/NNG+,/SP
인비라면	인비/NNP+이/VCP+라면/EC
가능해	가능/NNG+하/XSA+아/EF


# id : NWRW1800000037.242.2.1
27일 개막 US오픈서 대기록 도전

27일	27/SN+일/NNB
개막	개막/NNG
US오픈서	US/SL+오픈/NNG+서/JKB
대기록	대/XPN+기록/NNG
도전	도전/NNG


# id : NWRW1800000037.242.3.1
“박인비는 배짱도 두둑하고 경기를 마무리 짓는 능력도 아주 대단하다.

“박인비는	“/SS+박인비/NNP+는/JX
배짱도	배짱/NNG+도/JX
두둑하고	두둑하/VA+고/EC
경기를	경기/NNG+를/JKO
마무리	마무리/NNG
짓는	짓/VV+는/ETM
능력도	능력/NNG+도/JX
아주	아주/MAG
대단하다.	대단하/VA+다/EF+./SF


# id : NWRW1800000037.242.3.2
그러나 나머지 골퍼들과 진짜 격이 다르다고 하기에는 아직 하나가 모자라다.”

그러나	그러나/MAJ
나머지	나머지/NNG
골퍼들과	골퍼/NNG+들/XSN+과/JKB
진짜	진짜/MAG
격이	격/NNG+이/JKS
다르다고	다르/VA+다고/EC
하기에는	하/VV+기에/EC+는/JX
아직	아직/MAG
하나가	하나/NR+가/JKS
모자라다.”	모자라/VV+다/EF+./SF+”/SS


# id : NWRW1800000037.242.4.1
미국 스포츠 전문채널 ESPN에서 미국여자프로골프(LPGA) 1위 박인비(25·KB금융그룹·사진)에 대해 내린 평가다.

미국	미국/NNP
스포츠	스포츠/NNG
전문채널	전문/NNG+채널/NNG
ESPN에서	ESPN/SL+에서/JKB
미국여자프로골프(LPGA)	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS
1위	1/SN+위/NNB
박인비(25·KB금융그룹·사진)에	박인비/NNP+(/SS+25/SN+·/SP+KB금융그룹/NNP+·/SP+사진/NNG+)/SS+에/JKB
대해	대하/VV+아/EC
내린	내리/VV+ㄴ/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.242.4.2
11주 연속 1위를 차지하고 있는 박인비지만 쩡야니(대만)나 안니카 소렌스탐(스웨덴)처럼 ‘골프 여제’로 불리기엔 아직 2% 부족하다는 뜻이다.

11주	11/SN+주/NNB
연속	연속/NNG
1위를	1/SN+위/NNB+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
박인비지만	박인비/NNP+이/VCP+지만/EC
쩡야니(대만)나	쩡야니/NNP+(/SS+대만/NNP+)/SS+나/JC
안니카	안니카/NNP
소렌스탐(스웨덴)처럼	소렌스탐/NNP+(/SS+스웨덴/NNP+)/SS+처럼/JKB
‘골프	‘/SS+골프/NNG
여제’로	여제/NNG+’/SS+로/JKB
불리기엔	불리/VV+기/ETN+에/JKB+ㄴ/JX
아직	아직/MAG
2%	2/SN+%/SW
부족하다는	부족/NNG+하/XSA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.242.4.3
그러면서 EPSN은 “이번 US여자오픈 우승이야말로 박인비가 ‘검증된 챔피언’으로 우뚝 설 수 있는 기회”라고 덧붙였다.

그러면서	그러/VV+면서/EC
EPSN은	EPSN/SL+은/JX
“이번	“/SS+이번/NNG
US여자오픈	US/SL+여자/NNG+오픈/NNG
우승이야말로	우승/NNG+이야말로/JX
박인비가	박인비/NNP+가/JKS
‘검증된	‘/SS+검증/NNG+되/XSV+ㄴ/ETM
챔피언’으로	챔피언/NNG+’/SS+으로/JKB
우뚝	우뚝/MAG
설	서/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회”라고	기회/NNG+”/SS+라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.242.5.1
올해로 68회를 맞는 US여자오픈은 높은 명성과 권위만큼 상금도 가장 많다.

올해로	올해/NNG+로/JKB
68회를	68/SN+회/NNB+를/JKO
맞는	맞/VV+는/ETM
US여자오픈은	US/SL+여자/NNG+오픈/NNG+은/JX
높은	높/VA+은/ETM
명성과	명성/NNG+과/JC
권위만큼	권위/NNG+만큼/JKB
상금도	상금/NNG+도/JX
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.242.5.2
27일부터 나흘간 미국 뉴욕 주 사우샘프턴의 서보낵 골프장(파72)에서 열리는 올 대회에는 총상금 325만 달러(약 37억6000만 원)가 걸려 있다.

27일부터	27/SN+일/NNB+부터/JX
나흘간	나흘/NNG+간/XSN
미국	미국/NNP
뉴욕	뉴욕/NNP
주	주/NNG
사우샘프턴의	사우샘프턴/NNP+의/JKG
서보낵	서보낵/NNP
골프장(파72)에서	골프장/NNG+(/SS+파/NNG+72/SN+)/SS+에서/JKB
열리는	열리/VV+는/ETM
올	올/NNG
대회에는	대회/NNG+에/JKB+는/JX
총상금	총상금/NNG
325만	325/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
37억6000만	37/SN+억/NR+6000/SN+만/NR
원)가	원/NNB+)/SS+가/JKS
걸려	걸리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.242.5.3
올해 메이저 대회로 승격한 에비앙 마스터스와 함께 최다 상금이다.

올해	올해/NNG
메이저	메이저/NNG
대회로	대회/NNG+로/JKB
승격한	승격/NNG+하/XSV+ㄴ/ETM
에비앙	에비앙/NNP
마스터스와	마스터스/NNG+와/JKB
함께	함께/MAG
최다	최다/NNG
상금이다.	상금/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.242.6.1
올 시즌 이미 5승을 거둔 박인비는 이전 두 차례 메이저 대회(나비스코 챔피언십, 웨그먼스 LPGA 챔피언십)에서 잇따라 우승했다.

올	올/NNG
시즌	시즌/NNG
이미	이미/MAG
5승을	5/SN+승/NNB+을/JKO
거둔	거두/VV+ㄴ/ETM
박인비는	박인비/NNP+는/JX
이전	이전/NNG
두	두/MMN
차례	차례/NNG
메이저	메이저/NNG
대회(나비스코	대회/NNG+(/SS+나비스코/NNP
챔피언십,	챔피언십/NNG+,/SP
웨그먼스	웨그먼스/NNP
LPGA	LPGA/SL
챔피언십)에서	챔피언십/NNG+)/SS+에서/JKB
잇따라	잇따르/VV+아/EC
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.242.6.2
만약 박인비가 US오픈에서도 우승하면 올 시즌 세 차례 메이저 대회에서 연달아 우승하는 기록을 세우게 된다.

만약	만약/MAG
박인비가	박인비/NNP+가/JKS
US오픈에서도	US/SL+오픈/NNG+에서/JKB+도/JX
우승하면	우승/NNG+하/XSV+면/EC
올	올/NNG
시즌	시즌/NNG
세	세/MMN
차례	차례/NNG
메이저	메이저/NNG
대회에서	대회/NNG+에서/JKB
연달아	연달/VV+아/EC
우승하는	우승/NNG+하/XSV+는/ETM
기록을	기록/NNG+을/JKO
세우게	세우/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.242.6.3
이런 기록을 세운 선수는 1950년 베이브 저 하리어스(미국)뿐이다.

이런	이런/MMD
기록을	기록/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
선수는	선수/NNG+는/JX
1950년	1950/SN+년/NNB
베이브	베이브/NNP
저	저/NNP
하리어스(미국)뿐이다.	하리어스/NNP+(/SS+미국/NNP+)/SS+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000037.242.6.4
역대 최고로 손꼽히는 소렌스탐이나 로레나 오초아(멕시코)도 이런 기록을 세우지는 못했다.

역대	역대/NNG
최고로	최고/NNG+로/JKB
손꼽히는	손꼽히/VV+는/ETM
소렌스탐이나	소렌스탐/NNP+이나/JC
로레나	로레나/NNP
오초아(멕시코)도	오초아/NNP+(/SS+멕시코/NNP+)/SS+도/JX
이런	이런/MMD
기록을	기록/NNG+을/JKO
세우지는	세우/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.242.6.5
박인비는 또 이 대회에서 우승하면 박세리(36·KDB금융그룹)가 2001, 2002년 세운 한국 선수 한 시즌 최다승 기록(5승)도 뛰어넘게 된다.

박인비는	박인비/NNP+는/JX
또	또/MAG
이	이/MMD
대회에서	대회/NNG+에서/JKB
우승하면	우승/NNG+하/XSV+면/EC
박세리(36·KDB금융그룹)가	박세리/NNP+(/SS+36/SN+·/SP+KDB금융그룹/NNP+)/SS+가/JKS
2001,	2001/SN+,/SP
2002년	2002/SN+년/NNB
세운	세우/VV+ㄴ/ETM
한국	한국/NNP
선수	선수/NNG
한	한/MMN
시즌	시즌/NNG
최다승	최/XPN+다승/NNG
기록(5승)도	기록/NNG+(/SS+5/SN+승/NNB+)/SS+도/JX
뛰어넘게	뛰어넘/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.242.7.1
박인비는 27일 오후 8시 40분(한국 시간) 스테이시 루이스(미국), 수잔 페테르센(노르웨이)과 10번홀에서 티오프할 예정이다.

박인비는	박인비/NNP+는/JX
27일	27/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
40분(한국	40/SN+분/NNB+(/SS+한국/NNP
시간)	시간/NNG+)/SS
스테이시	스테이시/NNP
루이스(미국),	루이스/NNP+(/SS+미국/NNP+)/SS+,/SP
수잔	수잔/NNP
페테르센(노르웨이)과	페테르센/NNP+(/SS+노르웨이/NNP+)/SS+과/JKB
10번홀에서	10/SN+번/NNB+홀/NNG+에서/JKB
티오프할	티오프/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


