# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.179
metadata : {}


# id : NWRW1800000029.179.1.1
공연 / 이념에 가려진 100년의 시간, 묻어두기엔 너무 큰 ‘최승희’

공연	공연/NNG
/	//SP
이념에	이념/NNG+에/JKB
가려진	가려지/VV+ㄴ/ETM
100년의	100/SN+년/NNB+의/JKG
시간,	시간/NNG+,/SP
묻어두기엔	묻/VV+어/EC+두/VX+기/ETN+에/JKB+ㄴ/JX
너무	너무/MAG
큰	크/VA+ㄴ/ETM
‘최승희’	‘/SS+최승희/NNP+’/SS


# id : NWRW1800000029.179.2.1
세계적인 무용가라는 데 이견이 없는 최승희(1911∼1969)는 국내에선 반쪽밖에 조명을 못 받았다.

세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
무용가라는	무용가/NNG+이/VCP+라는/ETM
데	데/NNB
이견이	이견/NNG+이/JKS
없는	없/VA+는/ETM
최승희(1911∼1969)는	최승희/NNP+(/SS+1911/SN+∼/SO+1969/SN+)/SS+는/JX
국내에선	국내/NNG+에서/JKB+ㄴ/JX
반쪽밖에	반쪽/NNG+밖에/JX
조명을	조명/NNG+을/JKO
못	못/MAG
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.179.2.2
1946년 인천에서 배를 타고 월북한 이력 때문이다.

1946년	1946/SN+년/NNB
인천에서	인천/NNP+에서/JKB
배를	배/NNG+를/JKO
타고	타/VV+고/EC
월북한	월북/NNG+하/XSV+ㄴ/ETM
이력	이력/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.179.2.3
북한에서 김일성의 지원으로 국립최승희무용연구소를 설립하고 한때 중국, 동유럽을 무대로 왕성하게 활동했지만 월북 이후 그의 예술세계에 대해선 자료도 부족했고 국내 무용계가 거의 관심을 두지 않았다.

북한에서	북한/NNP+에서/JKB
김일성의	김일성/NNP+의/JKG
지원으로	지원/NNG+으로/JKB
국립최승희무용연구소를	국립최승희무용연구소/NNP+를/JKO
설립하고	설립/NNG+하/XSV+고/EC
한때	한때/MAG
중국,	중국/NNP+,/SP
동유럽을	동유럽/NNP+을/JKO
무대로	무대/NNG+로/JKB
왕성하게	왕성/NNG+하/XSA+게/EC
활동했지만	활동/NNG+하/XSV+았/EP+지만/EC
월북	월북/NNG
이후	이후/NNG
그의	그/NP+의/JKG
예술세계에	예술/NNG+세계/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
자료도	자료/NNG+도/JX
부족했고	부족/NNG+하/XSA+았/EP+고/EC
국내	국내/NNG
무용계가	무용/NNG+계/XSN+가/JKS
거의	거의/MAG
관심을	관심/NNG+을/JKO
두지	두/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.179.3.1
올해 탄생 100주년을 맞아 최승희에 대한 조명이 다시 활발하다.

올해	올해/NNG
탄생	탄생/NNG
100주년을	100/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
최승희에	최승희/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
조명이	조명/NNG+이/JKS
다시	다시/MAG
활발하다.	활발하/VA+다/EF+./SF


# id : NWRW1800000029.179.3.2
학술대회, 워크숍 등 행사가 잇달아 열린다.

학술대회,	학술/NNG+대회/NNG+,/SP
워크숍	워크숍/NNG
등	등/NNB
행사가	행사/NNG+가/JKS
잇달아	잇달/VV+아/EC
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.179.3.3
조명의 폭은 좀 넓어졌다.

조명의	조명/NNG+의/JKG
폭은	폭/NNG+은/JX
좀	좀/MAG
넓어졌다.	넓어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.179.4.1
최승희탄생100주년기념회와 춤 자료관 연낙재는 ‘최승희 춤의 근대성과 동아시아 확장성’을 주제로 한 학술 심포지엄을 10일 서울 종로구 대학로 예술가의 집 다목적 홀과 다음 달 5일 국립고궁박물관 대강당에서 두 번에 걸쳐 개최한다.

최승희탄생100주년기념회와	최승희탄생100주년기념회/NNP+와/JC
춤	춤/NNG
자료관	자료관/NNG
연낙재는	연낙재/NNP+는/JX
‘최승희	‘/SS+최승희/NNP
춤의	춤/NNG+의/JKG
근대성과	근대/NNG+성/XSN+과/JC
동아시아	동아시아/NNP
확장성’을	확장/NNG+성/XSN+’/SS+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
학술	학술/NNG
심포지엄을	심포지엄/NNG+을/JKO
10일	10/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
대학로	대학로/NNP
예술가의	예술가/NNG+의/JKG
집	집/NNG
다목적	다목적/NNG
홀과	홀/NNG+과/JC
다음	다음/NNG
달	달/NNG
5일	5/SN+일/NNB
국립고궁박물관	국립고궁박물관/NNP
대강당에서	대/XPN+강당/NNG+에서/JKB
두	두/MMN
번에	번/NNB+에/JKB
걸쳐	걸치/VV+어/EC
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.179.5.1
