# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.68
metadata : {}


# id : NWRW1800000054.68.1.1
오른다리 곧추세우고 정면 응시한 첫 관음보살

오른다리	오른/MMD+다리/NNG
곧추세우고	곧추세우/VV+고/EC
정면	정면/NNG
응시한	응시/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
관음보살	관음보살/NNG


# id : NWRW1800000054.68.2.1
기존 '수월관음도' 공식 깬 고려불화

기존	기존/NNG
'수월관음도'	'/SS+수월관음도/NNP+'/SS
공식	공식/NNG
깬	깨/VV+ㄴ/ETM
고려불화	고려/NNP+불화/NNG


# id : NWRW1800000054.68.3.1
관음보살의 눈이 정면을 응시한다.

관음보살의	관음보살/NNG+의/JKG
눈이	눈/NNG+이/JKS
정면을	정면/NNG+을/JKO
응시한다.	응시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.68.3.2
반가부좌였던 다리는 곧추세웠다.

반가부좌였던	반가부좌/NNG+이/VCP+었/EP+던/ETM
다리는	다리/NNG+는/JX
곧추세웠다.	곧추세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.68.4.1
파격적 구도의 고려 수월관음도(水月觀音圖)가 일본의 한 개인 소장자 집에서 발견됐다.

파격적	파격/NNG+적/XSN
구도의	구도/NNG+의/JKG
고려	고려/NNP
수월관음도(水月觀音圖)가	수월관음도/NNP+(/SS+水月觀音圖/SH+)/SS+가/JKS
일본의	일본/NNP+의/JKG
한	한/MMN
개인	개인/NNG
소장자	소장자/NNG
집에서	집/NNG+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.68.4.2
고려 불화 권위자인 정우택 동국대박물관장은 "지난 3월 동국대 개교 111주년 기념사업회 후원으로 일본 지역 한국 불교 미술품을 조사하는 과정에서 고려 불화 '수월관음도'를 발견했다"고 18일 밝혔다.

고려	고려/NNP
불화	불화/NNG
권위자인	권위자/NNG+이/VCP+ㄴ/ETM
정우택	정우택/NNP
