# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.111
metadata : {}


# id : NWRW1800000056.111.1.1
22회 한겨레문학상에 강화길 ‘다른 사람’

22회	22/SN+회/NNB
한겨레문학상에	한겨레/NNP+문학상/NNG+에/JKB
강화길	강화길/NNP
‘다른	‘/SS+다른/MMD
사람’	사람/NNG+’/SS


# id : NWRW1800000056.111.2.1
[한겨레] 3월말 마감에 장편 263편 응모

[한겨레]	[/SS+한겨레/NNP+]/SS
3월말	3/SN+월/NNB+말/NNB
마감에	마감/NNG+에/JKB
장편	장편/NNG
263편	263/SN+편/NNB
응모	응모/NNG


# id : NWRW1800000056.111.3.1
22일 심사에서 당선작 결정

22일	22/SN+일/NNB
심사에서	심사/NNG+에서/JKB
당선작	당선작/NNG
결정	결정/NNG


# id : NWRW1800000056.111.4.1
데이트폭력 소재 영페미 목소리

데이트폭력	데이트/NNG+폭력/NNG
소재	소재/NNG
영페미	영페미/NNG
목소리	목소리/NNG


# id : NWRW1800000056.111.5.1
강화길의 장편소설 <다른 사람>이 제22회 한겨레문학상 수상작으로 뽑혔다.

강화길의	강화길/NNP+의/JKG
장편소설	장편/NNG+소설/NNG
<다른	</SS+다른/MMD
사람>이	사람/NNG+>/SS+이/JKS
제22회	제/XPN+22/SN+회/NNB
한겨레문학상	한겨레/NNP+문학상/NNG
수상작으로	수상작/NNG+으로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.111.5.2
(관련기사 ▶ 데이트 폭력 소재로 영페미니스트 목소리 담아 ▶ “‘다른 사람’의 일이 아니라는 것 말하고 싶었어요”)

(관련기사	(/SS+관련/NNG+기사/NNG
▶	▶/SW
데이트	데이트/NNG
폭력	폭력/NNG
소재로	소재/NNG+로/JKB
영페미니스트	영페미니스트/NNG
목소리	목소리/NNG
담아	담/VV+아/EF
“‘다른	“/SS+‘/SS+다른/MMD
사람’의	사람/NNG+’/SS+의/JKG
일이	일/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
것	것/NNB
말하고	말/NNG+하/XSV+고/EC
싶었어요”)	싶/VX+었/EP+어요/EF+”/SS+)/SS


# id : NWRW1800000056.111.6.1
3월31일 마감한 제22회 한겨레문학상에는 모두 263편이 응모했다.

3월31일	3/SN+월/NNB+31/SN+일/NNB
마감한	마감/NNG+하/XSV+ㄴ/ETM
제22회	제/XPN+22/SN+회/NNB
한겨레문학상에는	한겨레/NNP+문학상/NNG+에/JKB+는/JX
모두	모두/MAG
263편이	263/SN+편/NNB+이/JKS
응모했다.	응모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.111.6.2
심사위원들은 예심에서 8편을 골라 22일 오후 한겨레신문사 회의실에서 본심을 했으며, 투표를 통해 당선작을 결정했다.

심사위원들은	심사/NNG+위원/NNG+들/XSN+은/JX
예심에서	예심/NNG+에서/JKB
8편을	8/SN+편/NNB+을/JKO
골라	고르/VV+아/EC
22일	22/SN+일/NNB
오후	오후/NNG
한겨레신문사	한겨레신문사/NNP
회의실에서	회의실/NNG+에서/JKB
본심을	본심/NNG+을/JKO
했으며,	하/VV+았/EP+으며/EC+,/SP
투표를	투표/NNG+를/JKO
통해	통하/VV+아/EC
당선작을	당선작/NNG+을/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.111.6.3
심사위원들은 심사평에서 “<다른 사람>은 심각한 사회 문제가 되는 데이트 폭력에 대한 날카로운 문제제기와 함께 최근 급부상하는 영페미니스트의 목소리가 구체적으로 담겨 있는 작품이라는 점에서 주목을 받았다”며 “처음부터 끝까지 인물과 사건에 대한 집중력 있는 묘사를 유지하면서, 주제를 향해 흔들림 없이 과감하게 직구를 던진다는 점에서 높은 점수를 받았다”고 밝혔다.

심사위원들은	심사/NNG+위원/NNG+들/XSN+은/JX
심사평에서	심사/NNG+평/NNG+에서/JKB
“<다른	“/SS+</SS+다른/MMD
사람>은	사람/NNG+>/SS+은/JX
심각한	심각하/VA+ㄴ/ETM
사회	사회/NNG
문제가	문제/NNG+가/JKC
되는	되/VV+는/ETM
데이트	데이트/NNG
폭력에	폭력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
날카로운	날카롭/VA+ㄴ/ETM
문제제기와	문제/NNG+제기/NNG+와/JKB
함께	함께/MAG
최근	최근/MAG
급부상하는	급부상/NNG+하/XSV+는/ETM
영페미니스트의	영페미니스트/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
구체적으로	구체/NNG+적/XSN+으로/JKB
담겨	담기/VV+어/EC
있는	있/VA+는/ETM
작품이라는	작품/NNG+이/VCP+라는/ETM
점에서	점/NNG+에서/JKB
주목을	주목/NNG+을/JKO
받았다”며	받/VV+았/EP+다/EF+”/SS+며/EC
“처음부터	“/SS+처음/NNG+부터/JX
끝까지	끝/NNG+까지/JX
인물과	인물/NNG+과/JC
사건에	사건/NNG+에/JKB
집중력	집중력/NNG
묘사를	묘사/NNG+를/JKO
유지하면서,	유지/NNG+하/XSV+면서/EC+,/SP
주제를	주제/NNG+를/JKO
향해	향하/VV+아/EC
흔들림	흔들리/VV+ㅁ/ETN
없이	없이/MAG
과감하게	과감하/VA+게/EC
직구를	직구/NNG+를/JKO
던진다는	던지/VV+ㄴ다는/ETM
높은	높/VA+은/ETM
점수를	점수/NNG+를/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.111.6.4
제22회 한겨레문학상 심사는 문학평론가 황현산·서영인·정여울·정홍수와 소설가 강영숙·김별아·윤성희·주원규·한창훈이 맡았다.

제22회	제/XPN+22/SN+회/NNB
한겨레문학상	한겨레/NNP+문학상/NNG
심사는	심사/NNG+는/JX
문학평론가	문학/NNG+평론가/NNG
황현산·서영인·정여울·정홍수와	황현산/NNP+·/SP+서영인/NNP+·/SP+정여울/NNP+·/SP+정홍수/NNP+와/JC
