# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.241
metadata : {}


# id : NWRW1800000024.241.1.1
CMA 과당경쟁 집중단속

CMA	CMA/SL
과당경쟁	과당/NNG+경쟁/NNG
집중단속	집중/NNG+단속/NNG


# id : NWRW1800000024.241.2.1
금융당국이 종합자산관리계좌(CMA)를 둘러싼 증권업계의 과당경쟁을 차단하고 부작용을 예방하기 위해 오는 9월까지 특별점검에 나선다.

금융당국이	금융/NNG+당국/NNG+이/JKS
종합자산관리계좌(CMA)를	종합/NNG+자산/NNG+관리/NNG+계좌/NNG+(/SS+CMA/SL+)/SS+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
증권업계의	증권업/NNG+계/XSN+의/JKG
과당경쟁을	과당/NNG+경쟁/NNG+을/JKO
차단하고	차단/NNG+하/XSV+고/EC
부작용을	부작용/NNG+을/JKO
예방하기	예방/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
오는	오/VV+는/ETM
9월까지	9/SN+월/NNB+까지/JX
특별점검에	특별/NNG+점검/NNG+에/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.241.2.2
또 시엠에이 관련 금융안정성을 강화하기 위해 새로운 규제 방안도 도입한다.

또	또/MAG
시엠에이	시엠에이/NNG
관련	관련/NNG
금융안정성을	금융/NNG+안정/NNG+성/XSN+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
새로운	새롭/VA+ㄴ/ETM
규제	규제/NNG
방안도	방안/NNG+도/JX
도입한다.	도입/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.241.3.1
금융위원회와 금융감독원은 9일 이런 내용을 뼈대로 하는 ‘시엠에이 시장 감독강화 방안’을 발표했다.

금융위원회와	금융/NNG+위원회/NNG+와/JC
금융감독원은	금융/NNG+감독원/NNG+은/JX
9일	9/SN+일/NNB
이런	이런/MMD
내용을	내용/NNG+을/JKO
뼈대로	뼈대/NNG+로/JKB
하는	하/VV+는/ETM
‘시엠에이	‘/SS+시엠에이/NNG
시장	시장/NNG
감독강화	감독/NNG+강화/NNG
방안’을	방안/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.241.3.2
우선 증권사 임직원을 제외한 계열사 임직원이나 별도 인원을 동원해 시엠에이 관련 상품을 모집하는 행위를 단속한다.

우선	우선/MAG
증권사	증권사/NNG
임직원을	임직원/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
계열사	계열사/NNG
임직원이나	임직원/NNG+이나/JC
별도	별도/NNG
인원을	인원/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
시엠에이	시엠에이/NNG
관련	관련/NNG
상품을	상품/NNG+을/JKO
모집하는	모집/NNG+하/XSV+는/ETM
행위를	행위/NNG+를/JKO
단속한다.	단속/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.241.3.3
금융당국은 금감원과 금융투자협회로 구성된 특별점검반을 구성해 ‘미스터리 쇼핑’ 방식 등을 통해 9월까지 불법 모집행위를 집중 단속할 예정이다.

금융당국은	금융/NNG+당국/NNG+은/JX
금감원과	금감원/NNG+과/JC
금융투자협회로	금융투자협회/NNP+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
특별점검반을	특별/NNG+점검반/NNG+을/JKO
구성해	구성/NNG+하/XSV+아/EC
‘미스터리	‘/SS+미스터리/NNG
