# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.326
metadata : {}


# id : NWRW1800000049.326.1.1
靑 “朴대통령-3당 원내대표 회동 검토”

靑	靑/SH
“朴대통령-3당	“/SS+朴/SH+대통령/NNG+-/SO+3/SN+당/NNG
원내대표	원내/NNG+대표/NNG
회동	회동/NNG
검토”	검토/NNG+”/SS


# id : NWRW1800000049.326.2.1
“당을 전면 쇄신할 수 있는 강력한 비상대책위원회를 꾸려야 한다.”

“당을	“/SS+당/NNG+을/JKO
전면	전면/NNG
쇄신할	쇄신/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
비상대책위원회를	비상/NNG+대책/NNG+위원회/NNG+를/JKO
꾸려야	꾸리/VV+어야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000049.326.3.1
새누리당의 차기 당권주자들은 향후 당 수습을 위해 꾸려질 비대위의 성격 및 과제에 대해 이같이 입을 모았다.

새누리당의	새누리당/NNP+의/JKG
차기	차기/NNG
당권주자들은	당권/NNG+주자/NNG+들/XSN+은/JX
향후	향후/NNG
당	당/NNG
수습을	수습/NNG+을/JKO
위해	위하/VV+아/EC
꾸려질	꾸리/VV+어/EC+지/VX+ㄹ/ETM
비대위의	비대위/NNG+의/JKG
성격	성격/NNG
및	및/MAG
과제에	과제/NNG+에/JKB
대해	대하/VV+아/EC
이같이	이/NP+같이/JKB
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.3.2
다만 “7, 8월에는 전당대회를 치러 새 당 대표를 뽑아야 한다”는 의견이 많았다.

다만	다만/MAG
“7,	“/SS+7/SN+,/SP
8월에는	8/SN+월/NNB+에/JKB+는/JX
전당대회를	전당/NNG+대회/NNG+를/JKO
치러	치르/VV+어/EC
새	새/MMA
당	당/NNG
대표를	대표/NNG+를/JKO
뽑아야	뽑/VV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
의견이	의견/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.326.4.1
이는 동아일보가 8일 당권 도전을 위해 전당대회 출마가 유력한 5명과 전화 인터뷰를 한 결과다.

이는	이/NP+는/JX
동아일보가	동아일보/NNP+가/JKS
8일	8/SN+일/NNB
당권	당권/NNG
도전을	도전/NNG+을/JKO
위해	위하/VV+아/EC
전당대회	전당/NNG+대회/NNG
출마가	출마/NNG+가/JKS
유력한	유력/NNG+하/XSA+ㄴ/ETM
5명과	5/SN+명/NNB+과/JKB
전화	전화/NNG
인터뷰를	인터뷰/NNG+를/JKO
한	하/VV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.326.4.2
응답자 중 4명은 ‘관리형 비대위’보다 ‘쇄신형 비대위’가 필요하다고 주장했다.

응답자	응답자/NNG
중	중/NNB
4명은	4/SN+명/NNB+은/JX
‘관리형	‘/SS+관리/NNG+형/XSN
비대위’보다	비대위/NNG+’/SS+보다/JKB
‘쇄신형	‘/SS+쇄신/NNG+형/XSN
비대위’가	비대위/NNG+’/SS+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.4.3
이정현 의원은 “비대위에서 초계파적으로 당을 화합시켜야 정권 재창출이 가능하다”며 “당헌·당규를 고쳐서라도 당을 바로잡아야 한다”고 주문했다.

이정현	이정현/NNP
의원은	의원/NNG+은/JX
“비대위에서	“/SS+비대위/NNG+에서/JKB
초계파적으로	초/XPN+계파/NNG+적/XSN+으로/JKB
당을	당/NNG+을/JKO
화합시켜야	화합/NNG+시키/XSV+어야/EC
정권	정권/NNG
재창출이	재/XPN+창출/NNG+이/JKS
가능하다”며	가능/NNG+하/XSA+다/EF+”/SS+며/EC
“당헌·당규를	“/SS+당헌/NNG+·/SP+당규/NNG+를/JKO
고쳐서라도	고치/VV+어서/EC+이/VCP+라도/EC
바로잡아야	바로잡/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.4.4
정병국 의원은 “5명의 최고위원회의 방식이 아니라 당 대표에게 힘을 실어줄 수 있도록 지도체제를 개편할 필요가 있다”고 했다.

정병국	정병국/NNP
의원은	의원/NNG+은/JX
“5명의	“/SS+5/SN+명/NNB+의/JKG
최고위원회의	최고/NNG+위원회/NNG+의/JKG
방식이	방식/NNG+이/JKC
아니라	아니/VCN+라/EC
당	당/NNG
대표에게	대표/NNG+에게/JKB
힘을	힘/NNG+을/JKO
실어줄	싣/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
지도체제를	지도/NNG+체제/NNG+를/JKO
개편할	개편/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.4.5
반면 홍문종 의원은 “현실적으로 비대위는 전당대회 관리를 맡고 별도로 혁신위원회를 꾸려 당을 쇄신해야 한다”는 의견을 내놨다.

반면	반면/NNG
홍문종	홍문종/NNP
의원은	의원/NNG+은/JX
“현실적으로	“/SS+현실/NNG+적/XSN+으로/JKB
비대위는	비대위/NNG+는/JX
전당대회	전당/NNG+대회/NNG
관리를	관리/NNG+를/JKO
맡고	맡/VV+고/EC
별도로	별도/NNG+로/JKB
혁신위원회를	혁신/NNG+위원회/NNG+를/JKO
꾸려	꾸리/VV+어/EC
당을	당/NNG+을/JKO
쇄신해야	쇄신/NNG+하/XSV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
의견을	의견/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.5.1
전당대회 개최 시점에 대해 4명은 “늦어도 8월 말 전까지는 전당대회를 열어 새 당 대표를 뽑아야 한다”고 주장했다.

전당대회	전당/NNG+대회/NNG
개최	개최/NNG
시점에	시점/NNG+에/JKB
대해	대하/VV+아/EC
4명은	4/SN+명/NNB+은/JX
“늦어도	“/SS+늦/VA+어도/EC
8월	8/SN+월/NNB
말	말/NNB
전까지는	전/NNG+까지/JX+는/JX
전당대회를	전당/NNG+대회/NNG+를/JKO
열어	열/VV+어/EC
새	새/MMA
당	당/NNG
대표를	대표/NNG+를/JKO
뽑아야	뽑/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.5.2
정우택 의원만 “전당대회가 연말까지 미뤄지는 한이 있더라도 제대로 쇄신 작업을 마치는 게 우선”이라며 “전당대회 경선 관리만 하는 비대위가 꾸려지면 당이 망하는 길”이라고 지적했다.

정우택	정우택/NNP
의원만	의원/NNG+만/JX
“전당대회가	“/SS+전당/NNG+대회/NNG+가/JKS
연말까지	연말/NNG+까지/JX
미뤄지는	미루/VV+어/EC+지/VX+는/ETM
한이	한/NNG+이/JKS
있더라도	있/VA+더라도/EC
제대로	제대로/MAG
쇄신	쇄신/NNG
작업을	작업/NNG+을/JKO
마치는	마치/VV+는/ETM
게	거/NNB+이/JKS
우선”이라며	우선/NNG+”/SS+이/VCP+라며/EC
“전당대회	“/SS+전당/NNG+대회/NNG
경선	경선/NNG
관리만	관리/NNG+만/JX
하는	하/VV+는/ETM
비대위가	비대위/NNG+가/JKS
꾸려지면	꾸리/VV+어/EC+지/VX+면/EC
당이	당/NNG+이/JKS
망하는	망하/VV+는/ETM
길”이라고	길/NNG+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.326.5.3
비대위원장은 원내, 원외 인사를 막론하고 제대로 쇄신 작업을 추진할 수 있는 인물이 선임돼야 한다는 의견이 많았다.

비대위원장은	비대위원장/NNG+은/JX
원내,	원내/NNG+,/SP
원외	원외/NNG
인사를	인사/NNG+를/JKO
막론하고	막론하/VV+고/EC
제대로	제대로/MAG
쇄신	쇄신/NNG
작업을	작업/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인물이	인물/NNG+이/JKS
선임돼야	선임/NNG+되/XSV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.326.5.4
“원내든 원외든 당에 휘둘리지 않고 쇄신 작업을 이뤄낼 수 있는 인사여야 한다”는 것이다.

“원내든	“/SS+원내/NNG+든/JX
원외든	원외/NNG+든/JX
당에	당/NNG+에/JKB
휘둘리지	휘둘리/VV+지/EC
않고	않/VX+고/EC
쇄신	쇄신/NNG
작업을	작업/NNG+을/JKO
