# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.260
metadata : {}


# id : NWRW1800000041.260.1.1
“올림픽팀 맡아도…” 이광종의 걱정

“올림픽팀	“/SS+올림픽/NNG+팀/NNG
맡아도…”	맡/VV+아도/EC+…/SE+”/SS
이광종의	이광종/NNP+의/JKG
걱정	걱정/NNG


# id : NWRW1800000041.260.2.1
20대 초반 K리거 뚜렷한 스타 없고 정치권 병역혜택 축소 움직임 부담

20대	20/SN+대/NNB
초반	초반/NNG
K리거	K/SL+리거/NNG
뚜렷한	뚜렷하/VA+ㄴ/ETM
스타	스타/NNG
없고	없/VA+고/EC
정치권	정치/NNG+권/XSN
병역혜택	병역/NNG+혜택/NNG
축소	축소/NNG
움직임	움직임/NNG
부담	부담/NNG


# id : NWRW1800000041.260.3.1
“협회에서 선택해 주시면 남은 기간 준비를 잘해서 더 열심히 하겠습니다.”

“협회에서	“/SS+협회/NNG+에서/JKB
선택해	선택/NNG+하/XSV+아/EC
주시면	주/VX+시/EP+면/EC
남은	남/VV+은/ETM
기간	기간/NNG
준비를	준비/NNG+를/JKO
잘해서	잘/MAG+하/XSV+아서/EC
더	더/MAG
열심히	열심히/MAG
하겠습니다.”	하/VV+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000041.260.4.1
8일 서울 종로구 신문로 축구회관에서 열린 2014 인천 아시아경기 남자축구 금메달 및 여자축구 동메달 축하연.

8일	8/SN+일/NNB
서울	서울/NNP
종로구	종로구/NNP
신문로	신문로/NNP
축구회관에서	축구회관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
2014	2014/SN
인천	인천/NNP
아시아경기	아시아/NNP+경기/NNG
남자축구	남자/NNG+축구/NNG
금메달	금메달/NNG
및	및/MAG
여자축구	여자/NNG+축구/NNG
동메달	동메달/NNG
축하연.	축하연/NNG+./SF


# id : NWRW1800000041.260.4.2
28년 만의 아시아경기 우승을 이끌어낸 이광종 남자 대표팀 감독(사진)은 2016 리우데자네이루 올림픽 대표팀 감독에 대한 이야기가 나오자 의욕을 보였다.

28년	28/SN+년/NNB
만의	만/NNB+의/JKG
아시아경기	아시아/NNP+경기/NNG
우승을	우승/NNG+을/JKO
이끌어낸	이끌/VV+어/EC+내/VX+ㄴ/ETM
이광종	이광종/NNP
남자	남자/NNG
대표팀	대표/NNG+팀/NNG
감독(사진)은	감독/NNG+(/SS+사진/NNG+)/SS+은/JX
2016	2016/SN
리우데자네이루	리우데자네이루/NNP
