# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.73
metadata : {}


# id : NWRW1800000042.73.1.1
왔다, 프랑스 '꼬꼬닭 아빠들'

왔다,	오/VV+았/EP+다/EF+,/SP
프랑스	프랑스/NNP
'꼬꼬닭	'/SS+꼬꼬닭/NNG
아빠들'	아빠/NNG+들/XSN+'/SS


# id : NWRW1800000042.73.2.1
그림책 '우당탕탕! 꼬꼬닭…' 작가 졸리부아·아인리슈

그림책	그림책/NNG
'우당탕탕!	'/SS+우당탕탕/MAG+!/SF
꼬꼬닭…'	꼬꼬닭/NNG+…/SE+'/SS
작가	작가/NNG
졸리부아·아인리슈	졸리부아/NNP+·/SP+아인리슈/NNP


# id : NWRW1800000042.73.3.1
"닭에게 신세를 졌는데 닭고기를 먹는다는 게 좀…."(졸리부아)

"닭에게	"/SS+닭/NNG+에게/JKB
신세를	신세/NNG+를/JKO
졌는데	지/VV+었/EP+는데/EC
닭고기를	닭고기/NNG+를/JKO
먹는다는	먹/VV+는다는/ETM
게	거/NNB+이/JKS
좀…."(졸리부아)	좀/MAG+…/SE+./SF+"/SS+(/SS+졸리부아/NNP+)/SS


# id : NWRW1800000042.73.4.1
"무슨 상관이람.

"무슨	"/SS+무슨/MMD
상관이람.	상관/NNG+이/VCP+람/EF+./SF


# id : NWRW1800000042.73.4.2
한국에서 치맥이 인기라죠?"(아인리슈)

한국에서	한국/NNP+에서/JKB
치맥이	치맥/NNG+이/JKS
인기라죠?"(아인리슈)	인기/NNG+이/VCP+라죠/EF+?/SF+"/SS+(/SS+아인리슈/NNP+)/SS


# id : NWRW1800000042.73.5.1
프랑스에서 300만 부 판매된 베스트셀러 '우당탕탕! 꼬꼬닭 대소동'을 지은 크리스티앙 졸리부아(66)·크리스티앙 아인리슈(49)는 20년 가까이 공동작업을 해왔지만 닭고기 앞에서는 의견이 갈렸다.

프랑스에서	프랑스/NNP+에서/JKB
300만	300/SN+만/NR
부	부/NNB
판매된	판매/NNG+되/XSV+ㄴ/ETM
베스트셀러	베스트셀러/NNG
'우당탕탕!	'/SS+우당탕탕/MAG+!/SF
꼬꼬닭	꼬꼬닭/NNG
대소동'을	대/XPN+소동/NNG+'/SS+을/JKO
지은	짓/VV+은/ETM
크리스티앙	크리스티앙/NNP
졸리부아(66)·크리스티앙	졸리부아/NNP+(/SS+66/SN+)/SS+·/SP+크리스티앙/NNP
아인리슈(49)는	아인리슈/NNP+(/SS+49/SN+)/SS+는/JX
20년	20/SN+년/NNB
가까이	가까이/MAG
공동작업을	공동/NNG+작업/NNG+을/JKO
해왔지만	하/VV+아/EC+오/VX+았/EP+지만/EC
닭고기	닭고기/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
의견이	의견/NNG+이/JKS
갈렸다.	갈리/VV+었/EP+다/EF+./SF


# id : NWRW1800000042.73.5.2
졸리부아가 글을 쓰고 아인리슈가 삽화를 더한 이 그림책 시리즈는 닭장을 나와 바다로 가고 싶어 하는 꼬꼬닭 카르밀라 등 닭들이 펼치는 모험담이다.

졸리부아가	졸리부아/NNP+가/JKS
글을	글/NNG+을/JKO
쓰고	쓰/VV+고/EC
아인리슈가	아인리슈/NNP+가/JKS
삽화를	삽화/NNG+를/JKO
더한	더/MAG+하/XSV+ㄴ/ETM
이	이/MMD
그림책	그림책/NNG
