# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.255
metadata : {}


# id : NWRW1800000046.255.1.1
[기자의 시각] 되살아난 '일본 만화 海賊(해적)질'

[기자의	[/SS+기자/NNG+의/JKG
시각]	시각/NNG+]/SS
되살아난	되살아나/VV+ㄴ/ETM
'일본	'/SS+일본/NNP
만화	만화/NNG
海賊(해적)질'	海賊/SH+(/SS+해적/NNG+)/SS+질/XSN+'/SS


# id : NWRW1800000046.255.2.1
일본의 대중문화 히트작을 꼽을 때 빠지지 않는 것이 만화 '원피스(One Piece)'다.

일본의	일본/NNP+의/JKG
대중문화	대중문화/NNG
히트작을	히트작/NNG+을/JKO
꼽을	꼽/VV+을/ETM
때	때/NNG
빠지지	빠지/VV+지/EC
않는	않/VX+는/ETM
것이	것/NNB+이/JKS
만화	만화/NNG
'원피스(One	'/SS+원피스/NNP+(/SS+One/SL
Piece)'다.	Piece/SL+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.255.2.2
1997년부터 연재되고 있는 이 만화는 '원피스'라는 미지의 보물을 찾는 착한 해적들의 모험을 그린다.

1997년부터	1997/SN+년/NNB+부터/JX
연재되고	연재/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
이	이/MMD
만화는	만화/NNG+는/JX
'원피스'라는	'/SS+원피스/NNP+'/SS+이/VCP+라는/ETM
미지의	미지/NNG+의/JKG
보물을	보물/NNG+을/JKO
찾는	찾/VV+는/ETM
착한	착하/VA+ㄴ/ETM
해적들의	해적/NNG+들/XSN+의/JKG
모험을	모험/NNG+을/JKO
그린다.	그리/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.255.2.3
TV·극장판·문구 등 원 소스 멀티 유즈(OSMU·하나의 콘텐츠로 여러 사업을 벌이는 것)로도 대성공했다.

TV·극장판·문구	TV/SL+·/SP+극장판/NNG+·/SP+문구/NNG
등	등/NNB
원	원/NNG
소스	소스/NNG
멀티	멀티/NNG
유즈(OSMU·하나의	유즈/NNG+(/SS+OSMU/SL+·/SP+하나/NR+의/JKG
콘텐츠로	콘텐츠/NNG+로/JKB
여러	여러/MMN
사업을	사업/NNG+을/JKO
벌이는	벌이/VV+는/ETM
것)로도	것/NNB+)/SS+로/JKB+도/JX
대성공했다.	대/XPN+성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.255.2.4
전 세계 30여국에 수출됐고, 한국에서도 일찌감치 지상파·케이블 채널을 탔다.

전	전/MMN
세계	세계/NNG
30여국에	30여국/NNG+에/JKB
수출됐고,	수출/NNG+되/XSV+었/EP+고/EC+,/SP
한국에서도	한국/NNP+에서/JKB+도/JX
일찌감치	일찌감치/MAG
지상파·케이블	지상파/NNG+·/SP+케이블/NNG
채널을	채널/NNG+을/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.255.2.5
국내에 '원피스'가 없는 만화방·대여점이 없다고 할 정도다.

국내에	국내/NNG+에/JKB
'원피스'가	'/SS+원피스/NNP+'/SS+가/JKS
없는	없/VA+는/ETM
만화방·대여점이	만화방/NNG+·/SP+대여점/NNG+이/JKS
없다고	없/VA+다고/EC
할	하/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.255.3.1
이 '원피스'의 인기를 보여주는 소식이 최근 잇따라 들려왔다.

이	이/MMD
'원피스'의	'/SS+원피스/NNP+'/SS+의/JKG
인기를	인기/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
소식이	소식/NNG+이/JKS
최근	최근/NNG
잇따라	잇따르/VV+아/EC
들려왔다.	들려오/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.255.3.2
지난 13일 일본의 명소 도쿄타워에 만화를 주제로 꾸민 '원피스 타워'가 문을 열어 관객이 몰려들었다.

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
일본의	일본/NNP+의/JKG
명소	명소/NNG
도쿄타워에	도쿄타워/NNP+에/JKB
만화를	만화/NNG+를/JKO
주제로	주제/NNG+로/JKB
꾸민	꾸미/VV+ㄴ/ETM
'원피스	'/SS+원피스/NNP
타워'가	타워/NNP+'/SS+가/JKS
문을	문/NNG+을/JKO
열어	열/VV+어/EC
관객이	관객/NNG+이/JKS
몰려들었다.	몰려들/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.255.3.3
만화 배경을 재현한 분위기 속에 놀이시설·게임·레스토랑 등을 갖췄고, 외국 팬들의 인기를 반영하듯 홈페이지는 한국어·중국어·영어로도 제작돼 있다.

만화	만화/NNG
배경을	배경/NNG+을/JKO
재현한	재현/NNG+하/XSV+ㄴ/ETM
분위기	분위기/NNG
속에	속/NNG+에/JKB
놀이시설·게임·레스토랑	놀이/NNG+시설/NNG+·/SP+게임/NNG+·/SP+레스토랑/NNG
등을	등/NNB+을/JKO
갖췄고,	갖추/VV+었/EP+고/EC+,/SP
외국	외국/NNG
팬들의	팬/NNG+들/XSN+의/JKG
인기를	인기/NNG+를/JKO
반영하듯	반영/NNG+하/XSV+듯/EC
홈페이지는	홈페이지/NNG+는/JX
한국어·중국어·영어로도	한국어/NNP+·/SP+중국어/NNP+·/SP+영어/NNP+로/JKB+도/JX
제작돼	제작/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.255.3.4
하루 앞선 12일에는 한국 문화체육관광부가 불법 복제 '원피스 피규어(캐릭터 인형)' 1746개를 압수하고 유통업자를 입건했다.

하루	하루/NNG
앞선	앞서/VV+ㄴ/ETM
12일에는	12/SN+일/NNB+에/JKB+는/JX
한국	한국/NNP
문화체육관광부가	문화/NNG+체육/NNG+관광부/NNG+가/JKS
불법	불법/NNG
복제	복제/NNG
'원피스	'/SS+원피스/NNP
피규어(캐릭터	피규어/NNG+(/SS+캐릭터/NNG
인형)'	인형/NNG+)/SS+'/SS
1746개를	1746/SN+개/NNB+를/JKO
압수하고	압수/NNG+하/XSV+고/EC
유통업자를	유통업자/NNG+를/JKO
입건했다.	입건/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.255.3.5
저작권을 침해한 피규어 불법 복제품이 적발된 첫 사례다.

저작권을	저작/NNG+권/XSN+을/JKO
침해한	침해/NNG+하/XSV+ㄴ/ETM
피규어	피규어/NNG
불법	불법/NNG
복제품이	복제품/NNG+이/JKS
적발된	적발/NNG+되/XSV+ㄴ/ETM
첫	첫/MMN
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.255.4.1
두 소식은 일본 문화 개방과 한류 붐 직전까지 '무시'와 '열등감'이라는 이중 잣대 속에 뒤틀려 있던 한국의 일본 대중문화에 대한 시선을 떠올리게 한다.

두	두/MMN
소식은	소식/NNG+은/JX
일본	일본/NNP
문화	문화/NNG
개방과	개방/NNG+과/JC
한류	한류/NNG
붐	붐/NNG
직전까지	직전/NNG+까지/JX
'무시'와	'/SS+무시/NNG+'/SS+와/JC
'열등감'이라는	'/SS+열등감/NNG+'/SS+이/VCP+라는/ETM
이중	이중/NNG
잣대	잣대/NNG
