# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.69
metadata : {}


# id : NWRW1800000052.69.1.1
사찰 불안은 덜었는데, 감청설비 구비 의무화 걱정되네

사찰	사찰/NNG
불안은	불안/NNG+은/JX
덜었는데,	덜/VV+었/EP+는데/EC+,/SP
감청설비	감청/NNG+설비/NNG
구비	구비/NNG
의무화	의무/NNG+화/XSN
걱정되네	걱정/NNG+되/XSV+네/EF


# id : NWRW1800000052.69.2.1
검찰 “감청 말라는 것” 난감해하며 대안 마련 강조

검찰	검찰/NNG
“감청	“/SS+감청/NNG
말라는	말/VV+라는/ETM
것”	것/NNB+”/SS
난감해하며	난감하/VA+아/EC+하/VX+며/EC
대안	대안/NNG
마련	마련/NNG
강조	강조/NNG


# id : NWRW1800000052.69.3.1
시민단체 “감청설비 설치 법 제정 밀어붙일 우려”

시민단체	시민/NNG+단체/NNG
“감청설비	“/SS+감청/NNG+설비/NNG
설치	설치/NNG
법	법/NNG
제정	제정/NNG
밀어붙일	밀어붙이/VV+ㄹ/ETM
우려”	우려/NNG+”/SS


# id : NWRW1800000052.69.4.1
카카오 중단했다 재개 전례 있어 ‘진의’ 의심

카카오	카카오/NNP
중단했다	중단/NNG+하/XSV+았/EP+다/EC
재개	재개/NNG
전례	전례/NNG
있어	있/VA+어/EC
‘진의’	‘/SS+진의/NNG+’/SS
의심	의심/NNG


# id : NWRW1800000052.69.5.1
카카오가 14일 감청영장 집행에 협조하지 않기로 하면서 정보·수사기관이 합법적 방법으로는 카톡 대화 내용을 입수할 수 없게 됐다.

카카오가	카카오/NNP+가/JKS
14일	14/SN+일/NNB
감청영장	감청/NNG+영장/NNG
집행에	집행/NNG+에/JKB
협조하지	협조/NNG+하/XSV+지/EC
않기로	않/VX+기/ETN+로/JKB
하면서	하/VV+면서/EC
정보·수사기관이	정보/NNG+·/SP+수사/NNG+기관/NNG+이/JKS
합법적	합법/NNG+적/XSN
방법으로는	방법/NNG+으로/JKB+는/JX
카톡	카톡/NNP
대화	대화/NNG
내용을	내용/NNG+을/JKO
입수할	입수/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.69.5.2
이용자들은 ‘사찰’ 불안을 덜 수 있게 된 셈이다.

이용자들은	이용자/NNG+들/XSN+은/JX
‘사찰’	‘/SS+사찰/NNG+’/SS
불안을	불안/NNG+을/JKO
덜	덜/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.69.5.3
그러나 검찰이 반발하고 나서면서, 관련 업계와 시민단체 쪽에선 감청설비 구비 의무화 법안 제정을 다시 밀어붙이는 것 아니냐는 우려가 나온다.

그러나	그러나/MAJ
검찰이	검찰/NNG+이/JKS
반발하고	반발/NNG+하/XSV+고/EC
나서면서,	나서/VV+면서/EC+,/SP
관련	관련/NNG
업계와	업계/NNG+와/JC
시민단체	시민/NNG+단체/NNG
쪽에선	쪽/NNB+에서/JKB+ㄴ/JX
감청설비	감청/NNG+설비/NNG
구비	구비/NNG
의무화	의무/NNG+화/XSN
법안	법안/NNG
제정을	제정/NNG+을/JKO
다시	다시/MAG
밀어붙이는	밀어붙이/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.69.6.1
검찰은 중대 범죄 수사에 차질이 우려된다며 대법원 판결을 납득할 수 없다고 했다.

검찰은	검찰/NNG+은/JX
중대	중대/NNG
범죄	범죄/NNG
수사에	수사/NNG+에/JKB
차질이	차질/NNG+이/JKS
우려된다며	우려/NNG+되/XSV+ㄴ다며/EC
대법원	대/XPN+법원/NNG
판결을	판결/NNG+을/JKO
납득할	납득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.69.6.2
검찰이 하급심 판결에 반발하는 경우는 가끔 있지만, 대검찰청이 최고법원인 대법원의 판단에 “납득하기 어렵다”는 공식 입장을 낸 것은 이례적이다.

검찰이	검찰/NNG+이/JKS
하급심	하급심/NNG
판결에	판결/NNG+에/JKB
반발하는	반발/NNG+하/XSV+는/ETM
경우는	경우/NNG+는/JX
가끔	가끔/MAG
있지만,	있/VA+지만/EC+,/SP
대검찰청이	대/XPN+검찰청/NNG+이/JKS
최고법원인	최고/NNG+법원/NNG+이/VCP+ㄴ/ETM
대법원의	대/XPN+법원/NNG+의/JKG
판단에	판단/NNG+에/JKB
