# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.31
metadata : {}


# id : NWRW1800000040.31.1.1
미·중 금융위기 우려 완화 코스피 엿새만에 소폭 올라

미·중	미/NNP+·/SP+중/NNP
금융위기	금융/NNG+위기/NNG
우려	우려/NNG
완화	완화/NNG
코스피	코스피/NNP
엿새만에	엿새/NNG+만/JX+에/JKB
소폭	소폭/NNG
올라	오르/VV+아/EF


# id : NWRW1800000040.31.2.1
외국인 14일째 매도세

외국인	외국인/NNG
14일째	14/SN+일/NNB+째/XSN
매도세	매도세/NNG


# id : NWRW1800000040.31.3.1
미국과 중국발 악재에 떠밀려 하락하던 코스피 지수가 엿새 만에 반등했다.

미국과	미국/NNP+과/JC
중국발	중국/NNP+발/XSN
악재에	악재/NNG+에/JKB
떠밀려	떠밀리/VV+어/EC
하락하던	하락/NNG+하/XSV+던/ETM
코스피	코스피/NNP
지수가	지수/NNG+가/JKS
엿새	엿새/NNG
만에	만/NNB+에/JKB
반등했다.	반등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.31.3.2
그러나 14일째 이어진 외국인 매도세로 상승 폭은 미미했다.

그러나	그러나/MAJ
14일째	14/SN+일/NNB+째/XSN
이어진	이어지/VV+ㄴ/ETM
외국인	외국인/NNG
매도세로	매도세/NNG+로/JKB
상승	상승/NNG
폭은	폭/NNG+은/JX
미미했다.	미미하/VA+았/EP+다/EF+./SF


# id : NWRW1800000040.31.4.1
26일 유가증권시장에서 코스피 지수는 전날보다 2.82(0.16%) 오른 1783.45로 거래를 마쳤다.

26일	26/SN+일/NNB
유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
코스피	코스피/NNP
지수는	지수/NNG+는/JX
전날보다	전날/NNG+보다/JKB
2.82(0.16%)	2/SN+./SP+82/SN+(/SS+0/SN+./SP+16/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
1783.45로	1783/SN+./SP+45/SN+로/JKB
거래를	거래/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.31.4.2
코스피는 미국에서 개선된 경제지표가 나오고 중국의 신용경색 우려가 약간 누그러지면서 1% 가까운 오름세로 출발했으나, 외국인 매도 탓에 상승 폭은 미미한 수준에 그쳤다.

코스피는	코스피/NNP+는/JX
미국에서	미국/NNP+에서/JKB
개선된	개선/NNG+되/XSV+ㄴ/ETM
경제지표가	경제/NNG+지표/NNG+가/JKS
나오고	나오/VV+고/EC
중국의	중국/NNP+의/JKG
신용경색	신용/NNG+경색/NNG
우려가	우려/NNG+가/JKS
약간	약간/MAG
누그러지면서	누그러지/VV+면서/EC
1%	1/SN+%/SW
가까운	가깝/VA+ㄴ/ETM
오름세로	오름세/NNG+로/JKB
출발했으나,	출발/NNG+하/XSV+았/EP+으나/EC+,/SP
외국인	외국인/NNG
매도	매도/NNG
탓에	탓/NNG+에/JKB
상승	상승/NNG
폭은	폭/NNG+은/JX
미미한	미미하/VA+ㄴ/ETM
수준에	수준/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.31.4.3
