# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.66
metadata : {}


# id : NWRW1800000033.66.1.1
中본토 공략나선 미국식 중화요리

中본토	中/SH+본토/NNG
공략나선	공략/NNG+나서/VV+ㄴ/ETM
미국식	미국식/NNG
중화요리	중화요리/NNG


# id : NWRW1800000033.66.2.1
‘판다익스프레스’ 등 진출 추진

‘판다익스프레스’	‘/SS+판다익스프레스/NNP+’/SS
등	등/NNB
진출	진출/NNG
추진	추진/NNG


# id : NWRW1800000033.66.3.1
한국식 중화요리인 짜장면처럼 미국에도 중국에 뿌리를 뒀지만 미국인들의 입맛에 맞춰 탄생한 ‘미국식 중국음식’이 있다.

한국식	한국식/NNG
중화요리인	중화요리/NNG+이/VCP+ㄴ/ETM
짜장면처럼	짜장면/NNG+처럼/JKB
미국에도	미국/NNP+에/JKB+도/JX
중국에	중국/NNP+에/JKB
뿌리를	뿌리/NNG+를/JKO
뒀지만	두/VV+었/EP+지만/EC
미국인들의	미국인/NNG+들/XSN+의/JKG
입맛에	입맛/NNG+에/JKB
맞춰	맞추/VV+어/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
‘미국식	‘/SS+미국식/NNG
중국음식’이	중국/NNP+음식/NNG+’/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.66.3.2
닭고기를 튀겨 달콤새콤한 소스로 양념한 ‘오렌지 치킨’(사진) ‘세서미 치킨’ 등이 대표적이다.

닭고기를	닭고기/NNG+를/JKO
튀겨	튀기/VV+어/EC
달콤새콤한	달콤새콤하/VA+ㄴ/ETM
소스로	소스/NNG+로/JKB
양념한	양념/NNG+하/XSV+ㄴ/ETM
‘오렌지	‘/SS+오렌지/NNG
치킨’(사진)	치킨/NNG+’/SS+(/SS+사진/NNG+)/SS
‘세서미	‘/SS+세서미/NNG
치킨’	치킨/NNG+’/SS
등이	등/NNB+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000033.66.3.3
특히 청나라 말 태평천국의 난을 진압한 장군 좌종상(左宗棠)의 이름을 딴 ‘제너럴조 치킨’은 1970년대 뉴욕의 중국식당에서 선보인 뒤 미국 중화요리의 상징이 됐다.

특히	특히/MAG
청나라	청나라/NNP
말	말/NNB
태평천국의	태평천국/NNG+의/JKG
난을	난/NNG+을/JKO
진압한	진압/NNG+하/XSV+ㄴ/ETM
장군	장군/NNG
좌종상(左宗棠)의	좌종상/NNP+(/SS+左宗棠/SH+)/SS+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
‘제너럴조	‘/SS+제너럴조/NNP
치킨’은	치킨/NNG+’/SS+은/JX
1970년대	1970/SN+년대/NNB
뉴욕의	뉴욕/NNP+의/JKG
중국식당에서	중국/NNP+식당/NNG+에서/JKB
선보인	선보이/VV+ㄴ/ETM
뒤	뒤/NNG
미국	미국/NNP
중화요리의	중화요리/NNG+의/JKG
상징이	상징/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.66.3.4
과자 안에 운세가 적힌 쪽지가 들어간 ‘포천쿠키’도 1910년대 중국계 미국인이 만들었다.

과자	과자/NNG
안에	안/NNG+에/JKB
운세가	운세/NNG+가/JKS
적힌	적히/VV+ㄴ/ETM
쪽지가	쪽지/NNG+가/JKS
들어간	들어가/VV+ㄴ/ETM
‘포천쿠키’도	‘/SS+포천쿠키/NNG+’/SS+도/JX
1910년대	1910/SN+년대/NNB
중국계	중국/NNP+계/XSN
미국인이	미국인/NNG+이/JKS
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.66.4.1
이런 미국식 중국음식이 최근 중국 본토로 몰려오고 있다고 뉴스위크가 최신호에서 보도했다.

이런	이런/MMD
미국식	미국식/NNG
중국음식이	중국/NNP+음식/NNG+이/JKS
최근	최근/MAG
중국	중국/NNP
본토로	본토/NNG+로/JKB
몰려오고	몰려오/VV+고/EC
있다고	있/VX+다고/EC
뉴스위크가	뉴스위크/NNP+가/JKS
최신호에서	최신/NNG+호/NNB+에서/JKB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.66.4.2
‘중화요리의 U턴’인 셈이다.

‘중화요리의	‘/SS+중화요리/NNG+의/JKG
