# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.69
metadata : {}


# id : NWRW1800000026.69.1.1
삼성, 세계 처음 4Gb D램 양산

삼성,	삼성/NNP+,/SP
세계	세계/NNG
처음	처음/NNG
4Gb	4/SN+Gb/SW
D램	D/SL+램/NNG
양산	양산/NNG


# id : NWRW1800000026.69.2.1
세계 1위 메모리 반도체 업체인 삼성전자가 세계 최초로 4Gb(기가비트) D램 양산에 돌입했다.

세계	세계/NNG
1위	1/SN+위/NNB
메모리	메모리/NNG
반도체	반도체/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
삼성전자가	삼성전자/NNP+가/JKS
최초로	최초/NNG+로/JKB
4Gb(기가비트)	4/SN+Gb/SW+(/SS+기가비트/NNB+)/SS
D램	D/SL+램/NNG
양산에	양산/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.69.3.1
삼성전자는 24일 40나노(㎚)급 공정을 이용해 4Gb(기가비트) D램을 양산하기 시작했다고 밝혔다.

삼성전자는	삼성전자/NNP+는/JX
24일	24/SN+일/NNB
40나노(㎚)급	40/SN+나노/NNG+(/SS+㎚/SW+)/SS+급/NNG
공정을	공정/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
4Gb(기가비트)	4/SN+Gb/SW+(/SS+기가비트/NNB+)/SS
D램을	D/SL+램/NNG+을/JKO
양산하기	양산/NNG+하/XSV+기/ETN
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.69.3.2
1나노는 10억분의 1m를 말하며, 40나노급 공정이란 반도체 내부 회로의 선폭(線幅)을 40나노대로 줄였다는 의미다.

1나노는	1/SN+나노/NNG+는/JX
10억분의	10/SN+억/NR+분/XSN+의/JKG
1m를	1/SN+m/SW+를/JKO
말하며,	말/NNG+하/XSV+며/EC+,/SP
40나노급	40/SN+나노급/NNG
공정이란	공정/NNG+이란/JX
반도체	반도체/NNG
내부	내부/NNG
회로의	회로/NNG+의/JKG
선폭(線幅)을	선/NNG+폭/NNG+(/SS+線幅/SH+)/SS+을/JKO
40나노대로	40/SN+나노/NNG+대로/JX
줄였다는	줄이/VV+었/EP+다는/ETM
의미다.	의미/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.69.4.1
작년 7월 40나노급 기술로 2Gb 제품을 생산하기 시작한 삼성전자가 7개월 만에 용량이 2배 큰 제품을 양산하기 시작한 것이다.

작년	작년/NNG
7월	7/SN+월/NNB
40나노급	40/SN+나노급/NNG
기술로	기술/NNG+로/JKB
2Gb	2/SN+Gb/SW
제품을	제품/NNG+을/JKO
생산하기	생산/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
삼성전자가	삼성전자/NNP+가/JKS
7개월	7/SN+개월/NNB
만에	만/NNB+에/JKB
용량이	용량/NNG+이/JKS
2배	2/SN+배/NNG
큰	크/VA+ㄴ/ETM
양산하기	양산/NNG+하/XSV+기/ETN
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.69.4.2
이번에 양산하기 시작한 4Gb D램은 주로 고성능 컴퓨터에 들어가는 제품으로 전력소비가 적고 데이터 처리속도가 빠르다.

이번에	이번/NNG+에/JKB
양산하기	양산/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
4Gb	4/SN+Gb/SW
D램은	D/SL+램/NNG+은/JX
주로	주로/MAG
고성능	고/XPN+성능/NNG
컴퓨터에	컴퓨터/NNG+에/JKB
들어가는	들어가/VV+는/ETM
제품으로	제품/NNG+으로/JKB
전력소비가	전력/NNG+소비/NNG+가/JKS
적고	적/VA+고/EC
데이터	데이터/NNG
처리속도가	처리/NNG+속도/NNG+가/JKS
빠르다.	빠르/VA+다/EF+./SF


