# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.371
metadata : {}


# id : NWRW1800000030.371.1.1
[수도권I][경기도 이 사람] 외국인투자유치 자문관 스티븐 밤멜

[수도권I][경기도	[/SS+수도/NNG+권/XSN+I/SL+]/SS+[/SS+경기도/NNP
이	이/MMD
사람]	사람/NNG+]/SS
외국인투자유치	외국인/NNG+투자/NNG+유치/NNG
자문관	자문관/NNG
스티븐	스티븐/NNP
밤멜	밤멜/NNP


# id : NWRW1800000030.371.2.1
•"내 도움 필요한 곳이면 어디든 OK"

•"내	•/SW+"/SS+나/NP+의/JKG
도움	도움/NNG
필요한	필요/NNG+하/XSA+ㄴ/ETM
곳이면	곳/NNG+이/VCP+면/EC
어디든	어디/NP+든/JX
OK"	OK/SL+"/SS


# id : NWRW1800000030.371.3.1
"잘 다니는 산이 있고, 길 안 막히고, 집값은 서울보다 싸고, 서해안 고속도로가 바로 옆에 있어서 지방여행 갈 수 있고, 서울 오가기도 편하고…."

"잘	"/SS+잘/MAG
다니는	다니/VV+는/ETM
산이	산/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
길	길/NNG
안	안/MAG
막히고,	막히/VV+고/EC+,/SP
집값은	집값/NNG+은/JX
서울보다	서울/NNP+보다/JKB
싸고,	싸/VA+고/EC+,/SP
서해안	서해안/NNP
고속도로가	고속/NNG+도로/NNG+가/JKS
바로	바로/MAG
옆에	옆/NNG+에/JKB
있어서	있/VA+어서/EC
지방여행	지방/NNG+여행/NNG
갈	가/VV+ㄹ/ETM
수	수/NNB
서울	서울/NNP
오가기도	오가/VV+기/ETN+도/JX
편하고…."	편하/VA+고/EC+…/SE+./SF+"/SS


# id : NWRW1800000030.371.4.1
경기도 안산시 상록구 성포동에 가면 "경기도와 안산은 나의 한국 고향"이라고 말하는 푸른 눈의 외국인이 있다.

경기도	경기도/NNP
안산시	안산시/NNP
상록구	상록구/NNP
성포동에	성포동/NNP+에/JKB
가면	가/VV+면/EC
"경기도와	"/SS+경기도/NNP+와/JC
안산은	안산/NNP+은/JX
나의	나/NP+의/JKG
한국	한국/NNP
고향"이라고	고향/NNG+"/SS+이라고/JKQ
말하는	말/NNG+하/XSV+는/ETM
푸른	푸르/VA+ㄴ/ETM
눈의	눈/NNG+의/JKG
외국인이	외국인/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.371.4.2
지난 1993년 처음으로 한국 땅을 밟고 안산시에 살고있는 스티븐 밤멜(41·미국)씨다.

지난	지나/VV+ㄴ/ETM
1993년	1993/SN+년/NNB
처음으로	처음/NNG+으로/JKB
한국	한국/NNP
땅을	땅/NNG+을/JKO
밟고	밟/VV+고/EC
안산시에	안산시/NNP+에/JKB
살고있는	살/VV+고/EC+있/VX+는/ETM
스티븐	스티븐/NNP
밤멜(41·미국)씨다.	밤멜/NNP+(/SS+41/SN+·/SP+미국/NNP+)/SS+씨/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.371.4.3
경기도와 안산시가 어떤 이유로 살기 좋으냐고 묻자, 대답이 끊이지 않는다.

경기도와	경기도/NNP+와/JC
안산시가	안산시/NNP+가/JKS
어떤	어떤/MMD
이유로	이유/NNG+로/JKB
살기	살/VV+기/ETN
좋으냐고	좋/VA+으냐고/EC
묻자,	묻/VV+자/EC+,/SP
대답이	대답/NNG+이/JKS
끊이지	끊이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000030.371.4.4
밤멜씨는 "안산 지리를 잘 알아서 나중에 택시기사도 할 수 있을 것 같다"며 웃었다.

밤멜씨는	밤멜/NNP+씨/NNB+는/JX
"안산	"/SS+안산/NNP
지리를	지리/NNG+를/JKO
잘	잘/MAG
알아서	알/VV+아서/EC
나중에	나중/NNG+에/JKB
택시기사도	택시/NNG+기사/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.371.5.1
밤멜씨는 경기도와 안산시에 대한 애정이 크다.

밤멜씨는	밤멜/NNP+씨/NNB+는/JX
경기도와	경기도/NNP+와/JC
안산시에	안산시/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
애정이	애정/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000030.371.5.2
안산시에서 산 지는 18년째가 됐고, 작년 2월 경기도 외국인투자유치 자문관, 같은 해 4월 경기도 외투기업협의회 자문위원으로 위촉돼 활동 중이다.

안산시에서	안산시/NNP+에서/JKB
산	살/VV+ㄴ/ETM
지는	지/NNB+는/JX
18년째가	18/SN+년/NNB+째/XSN+가/JKC
됐고,	되/VV+었/EP+고/EC+,/SP
작년	작년/NNG
2월	2/SN+월/NNB
경기도	경기도/NNP
외국인투자유치	외국인/NNG+투자/NNG+유치/NNG
자문관,	자문관/NNG+,/SP
같은	같/VA+은/ETM
해	해/NNG
4월	4/SN+월/NNB
외투기업협의회	외투/NNG+기업/NNG+협의회/NNG
자문위원으로	자문/NNG+위원/NNG+으로/JKB
위촉돼	위촉/NNG+되/XSV+어/EC
활동	활동/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.371.5.3
2008년 우연한 자리에서 김문수 경기도지사를 만난 게 인연이 됐다고 한다.

2008년	2008/SN+년/NNB
우연한	우연/NNG+하/XSA+ㄴ/ETM
자리에서	자리/NNG+에서/JKB
김문수	김문수/NNP
경기도지사를	경기/NNP+도지사/NNG+를/JKO
만난	만나/VV+ㄴ/ETM
게	거/NNB+이/JKS
인연이	인연/NNG+이/JKC
됐다고	되/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.371.5.4
한국어와 영어 통·번역 사업을 하고 있어 활동이 많은 편은 아니지만 지난달 25일 김 지사의 트위터에 "앞으로 경기도를 위해서 열심히 노력하겠습니다!"라고 글을 남길 만큼 경기도에 대한 열정이 웬만한 도민 못지않다.

한국어와	한국어/NNP+와/JKB
영어	영어/NNP
통·번역	통·번역/NNG
사업을	사업/NNG+을/JKO
하고	하/VV+고/EC
있어	있/VX+어/EC
활동이	활동/NNG+이/JKS
많은	많/VA+은/ETM
편은	편/NNB+은/JX
아니지만	아니/VCN+지만/EC
지난달	지난달/NNG
25일	25/SN+일/NNB
김	김/NNP
지사의	지사/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
"앞으로	"/SS+앞/NNG+으로/JKB
경기도를	경기도/NNP+를/JKO
위해서	위하/VV+아서/EC
열심히	열심히/MAG
노력하겠습니다!"라고	노력/NNG+하/XSV+겠/EP+습니다/EF+!/SF+"/SS+라고/JKQ
글을	글/NNG+을/JKO
남길	남기/VV+ㄹ/ETM
만큼	만큼/NNB
경기도에	경기도/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
열정이	열정/NNG+이/JKS
웬만한	웬만하/VA+ㄴ/ETM
도민	도민/NNG
못지않다.	못지않/VA+다/EF+./SF


# id : NWRW1800000030.371.5.5
밤멜씨는 "지난 2월에는 안산에 있는 한양대학교에서 석사학위(경영전략)도 땄다"고 했다.

밤멜씨는	밤멜/NNP+씨/NNB+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
2월에는	2/SN+월/NNB+에/JKB+는/JX
안산에	안산/NNP+에/JKB
있는	있/VA+는/ETM
한양대학교에서	한양대학교/NNP+에서/JKB
석사학위(경영전략)도	석사/NNG+학위/NNG+(/SS+경영/NNG+전략/NNG+)/SS+도/JX
땄다"고	따/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.371.6.1
미국에서 대학을 졸업하고 '색다른 삶'을 꿈꾸던 밤멜씨는 1993년 한국에 들어와 안산에서 영어학원강사로 일했다.

미국에서	미국/NNP+에서/JKB
대학을	대학/NNG+을/JKO
졸업하고	졸업/NNG+하/XSV+고/EC
'색다른	'/SS+색다르/VA+ㄴ/ETM
삶'을	삶/NNG+'/SS+을/JKO
꿈꾸던	꿈꾸/VV+던/ETM
밤멜씨는	밤멜/NNP+씨/NNB+는/JX
1993년	1993/SN+년/NNB
한국에	한국/NNP+에/JKB
들어와	들어오/VV+아/EC
안산에서	안산/NNP+에서/JKB
영어학원강사로	영어/NNP+학원/NNG+강사/NNG+로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.371.6.2
1994년 무역회사(LG상사)로 옮겨 5년 반 동안 일했는데 이 과정에서 지금의 한국인 아내 유명희씨를 만나 1996년에 결혼, 딸 유트레저(12·영문이름 Treasure Bammel)와 아들 유카버리(11·영문이름 Cauvery Bammel)를 낳아 함께 살고 있다.

1994년	1994/SN+년/NNB
무역회사(LG상사)로	무역/NNG+회사/NNG+(/SS+LG상사/NNP+)/SS+로/JKB
옮겨	옮기/VV+어/EC
5년	5/SN+년/NNB
반	반/NNG
동안	동안/NNG
일했는데	일/NNG+하/XSV+았/EP+는데/EC
이	이/MMD
과정에서	과정/NNG+에서/JKB
지금의	지금/NNG+의/JKG
한국인	한국인/NNG
아내	아내/NNG
유명희씨를	유명희/NNP+씨/NNB+를/JKO
만나	만나/VV+아/EC
1996년에	1996/SN+년/NNB+에/JKB
결혼,	결혼/NNG+,/SP
딸	딸/NNG
유트레저(12·영문이름	유트레저/NNP+(/SS+12/SN+·/SP+영문/NNG+이름/NNG
Treasure	Treasure/SL
Bammel)와	Bammel/SL+)/SS+와/JC
아들	아들/NNG
유카버리(11·영문이름	유카버리/NNP+(/SS+11/SN+·/SP+영문/NNG+이름/NNG
Cauvery	Cauvery/SL
Bammel)를	Bammel/SL+)/SS+를/JKO
낳아	낳/VV+아/EC
함께	함께/MAG
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.371.6.3
자녀들의 한국 성(姓)은 부인 유씨의 성을 땄고, 이름은 영어이름으로 지었다.

자녀들의	자녀/NNG+들/XSN+의/JKG
한국	한국/NNP
성(姓)은	성/NNG+(/SS+姓/SH+)/SS+은/JX
부인	부인/NNG
유씨의	유/NNP+씨/NNB+의/JKG
