# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.133
metadata : {}


# id : NWRW1800000049.133.1.1
[단독]스타트업 기업의 3D 사이버 걸그룹, 차은택 석사 논문속 ‘나나걸스’와 흡사

[단독]스타트업	[/SS+단독/NNG+]/SS+스타트업/NNG
기업의	기업/NNG+의/JKG
3D	3/SN+D/SL
사이버	사이버/NNG
걸그룹,	걸그룹/NNG+,/SP
차은택	차은택/NNP
석사	석사/NNG
논문속	논문/NNG+속/NNG
‘나나걸스’와	‘/SS+나나걸스/NNP+’/SS+와/JKB
흡사	흡사/MAG


# id : NWRW1800000049.133.2.1
5일 서울 중구 청계천로 문화창조벤처단지 내 ‘셀 스테이지’에서는 3인조 3차원(3D) 캐릭터 힙합 걸그룹 ‘고고로켓씨스타’ 쇼케이스 행사가 열렸다.

5일	5/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
청계천로	청계천로/NNP
문화창조벤처단지	문화/NNG+창조/NNG+벤처/NNG+단지/NNG
내	내/NNB
‘셀	‘/SS+셀/NNP
스테이지’에서는	스테이지/NNP+’/SS+에서/JKB+는/JX
3인조	3/SN+인/NNG+조/NNG
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
캐릭터	캐릭터/NNG
힙합	힙합/NNG
걸그룹	걸그룹/NNG
‘고고로켓씨스타’	‘/SS+고고로켓씨스타/NNP+’/SS
쇼케이스	쇼케이스/NNG
행사가	행사/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.133.2.2
1997년 사이버 가수 ‘아담’ 이후 오랜만에 등장한 사이버 걸그룹인 데다 외계에서 왔다는 독특한 콘셉트, 유명 힙합 뮤지션 ‘리쌍’의 길과 프라이머리가 프로듀싱을 맡았다는 점 등으로 화제를 모았다.

1997년	1997/SN+년/NNB
사이버	사이버/NNG
가수	가수/NNG
‘아담’	‘/SS+아담/NNP+’/SS
이후	이후/NNG
오랜만에	오랜만/NNG+에/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
걸그룹인	걸그룹/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
외계에서	외계/NNG+에서/JKB
왔다는	오/VV+았/EP+다는/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
콘셉트,	콘셉트/NNG+,/SP
유명	유명/NNG
힙합	힙합/NNG
뮤지션	뮤지션/NNG
‘리쌍’의	‘/SS+리쌍/NNP+’/SS+의/JKG
