# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.347
metadata : {}


# id : NWRW1800000044.347.1.1
“무인기 사건은 날조” 북, 공동조사 제의

“무인기	“/SS+무인기/NNG
사건은	사건/NNG+은/JX
날조”	날조/NNG+”/SS
북,	북/NNP+,/SP
공동조사	공동/NNG+조사/NNG
제의	제의/NNG


# id : NWRW1800000044.347.2.1
[한겨레] 북한 최고권력기구인 국방위원회(국방위)가 14일 소형무인기 추락 사건은 북쪽 소행이라는 우리 정부의 발표를 반박하며 공동조사를 제의했다.

[한겨레]	[/SS+한겨레/NNP+]/SS
북한	북한/NNP
최고권력기구인	최고/NNG+권력/NNG+기구/NNG+이/VCP+ㄴ/ETM
국방위원회(국방위)가	국방/NNG+위원회/NNG+(/SS+국방위/NNG+)/SS+가/JKS
14일	14/SN+일/NNB
소형무인기	소형/NNG+무인기/NNG
추락	추락/NNG
사건은	사건/NNG+은/JX
북쪽	북쪽/NNG
소행이라는	소행/NNG+이/VCP+라는/ETM
우리	우리/NP
정부의	정부/NNG+의/JKG
발표를	발표/NNG+를/JKO
반박하며	반박/NNG+하/XSV+며/EC
공동조사를	공동/NNG+조사/NNG+를/JKO
제의했다.	제의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.347.3.1
국방위는 이날 밤 늦게 검열단 명의의 진상공개장을 내어 남쪽 정부의 조사 결과를 “앞뒤가 맞지않는 비과학적이고 비현실적인 것”이라고 비난했다고 <조선중앙통신>이 보도했다.

국방위는	국방위/NNG+는/JX
이날	이날/NNG
밤	밤/NNG
늦게	늦/VA+게/EC
검열단	검열단/NNG
명의의	명의/NNG+의/JKG
진상공개장을	진상/NNG+공개장/NNG+을/JKO
내어	내/VV+어/EC
남쪽	남쪽/NNG
정부의	정부/NNG+의/JKG
조사	조사/NNG
결과를	결과/NNG+를/JKO
“앞뒤가	“/SS+앞뒤/NNG+가/JKS
맞지않는	맞/VV+지/EC+않/VX+는/ETM
비과학적이고	비/XPN+과학/NNG+적/XSN+이/VCP+고/EC
비현실적인	비/XPN+현실/NNG+적/XSN+이/VCP+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비난했다고	비난/NNG+하/XSV+았/EP+다고/EC
<조선중앙통신>이	</SS+조선중앙통신/NNP+>/SS+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.347.4.1
검열단은 “남조선 당국이 아직까지 ‘천안호’ 사건의 ‘북소행설’을 걷어들이지 않았을 뿐 아니라 제2, 제3의 ‘천안호’ 사건을 계속 날조해내고 있는 조건에서 이 모든 것을 해명할 용의가 있다”고 밝혔다.

검열단은	검열단/NNG+은/JX
“남조선	“/SS+남조선/NNP
당국이	당국/NNG+이/JKS
아직까지	아직/MAG+까지/JX
‘천안호’	‘/SS+천안호/NNP+’/SS
사건의	사건/NNG+의/JKG
‘북소행설’을	‘/SS+북/NNP+소행설/NNG+’/SS+을/JKO
걷어들이지	걷/VV+어/EC+들이/VV+지/EC
않았을	않/VX+았/EP+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
제2,	제/XPN+2/SN+,/SP
제3의	제/XPN+3/SN+의/JKG
사건을	사건/NNG+을/JKO
계속	계속/MAG
날조해내고	날조/NNG+하/XSV+아/EC+내/VX+고/EC
있는	있/VX+는/ETM
조건에서	조건/NNG+에서/JKB
이	이/MMD
모든	모든/MMN
것을	것/NNB+을/JKO
해명할	해명/NNG+하/XSV+ㄹ/ETM
용의가	용의/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.347.4.2
검열단은 이어 “‘천안호’ 사건을 포함한 모든 ‘북소행’ 관련 사건들을 공동조사하자는 우리의 입장에는 변함이 없다”며 “진상조사에는 남조선(남한)의 국가안보를 총괄한다는 청와대 김장수 안보실장이 남측을 대표하여 나오면 될 것”이라고 제안했다.

검열단은	검열단/NNG+은/JX
이어	이어/MAG
“‘천안호’	“/SS+‘/SS+천안호/NNP+’/SS
사건을	사건/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
모든	모든/MMN
‘북소행’	‘/SS+북/NNP+소행/NNG+’/SS
관련	관련/NNG
사건들을	사건/NNG+들/XSN+을/JKO
공동조사하자는	공동/NNG+조사/NNG+하/XSV+자는/ETM
우리의	우리/NP+의/JKG
입장에는	입장/NNG+에/JKB+는/JX
변함이	변하/VV+ㅁ/ETN+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“진상조사에는	“/SS+진상/NNG+조사/NNG+에/JKB+는/JX
남조선(남한)의	남조선/NNP+(/SS+남한/NNP+)/SS+의/JKG
