# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.403
metadata : {}


# id : NWRW1800000054.403.1.1
여름 한복판 인제군 만해마을, 詩·書·畵 향기 가득

여름	여름/NNG
한복판	한/XPN+복판/NNG
인제군	인제군/NNP
만해마을,	만해마을/NNP+,/SP
詩·書·畵	詩/SH+·/SP+書/SH+·/SP+畵/SH
향기	향기/NNG
가득	가득/MAG


# id : NWRW1800000054.403.2.1
2017 만해축전, 11~14일 펼쳐져… 20여건 다채로운 문화·예술행사

2017	2017/SN
만해축전,	만해/NNP+축전/NNG+,/SP
11~14일	11/SN+~/SO+14/SN+일/NNB
펼쳐져…	펼치/VV+어/EC+지/VX+어/EF+…/SE
20여건	20/SN+여/XSN+건/NNB
다채로운	다채롭/VA+ㄴ/ETM
문화·예술행사	문화/NNG+·/SP+예술/NNG+행사/NNG


# id : NWRW1800000054.403.3.1
11~14일 강원도 인제군에 문화의 향연이 펼쳐진다.

11~14일	11/SN+~/SO+14/SN+일/NNB
강원도	강원도/NNP
인제군에	인제군/NNP+에/JKB
문화의	문화/NNG+의/JKG
향연이	향연/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.403.3.2
만해(萬海) 한용운(韓龍雲)의 생애와 사상을 기리는 '2017 만해축전'이 열리는 것.

만해(萬海)	만해/NNP+(/SS+萬海/SH+)/SS
한용운(韓龍雲)의	한용운/NNP+(/SS+韓龍雲/SH+)/SS+의/JKG
생애와	생애/NNG+와/JC
사상을	사상/NNG+을/JKO
기리는	기리/VV+는/ETM
'2017	'/SS+2017/SN
만해축전'이	만해/NNP+축전/NNG+'/SS+이/JKS
열리는	열리/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.403.3.3
이 기간 동안 복합 문화 공간인 '동국대 만해마을'과 인제군에서는 시화전, 서예대회, 백일장, 시낭송회 등 20여건의 다채로운 문화·예술 행사가 줄을 잇는다.

이	이/MMD
기간	기간/NNG
동안	동안/NNG
복합	복합/NNG
문화	문화/NNG
공간인	공간/NNG+이/VCP+ㄴ/ETM
'동국대	'/SS+동국대/NNP
만해마을'과	만해마을/NNP+'/SS+과/JC
인제군에서는	인제군/NNP+에서/JKB+는/JX
시화전,	시화전/NNG+,/SP
서예대회,	서예/NNG+대회/NNG+,/SP
백일장,	백일장/NNG+,/SP
시낭송회	시/NNG+낭송회/NNG
등	등/NNB
20여건의	20/SN+여/XSN+건/NNB+의/JKG
다채로운	다채롭/VA+ㄴ/ETM
문화·예술	문화/NNG+·/SP+예술/NNG
행사가	행사/NNG+가/JKS
줄을	줄/NNG+을/JKO
잇는다.	잇/VV+는다/EF+./SF


# id : NWRW1800000054.403.4.1
만해마을 특별전시장에서는 15일까지 프랑스·러시아·이탈리아 등 10여개국의 도전과 희망을 주제로 한 시(詩) 50여점을 번역해 그림과 함께 전시된다.

만해마을	만해마을/NNP
특별전시장에서는	특별/NNG+전시장/NNG+에서/JKB+는/JX
15일까지	15/SN+일/NNB+까지/JX
프랑스·러시아·이탈리아	프랑스/NNP+·/SP+러시아/NNP+·/SP+이탈리아/NNP
등	등/NNB
10여개국의	10/SN+여/XSN+개국/NNB+의/JKG
도전과	도전/NNG+과/JC
희망을	희망/NNG+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
시(詩)	시/NNG+(/SS+詩/SH+)/SS
50여점을	50/SN+여/XSN+점/NNB+을/JKO
번역해	번역/NNG+하/XSV+아/EC
그림과	그림/NNG+과/JKB
함께	함께/MAG
전시된다.	전시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.403.4.2
