# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.360
metadata : {}


# id : NWRW1800000026.360.1.1
[부산·경남] 부산지역 16개 구·군 중에 강서구 GRDP 압도적 1위

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
부산지역	부산지역/NNP
16개	16/SN+개/NNB
구·군	구/NNG+·/SP+군/NNG
중에	중/NNB+에/JKB
강서구	강서구/NNP
GRDP	GRDP/SL
압도적	압도/NNG+적/XSN
1위	1/SN+위/NNB


# id : NWRW1800000026.360.2.1
부산지역 16개 구·군 중 강서구가 지역 내 총생산(GRDP) 규모와 1인당 지역 내 총생산이 가장 높은 것으로 나타났다.

부산지역	부산지역/NNP
16개	16/SN+개/NNB
구·군	구/NNG+·/SP+군/NNG
중	중/NNB
강서구가	강서구/NNP+가/JKS
지역	지역/NNG
내	내/NNB
총생산(GRDP)	총생산/NNG+(/SS+GRDP/SL+)/SS
규모와	규모/NNG+와/JC
1인당	1/SN+인/NNG+당/XSN
총생산이	총생산/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.360.3.1
4일 부산시의 '구·군 단위 GRDP 추계'에 따르면 강서구가 6조930억원으로 가장 많았고, 다음으로는 부산진구 5조2180억원, 사상구 5조1620억원 순으로 나타났다.

4일	4/SN+일/NNB
부산시의	부산시/NNP+의/JKG
'구·군	'/SS+구/NNG+·/SP+군/NNG
단위	단위/NNG
GRDP	GRDP/SL
추계'에	추계/NNG+'/SS+에/JKB
따르면	따르/VV+면/EC
강서구가	강서구/NNP+가/JKS
6조930억원으로	6/SN+조/NR+930/SN+억/NR+원/NNB+으로/JKB
가장	가장/MAG
많았고,	많/VA+았/EP+고/EC+,/SP
다음으로는	다음/NNG+으로/JKB+는/JX
부산진구	부산진구/NNP
5조2180억원,	5/SN+조/NR+2180/SN+억/NR+원/NNB+,/SP
사상구	사상구/NNP
5조1620억원	5/SN+조/NR+1620/SN+억/NR+원/NNB
순으로	순/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.360.3.2
