# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.163
metadata : {}


# id : NWRW1800000053.163.1.1
‘이건희 회장 동영상’ CJ부장이 촬영 지시

‘이건희	‘/SS+이건희/NNP
회장	회장/NNG
동영상’	동영상/NNG+’/SS
CJ부장이	CJ/SL+부장/NNG+이/JKS
촬영	촬영/NNG
지시	지시/NNG


# id : NWRW1800000053.163.2.1
檢 “삼성에 돈 뜯을 목적” 50대 구속… CJ “회사와 무관한 개인 범죄”

檢	檢/SH
“삼성에	“/SS+삼성/NNP+에/JKB
돈	돈/NNG
뜯을	뜯/VV+을/ETM
목적”	목적/NNG+”/SS
50대	50/SN+대/NNB
구속…	구속/NNG+…/SE
CJ	CJ/SL
“회사와	“/SS+회사/NNG+와/JKB
무관한	무관하/VA+ㄴ/ETM
개인	개인/NNG
범죄”	범죄/NNG+”/SS


# id : NWRW1800000053.163.3.1
이건희 삼성전자 회장(75) 성매매 의혹 동영상 촬영을 배후 조종하고 이를 이용해 삼성 측에 금품을 요구한 혐의로 CJ제일제당 전 부장 선모 씨(55)가 검찰에 구속됐다.

이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장(75)	회장/NNG+(/SS+75/SN+)/SS
성매매	성매매/NNG
의혹	의혹/NNG
동영상	동영상/NNG
촬영을	촬영/NNG+을/JKO
배후	배후/NNG
조종하고	조종/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
이용해	이용/NNG+하/XSV+아/EC
삼성	삼성/NNP
측에	측/NNB+에/JKB
금품을	금품/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
CJ제일제당	CJ제일제당/NNP
전	전/MMD
부장	부장/NNG
선모	선/NNP+모/NP
씨(55)가	씨/NNB+(/SS+55/SN+)/SS+가/JKS
검찰에	검찰/NNG+에/JKB
구속됐다.	구속/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.163.3.2
선 씨는 3일 회사에 사표를 낸 것으로 알려졌다.

선	선/NNP
씨는	씨/NNB+는/JX
3일	3/SN+일/NNB
회사에	회사/NNG+에/JKB
사표를	사표/NNG+를/JKO
낸	내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.163.4.1
서울중앙지검 여성아동범죄조사부(부장 이정현)는 지난달 25일 선 씨를 성폭력범죄 처벌 등에 관한 특례법 위반 등의 혐의로 구속해 조사 중이라고 7일 밝혔다.

서울중앙지검	서울중앙지검/NNP
여성아동범죄조사부(부장	여성/NNG+아동/NNG+범죄/NNG+조사부/NNG+(/SS+부장/NNG
이정현)는	이정현/NNP+)/SS+는/JX
지난달	지난달/NNG
25일	25/SN+일/NNB
선	선/NNP
씨를	씨/NNB+를/JKO
성폭력범죄	성폭력/NNG+범죄/NNG
처벌	처벌/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
특례법	특례법/NNG
위반	위반/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
구속해	구속/NNG+하/XSV+아/EC
조사	조사/NNG
중이라고	중/NNB+이/VCP+라고/EC
7일	7/SN+일/NNB
