# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.174
metadata : {}


# id : NWRW1800000026.174.1.1
[강원] [현장, 6·2 지방선거] "치열한 공방 속에 '빅3' 집중공략";강원도 유권자의 51.3% 차지 단체장 선거도 유례없는 격전

[강원]	[/SS+강원/NNP+]/SS
[현장,	[/SS+현장/NNG+,/SP
6·2	6/SN+·/SP+2/SN
지방선거]	지방/NNG+선거/NNG+]/SS
"치열한	"/SS+치열/NNG+하/XSA+ㄴ/ETM
공방	공방/NNG
속에	속/NNG+에/JKB
'빅3'	'/SS+빅/NNG+3/SN+'/SS
집중공략";강원도	집중/NNG+공략/NNG+"/SS+;/SP+강원도/NNP
유권자의	유권자/NNG+의/JKG
51.3%	51/SN+./SP+3/SN+%/SW
차지	차지/NNG
단체장	단체장/NNG
선거도	선거/NNG+도/JX
유례없는	유례없/VA+는/ETM
격전	격전/NNG


# id : NWRW1800000026.174.2.1
서서히 민심이 드러나고 있다.

서서히	서서히/MAG
민심이	민심/NNG+이/JKS
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.2.2
한쪽 후보로 기운 지역도 있지만, 27일 현재 드러난 민심은 '팽팽하다'로 집약된다.

한쪽	한쪽/NNG
후보로	후보/NNG+로/JKB
기운	기울/VV+ㄴ/ETM
지역도	지역/NNG+도/JX
있지만,	있/VA+지만/EC+,/SP
27일	27/SN+일/NNB
현재	현재/MAG
드러난	드러나/VV+ㄴ/ETM
민심은	민심/NNG+은/JX
'팽팽하다'로	'/SS+팽팽하/VA+다/EF+'/SS+로/JKB
집약된다.	집약/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.174.2.3
역대 강원도 선거에서는 보기 힘든 접전이다.

역대	역대/NNG
강원도	강원도/NNP
선거에서는	선거/NNG+에서/JKB+는/JX
보기	보/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
접전이다.	접전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.174.2.4
열전과 더불어 각당이 주장하는 '지지율' 편차가 심해 개표가 끝나기 전까지는 어느 후보도 당선을 장담하기 힘든 상황이 이어지고 있다.

열전과	열전/NNG+과/JKB
더불어	더불/VV+어/EC
각당이	각/MMD+당/NNG+이/JKS
주장하는	주장/NNG+하/XSV+는/ETM
'지지율'	'/SS+지지/NNG+율/XSN+'/SS
편차가	편차/NNG+가/JKS
심해	심하/VA+아/EC
개표가	개표/NNG+가/JKS
끝나기	끝나/VV+기/ETN
전까지는	전/NNG+까지/JX+는/JX
어느	어느/MMD
후보도	후보/NNG+도/JX
당선을	당선/NNG+을/JKO
장담하기	장담/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황이	상황/NNG+이/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.3.1
◆엇갈리는 각당 선거분석

◆엇갈리는	◆/SW+엇갈리/VV+는/ETM
각당	각/MMD+당/NNG
선거분석	선거/NNG+분석/NNG


# id : NWRW1800000026.174.4.1
지금 마음 편한 사람은 무투표 당선이 확정된 영월과 양구 군수 2명뿐이다.

지금	지금/MAG
마음	마음/NNG
편한	편하/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
무투표	무/XPN+투표/NNG
당선이	당선/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
영월과	영월/NNP+과/JC
양구	양구/NNP
군수	군수/NNG
2명뿐이다.	2/SN+명/NNB+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000026.174.4.2
16개 시·군의 시장·군수 선거에서 서서히 판세가 드러나고 있지만, 상당수 지역에서 여·야 및 무소속 후보가 예측불허의 혈전을 벌이고 있다.

16개	16/SN+개/NNB
시·군의	시·군/NNG+의/JKG
시장·군수	시장/NNG+·/SP+군수/NNG
선거에서	선거/NNG+에서/JKB
서서히	서서히/MAG
판세가	판세/NNG+가/JKS
드러나고	드러나/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
상당수	상당수/NNG
지역에서	지역/NNG+에서/JKB
여·야	여·야/NNG
및	및/MAG
무소속	무/XPN+소속/NNG
후보가	후보/NNG+가/JKS
예측불허의	예측/NNG+불허/NNG+의/JKG
혈전을	혈전/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.5.1
한나라당은 16개 시·군 모두에서 우세를 주장하고 있다.

한나라당은	한나라당/NNP+은/JX
16개	16/SN+개/NNB
시·군	시·군/NNG
모두에서	모두/NNG+에서/JKB
우세를	우세/NNG+를/JKO
주장하고	주장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.5.2
그러나 여론조사등을 보면 원주, 삼척, 태백, 평창, 정선 등에서 야당 및 무소속 후보와 초접전이 벌어지고 있는 것으로 분석된다.

그러나	그러나/MAJ
여론조사등을	여론/NNG+조사/NNG+등/NNB+을/JKO
보면	보/VV+면/EC
원주,	원주/NNP+,/SP
삼척,	삼척/NNP+,/SP
태백,	태백/NNP+,/SP
평창,	평창/NNP+,/SP
정선	정선/NNP
등에서	등/NNB+에서/JKB
야당	야당/NNG
및	및/MAG
무소속	무/XPN+소속/NNG
후보와	후보/NNG+와/JC
초접전이	초/XPN+접전/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.174.6.1
춘천, 원주 등 10개 지역에 후보를 낸 민주당은 원주, 평창, 정선, 철원, 횡성 등 5개 지역을 우세 지역으로 꼽았다.

춘천,	춘천/NNP+,/SP
원주	원주/NNP
등	등/NNB
10개	10/SN+개/NNB
지역에	지역/NNG+에/JKB
후보를	후보/NNG+를/JKO
낸	내/VV+ㄴ/ETM
민주당은	민주당/NNP+은/JX
원주,	원주/NNP+,/SP
평창,	평창/NNP+,/SP
정선,	정선/NNP+,/SP
철원,	철원/NNP+,/SP
횡성	횡성/NNP
5개	5/SN+개/NNB
지역을	지역/NNG+을/JKO
우세	우세/NNG
지역으로	지역/NNG+으로/JKB
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.174.6.2
나머지 지역에서도 한나라당 후보와 경합을 벌이고 있다고 주장했다.

나머지	나머지/NNG
지역에서도	지역/NNG+에서/JKB+도/JX
한나라당	한나라당/NNP
후보와	후보/NNG+와/JKB
경합을	경합/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다고	있/VX+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.174.6.3
자유선진당은 춘천에서 선전을 펼치고 있다고 분석했다.

자유선진당은	자유선진당/NNP+은/JX
춘천에서	춘천/NNP+에서/JKB
선전을	선전/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다고	있/VX+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.174.7.1
현재 무소속 후보들의 바람은 거세다.

현재	현재/MAG
무소속	무/XPN+소속/NNG
후보들의	후보/NNG+들/XSN+의/JKG
바람은	바람/NNG+은/JX
거세다.	거세/VA+다/EF+./SF


# id : NWRW1800000026.174.7.2
원주시장 선거는 한나라당 원경묵, 민주당 원창묵, 무소속 김기열 후보가 3강 체제를 구축, 각축을 벌이고 있다.

원주시장	원주시장/NNG
선거는	선거/NNG+는/JX
한나라당	한나라당/NNP
원경묵,	원경묵/NNP+,/SP
민주당	민주당/NNP
원창묵,	원창묵/NNP+,/SP
무소속	무/XPN+소속/NNG
김기열	김기열/NNP
후보가	후보/NNG+가/JKS
3강	3/SN+강/NNB
체제를	체제/NNG+를/JKO
구축,	구축/NNG+,/SP
각축을	각축/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.174.7.3
태백시장 선거도 한나라당 김연식 후보와 무소속 박종기 후보가 양강구도를 형성했다.

태백시장	태백시장/NNG
선거도	선거/NNG+도/JX
한나라당	한나라당/NNP
김연식	김연식/NNP
