# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.201
metadata : {}


# id : NWRW1800000046.201.1.1
장충체육관, 5년 만에 별들의 잔치 '만원 관중'

장충체육관,	장충체육관/NNP+,/SP
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
별들의	별/NNG+들/XSN+의/JKG
잔치	잔치/NNG
'만원	'/SS+만원/NNG
관중'	관중/NNG+'/SS


# id : NWRW1800000046.201.2.1
현장티켓 구하려 50m 줄… 3시간 만에 매진되기도

현장티켓	현장/NNG+티켓/NNG
구하려	구하/VV+려/EC
50m	50/SN+m/SW
줄…	줄/NNG+…/SE
3시간	3/SN+시간/NNB
만에	만/NNB+에/JKB
매진되기도	매진/NNG+되/XSV+기/ETN+도/JX


# id : NWRW1800000046.201.3.1
5년 만에 배구 올스타전이 열린 장충체육관의 분위기는 뜨거웠다.

5년	5/SN+년/NNB
만에	만/NNB+에/JKB
배구	배구/NNG
올스타전이	올스타전/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
장충체육관의	장충체육관/NNP+의/JKG
분위기는	분위기/NNG+는/JX
뜨거웠다.	뜨겁/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.201.4.1
배구 올스타전이 열린 25일 장충체육관은 배구팬들로 인산인해를 이루며 만원 관중(4075석)을 기록했다.

배구	배구/NNG
올스타전이	올스타전/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
25일	25/SN+일/NNB
장충체육관은	장충체육관/NNP+은/JX
배구팬들로	배구/NNG+팬/NNG+들/XSN+로/JKB
인산인해를	인산인해/NNG+를/JKO
이루며	이루/VV+며/EC
만원	만원/NNG
관중(4075석)을	관중/NNG+(/SS+4075/SN+석/NNB+)/SS+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.201.4.2
장충체육관의 수용 인원은 4507명이지만 이날 배구 코트 면적을 확보하기 위해 1층의 가변 좌석 432석을 밀어넣었다.

장충체육관의	장충체육관/NNP+의/JKG
수용	수용/NNG
인원은	인원/NNG+은/JX
4507명이지만	4507/SN+명/NNB+이/VCP+지만/EC
이날	이날/NNG
배구	배구/NNG
코트	코트/NNG
면적을	면적/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
1층의	1/SN+층/NNG+의/JKG
가변	가변/NNG
좌석	좌석/NNG
432석을	432/SN+석/NNB+을/JKO
밀어넣었다.	밀/VV+어/EC+넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.201.4.3
지난 16일부터 사전 예매로 내놓은 티켓 2129장은 4일 만에 매진됐다.

지난	지나/VV+ㄴ/ETM
16일부터	16/SN+일/NNB+부터/JX
사전	사전/NNG
예매로	예매/NNG+로/JKB
