# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.324
metadata : {}


# id : NWRW1800000037.324.1.1
[김용준 낙마 후폭풍]이제서야… 朴, 靑인사파일 적극 활용할듯

[김용준	[/SS+김용준/NNP
낙마	낙마/NNG
후폭풍]이제서야…	후폭풍/NNG+]/SS+이제/NNG+서/JKB+야/JX+…/SE
朴,	朴/SH+,/SP
靑인사파일	靑/SH+인사/NNG+파일/NNG
적극	적극/NNG
활용할듯	활용/NNG+하/XSV+ㄹ/ETM+듯/NNB


# id : NWRW1800000037.324.2.1
새정부마다 前정권 자료 불신… 시스템 검증 안돼 악순환 金후보 사퇴계기 “철저 검증”… 靑 “1만명 자료 공유할것”

새정부마다	새/MMA+정부/NNG+마다/JX
前정권	前/SH+정권/NNG
자료	자료/NNG
불신…	불신/NNG+…/SE
시스템	시스템/NNG
검증	검증/NNG
안돼	안/MAG+되/XSV+어/EC
악순환	악순환/NNG
金후보	金/SH+후보/NNG
사퇴계기	사퇴/NNG+계기/NNG
“철저	“/SS+철저/NNG
검증”…	검증/NNG+”/SS+…/SE
靑	靑/SH
“1만명	“/SS+1/SN+만/NR+명/NNB
공유할것”	공유/NNG+하/XSV+ㄹ/ETM+것/NNB+”/SS


# id : NWRW1800000037.324.3.1
박근혜 대통령 당선인 측과 청와대가 김용준 국무총리 후보자 낙마 사태를 계기로 검증 정보 공유의 폭을 대폭 늘릴 가능성이 큰 것으로 알려졌다.

박근혜	박근혜/NNP
대통령	대통령/NNG
당선인	당선인/NNG
측과	측/NNB+과/JC
청와대가	청와대/NNP+가/JKS
김용준	김용준/NNP
국무총리	국무총리/NNG
후보자	후보자/NNG
낙마	낙마/NNG
사태를	사태/NNG+를/JKO
계기로	계기/NNG+로/JKB
검증	검증/NNG
정보	정보/NNG
공유의	공유/NNG+의/JKG
폭을	폭/NNG+을/JKO
대폭	대폭/MAG
늘릴	늘리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.324.4.1
박 당선인 측 관계자는 30일 “지금도 필요한 경우 청와대에 검증 정보를 요구하고 있지만 극히 제한적인 수준이었던 것으로 안다”며 “철저한 검증을 위해 청와대에 적극적으로 검증 자료를 요청할 가능성이 있다”고 말했다.

박	박/NNP
당선인	당선인/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
30일	30/SN+일/NNB
“지금도	“/SS+지금/NNG+도/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
경우	경우/NNG
청와대에	청와대/NNP+에/JKB
검증	검증/NNG
정보를	정보/NNG+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
극히	극히/MAG
제한적인	제한/NNG+적/XSN+이/VCP+ㄴ/ETM
수준이었던	수준/NNG+이/VCP+었/EP+던/ETM
것으로	것/NNB+으로/JKB
안다”며	알/VV+ㄴ다/EF+”/SS+며/EC
“철저한	“/SS+철저/NNG+하/XSA+ㄴ/ETM
검증을	검증/NNG+을/JKO
위해	위하/VV+아/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
자료를	자료/NNG+를/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.324.4.2
그러나 박 당선인이 인선 검증 과정에서 어느 정도까지 청와대에 도움을 요청할지는 아직 정해지지 않은 것으로 전해졌다.

그러나	그러나/MAJ
박	박/NNP
당선인이	당선인/NNG+이/JKS
인선	인선/NNG
검증	검증/NNG
과정에서	과정/NNG+에서/JKB
어느	어느/MMD
정도까지	정도/NNG+까지/JX
청와대에	청와대/NNP+에/JKB
도움을	도움/NNG+을/JKO
요청할지는	요청/NNG+하/XSV+ㄹ지/EF+는/JX
아직	아직/MAG
정해지지	정하/VV+아/EC+지/VX+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.324.5.1
청와대 관계자는 “박 당선인 측에서 요청하면 지금까지 축적해 온 각 분야 1만여 명에 대한 인사파일 중 필요한 대목을 공유할 수 있다”고 말했다.

청와대	청와대/NNP
관계자는	관계자/NNG+는/JX
“박	“/SS+박/NNP
당선인	당선인/NNG
측에서	측/NNB+에서/JKB
요청하면	요청/NNG+하/XSV+면/EC
지금까지	지금/NNG+까지/JX
축적해	축적/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
각	각/MMD
분야	분야/NNG
1만여	1/SN+만/NR+여/XSN
명에	명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
인사파일	인사/NNG+파일/NNG
중	중/NNB
필요한	필요/NNG+하/XSA+ㄴ/ETM
대목을	대목/NNG+을/JKO
공유할	공유/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.324.5.2
그러나 개인정보가 너무 많이 포함돼 있어 요청하지도 않은 인사에 대한 파일을 통째로 넘겨주지는 않을 것이라는 게 청와대 측의 설명이다.

그러나	그러나/MAJ
개인정보가	개인/NNG+정보/NNG+가/JKS
너무	너무/MAG
많이	많이/MAG
포함돼	포함/NNG+되/XSV+어/EC
있어	있/VX+어/EC
요청하지도	요청/NNG+하/XSV+지/EC+도/JX
않은	않/VX+은/ETM
인사에	인사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
파일을	파일/NNG+을/JKO
통째로	통/NNG+째/XSN+로/JKB
넘겨주지는	넘겨주/VV+지/EC+는/JX
않을	않/VX+을/ETM
