# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.136
metadata : {}


# id : NWRW1800000049.136.1.1
“황룡사, 사실상 왕궁 기능”… “신안해저선 침몰전 개경 들러”

“황룡사,	“/SS+황룡사/NNP+,/SP
사실상	사실/NNG+상/XSN
왕궁	왕궁/NNG
기능”…	기능/NNG+”/SS+…/SE
“신안해저선	“/SS+신안해저선/NNG
침몰전	침몰/NNG+전/NNG
개경	개경/NNP
들러”	들르/VV+어/EC+”/SS


# id : NWRW1800000049.136.2.1
발굴 40년 고고학계 두 사건… 미스터리에 대한 새로운 주장들

발굴	발굴/NNG
40년	40/SN+년/NNB
고고학계	고고학/NNG+계/XSN
두	두/MMN
사건…	사건/NNG+…/SE
미스터리에	미스터리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
주장들	주장/NNG+들/XSN


# id : NWRW1800000049.136.3.1
올해 황룡사지(皇龍寺址)와 신안해저선 발굴 40주년을 맞아 고고학계의 재조명이 활발하다.

올해	올해/NNG
황룡사지(皇龍寺址)와	황룡사지/NNG+(/SS+皇龍寺址/SH+)/SS+와/JC
신안해저선	신안해저선/NNG
발굴	발굴/NNG
40주년을	40/SN+주년/NNB+을/JKO
맞아	맞/VV+아/EC
고고학계의	고고학/NNG+계/XSN+의/JKG
재조명이	재/XPN+조명/NNG+이/JKS
활발하다.	활발하/VA+다/EF+./SF


# id : NWRW1800000049.136.3.2
광복 이후 육상과 해상에서 각각 이뤄진 대표적인 발굴은 신라와 고려사 연구에 절대적인 영향을 끼쳤다.

광복	광복/NNG
이후	이후/NNG
육상과	육상/NNG+과/JC
해상에서	해상/NNG+에서/JKB
각각	각각/MAG
이뤄진	이뤄지/VV+ㄴ/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
발굴은	발굴/NNG+은/JX
신라와	신라/NNP+와/JC
고려사	고려사/NNG
연구에	연구/NNG+에/JKB
절대적인	절대/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼쳤다.	끼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.136.3.3
국가 예산과 장비, 인력이 투입된 1970년대 대형 국책 발굴사업이라는 공통점도 있다.

국가	국가/NNG
예산과	예산/NNG+과/JC
장비,	장비/NNG+,/SP
인력이	인력/NNG+이/JKS
투입된	투입/NNG+되/XSV+ㄴ/ETM
1970년대	1970/SN+년대/NNB
대형	대형/NNG
국책	국책/NNG
발굴사업이라는	발굴/NNG+사업/NNG+이/VCP+라는/ETM
공통점도	공통점/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.136.3.4
그동안 많은 학자가 관련 논문을 쏟아냈지만 40년이 흐른 지금도 풀리지 않은 미스터리를 알아봤다.

그동안	그동안/NNG
많은	많/VA+은/ETM
학자가	학자/NNG+가/JKS
관련	관련/NNG
논문을	논문/NNG+을/JKO
쏟아냈지만	쏟/VV+아/EC+내/VX+었/EP+지만/EC
40년이	40/SN+년/NNB+이/JKS
흐른	흐르/VV+ㄴ/ETM
지금도	지금/NNG+도/JX
풀리지	풀리/VV+지/EC
않은	않/VX+은/ETM
미스터리를	미스터리/NNG+를/JKO
알아봤다.	알아보/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.136.4.1
○ 궁궐 짓다가 말고 사찰 세운 까닭은?

○	○/SW
궁궐	궁궐/NNG
짓다가	짓/VV+다가/EC
말고	말/VV+고/EC
사찰	사찰/NNG
세운	세우/VV+ㄴ/ETM
까닭은?	까닭/NNG+은/JX+?/SF


# id : NWRW1800000049.136.5.1
황룡사는 신라에서 가장 규모가 컸던 왕실 사찰로, 발굴 당시 높이가 1.8m에 달하는 동양 최대의 치미(치尾·용마루 양 끝에 올리는 장식 기와)가 출토됐다.

황룡사는	황룡사/NNP+는/JX
신라에서	신라/NNP+에서/JKB
가장	가장/MAG
규모가	규모/NNG+가/JKS
컸던	크/VA+었/EP+던/ETM
왕실	왕실/NNG
사찰로,	사찰/NNG+로/JKB+,/SP
발굴	발굴/NNG
당시	당시/NNG
높이가	높이/NNG+가/JKS
1.8m에	1/SN+./SP+8/SN+m/SW+에/JKB
달하는	달하/VV+는/ETM
동양	동양/NNG
최대의	최대/NNG+의/JKG
치미(치尾·용마루	치미/NNG+(/SS+치/NNG+尾/SH+·/SP+용마루/NNG
양	양/MMN
끝에	끝/NNG+에/JKB
올리는	올리/VV+는/ETM
장식	장식/NNG
기와)가	기와/NNG+)/SS+가/JKS
출토됐다.	출토/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.136.5.2
9층 목탑과 장륙존상(丈六尊像), 천사옥대(天賜玉帶)의 신라 3대 보물 중 두 개가 황룡사에 있었던 걸 봐도 높은 위상을 짐작할 수 있다.

9층	9/SN+층/NNG
목탑과	목탑/NNG+과/JC
장륙존상(丈六尊像),	장륙존상/NNG+(/SS+丈六尊像/SH+)/SS+,/SP
천사옥대(天賜玉帶)의	천사옥대/NNG+(/SS+天賜玉帶/SH+)/SS+의/JKG
신라	신라/NNP
3대	3/SN+대/NNG
보물	보물/NNG
중	중/NNB
두	두/MMN
개가	개/NNB+가/JKS
황룡사에	황룡사/NNP+에/JKB
있었던	있/VA+었/EP+던/ETM
걸	거/NNB+ㄹ/JKO
봐도	보/VV+아도/EC
높은	높/VA+은/ETM
위상을	위상/NNG+을/JKO
짐작할	짐작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.136.5.3
하지만 황룡사가 어떤 배경과 이유로 건립됐는지는 여전히 오리무중이다.

하지만	하지만/MAJ
황룡사가	황룡사/NNP+가/JKS
어떤	어떤/MMD
배경과	배경/NNG+과/JC
이유로	이유/NNG+로/JKB
건립됐는지는	건립/NNG+되/XSV+었/EP+는지/EF+는/JX
여전히	여전히/MAG
오리무중이다.	오리무중/NNG+이/VCP+다/EF+./SF
