# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.176
metadata : {}


# id : NWRW1800000021.176.1.1
[기자의 눈/구자룡]北核제재 주저하는 中의 복잡한 셈법

[기자의	[/SS+기자/NNG+의/JKG
눈/구자룡]北核제재	눈/NNG+//SP+구자룡/NNP+]/SS+北核/SH+제재/NNG
주저하는	주저/NNG+하/XSV+는/ETM
中의	中/SH+의/JKG
복잡한	복잡하/VA+ㄴ/ETM
셈법	셈법/NNG


# id : NWRW1800000021.176.2.1
북한의 2차 핵실험과 미사일 발사를 둘러싸고 중국의 움직임에 세계가 주목하고 있다.

북한의	북한/NNP+의/JKG
2차	2/SN+차/NNB
핵실험과	핵/NNG+실험/NNG+과/JC
미사일	미사일/NNG
발사를	발사/NNG+를/JKO
둘러싸고	둘러싸/VV+고/EC
중국의	중국/NNP+의/JKG
움직임에	움직임/NNG+에/JKB
세계가	세계/NNG+가/JKS
주목하고	주목/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.176.2.2
국제사회는 북한의 유일한 동맹국인 중국이 제재에 적극 동참하지 않으면 북한의 핵 야욕을 꺾을 수 없을 것으로 보고 있다.

국제사회는	국제/NNG+사회/NNG+는/JX
북한의	북한/NNP+의/JKG
유일한	유일/NNG+하/XSA+ㄴ/ETM
동맹국인	동맹국/NNG+이/VCP+ㄴ/ETM
중국이	중국/NNP+이/JKS
제재에	제재/NNG+에/JKB
적극	적극/NNG
동참하지	동참/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
핵	핵/NNG
야욕을	야욕/NNG+을/JKO
꺾을	꺾/VV+을/ETM
수	수/NNB
없을	없/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.176.2.3
중국은 북한의 과격행동을 우려하면서도 강경한 제재를 주저하고 있는 상황이다.

중국은	중국/NNP+은/JX
북한의	북한/NNP+의/JKG
과격행동을	과격/NNG+행동/NNG+을/JKO
우려하면서도	우려/NNG+하/XSV+면서/EC+도/JX
강경한	강경/NNG+하/XSA+ㄴ/ETM
제재를	제재/NNG+를/JKO
주저하고	주저/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.176.2.4
여기에는 중국의 복잡한 계산이 깔려있다는 게 전문가들의 이야기다.

여기에는	여기/NP+에/JKB+는/JX
중국의	중국/NNP+의/JKG
복잡한	복잡하/VA+ㄴ/ETM
계산이	계산/NNG+이/JKS
깔려있다는	깔리/VV+어/EC+있/VX+다는/ETM
게	거/NNB+이/JKS
전문가들의	전문가/NNG+들/XSN+의/JKG
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.176.3.1
북한 최고위 지도부 동향에 밝은 베이징(北京)의 한 전문가는 “김정일 위원장은 미국과 중국이 동북아에서 세력 다툼을 벌이는 현재 신냉전구도를 교묘히 이용하려 한다”며 “중국으로서는 북한이 미국과 손잡을까 봐 두려워하는 측면도 있다”고 전했다.

북한	북한/NNP
최고위	최/XPN+고위/NNG
지도부	지도부/NNG
동향에	동향/NNG+에/JKB
밝은	밝/VA+은/ETM
베이징(北京)의	베이징/NNP+(/SS+北京/SH+)/SS+의/JKG
한	한/MMN
전문가는	전문가/NNG+는/JX
“김정일	“/SS+김정일/NNP
위원장은	위원장/NNG+은/JX
미국과	미국/NNP+과/JKB
중국이	중국/NNP+이/JKS
동북아에서	동북아/NNP+에서/JKB
세력	세력/NNG
다툼을	다툼/NNG+을/JKO
벌이는	벌이/VV+는/ETM
현재	현재/NNG
신냉전구도를	신/XPN+냉전/NNG+구도/NNG+를/JKO
교묘히	교묘히/MAG
이용하려	이용/NNG+하/XSV+려/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“중국으로서는	“/SS+중국/NNP+으로서/JKB+는/JX
북한이	북한/NNP+이/JKS
손잡을까	손잡/VV+을까/EF
봐	보/VX+아/EC
두려워하는	두려워하/VV+는/ETM
측면도	측면/NNG+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.176.3.2
지난해 중국은 북한 대외 무역의 무려 73%를 차지했다.

지난해	지난해/NNG
중국은	중국/NNP+은/JX
북한	북한/NNP
대외	대외/NNG
무역의	무역/NNG+의/JKG
무려	무려/MAG
73%를	73/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.176.3.3
언뜻 보기에는 중국이 북한을 좌지우지할 수 있을 것 같지만 현실은 간단하지 않다.

언뜻	언뜻/MAG
보기에는	보/VV+기/ETN+에/JKB+는/JX
중국이	중국/NNP+이/JKS
북한을	북한/NNP+을/JKO
좌지우지할	좌지우지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같지만	같/VA+지만/EC
현실은	현실/NNG+은/JX
간단하지	간단하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.176.3.4
북한 체제가 붕괴돼 많은 난민이 중국으로 쏟아져 들어오거나 아니면 한반도에서 분쟁이 일어날 때 1차 피해자가 될 수 있다.

북한	북한/NNP
체제가	체제/NNG+가/JKS
붕괴돼	붕괴/NNG+되/XSV+어/EC
많은	많/VA+은/ETM
난민이	난민/NNG+이/JKS
중국으로	중국/NNP+으로/JKB
쏟아져	쏟아지/VV+어/EC
들어오거나	들어오/VV+거나/EC
아니면	아니/VCN+면/EC
한반도에서	한반도/NNP+에서/JKB
분쟁이	분쟁/NNG+이/JKS
일어날	일어나/VV+ㄹ/ETM
때	때/NNG
1차	1/SN+차/NNB
피해자가	피해자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.176.3.5
중국이 우려하는 상황이다.

중국이	중국/NNP+이/JKS
우려하는	우려/NNG+하/XSV+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.176.3.6
중국이 ‘막가는’ 북한을 괘씸하게 생각하면서도 선뜻 독자 제재는 물론 국제사회의 제재에 적극 동참하지 못하고 속병을 앓는 것은 바로 이런 이유 때문이다.

중국이	중국/NNP+이/JKS
‘막가는’	‘/SS+막가/VV+는/ETM+’/SS
북한을	북한/NNP+을/JKO
괘씸하게	괘씸하/VA+게/EC
생각하면서도	생각/NNG+하/XSV+면서/EC+도/JX
선뜻	선뜻/MAG
독자	독자/NNG
제재는	제재/NNG+는/JX
물론	물론/MAG
국제사회의	국제/NNG+사회/NNG+의/JKG
제재에	제재/NNG+에/JKB
적극	적극/NNG
동참하지	동참/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
속병을	속병/NNG+을/JKO
앓는	앓/VV+는/ETM
것은	것/NNB+은/JX
바로	바로/MAG
이런	이런/MMD
이유	이유/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.176.4.1
이미 북한과 중국의 관계는 예전 같지 않다.

이미	이미/MAG
북한과	북한/NNP+과/JC
중국의	중국/NNP+의/JKG
관계는	관계/NNG+는/JX
예전	예전/NNG
같지	같/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000021.176.4.2
김 위원장은 올 4월 위성 발사 후 중국이 유엔 안보리에서 ‘의장 성명’ 형태로라도 서방과 보조를 같이한 것에 불만스러워한다.

김	김/NNP
위원장은	위원장/NNG+은/JX
올	올/NNG
4월	4/SN+월/NNB
위성	위성/NNG
발사	발사/NNG
후	후/NNG
중국이	중국/NNP+이/JKS
유엔	유엔/NNP
안보리에서	안보리/NNG+에서/JKB
‘의장	‘/SS+의장/NNG
성명’	성명/NNG+’/SS
형태로라도	형태/NNG+로/JKB+이/VCP+라도/EC
서방과	서방/NNG+과/JKB
보조를	보조/NNG+를/JKO
같이한	같이/MAG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
불만스러워한다.	불만/NNG+스럽/XSA+어/EC+하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.176.4.3
특히 2차 핵실험 후 공식 반대성명을 낸 중국의 태도에 배신감을 느끼고 있다.

특히	특히/MAG
2차	2/SN+차/NNB
핵실험	핵/NNG+실험/NNG
후	후/NNG
공식	공식/NNG
반대성명을	반대/NNG+성명/NNG+을/JKO
낸	내/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
태도에	태도/NNG+에/JKB
배신감을	배신감/NNG+을/JKO
느끼고	느끼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.176.4.4
앞서 소개한 대북 전문가는 “만약 중국이 서방과 손을 잡고 압박수위를 높이면서 최악의 경우 국경 봉쇄 등에 나서면 북한은 사실상 미국에 투항하는 수준으로 중국에서 이탈할 수도 있다”고 북한 내 분위기를 전했다.

앞서	앞서/MAG
소개한	소개/NNG+하/XSV+ㄴ/ETM
대북	대북/NNG
전문가는	전문가/NNG+는/JX
“만약	“/SS+만약/MAG
