# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.149
metadata : {}


# id : NWRW1800000024.149.1.1
홍준표-김영남, 아프리카서 만날까

홍준표-김영남,	홍준표/NNP+-/SO+김영남/NNP+,/SP
아프리카서	아프리카/NNP+서/JKB
만날까	만나/VV+ㄹ까/EF


# id : NWRW1800000024.149.2.1
홍준표 한나라당 원내대표와 김영남 북한 최고인민회의 상임위원장의 ‘아프리카 만남’이 이뤄질지 관심을 끌고 있다.

홍준표	홍준표/NNP
한나라당	한나라당/NNP
원내대표와	원내/NNG+대표/NNG+와/JC
김영남	김영남/NNP
북한	북한/NNP
최고인민회의	최고인민회의/NNG
상임위원장의	상임/NNG+위원장/NNG+의/JKG
‘아프리카	‘/SS+아프리카/NNP
만남’이	만남/NNG+’/SS+이/JKS
이뤄질지	이뤄지/VV+ㄹ지/EF
관심을	관심/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.149.2.2
두 사람은 9일 열리는 제이컵 주마 남아프리카공화국 대통령 취임식 사절로 각각 남아공을 방문한다.

두	두/MMN
사람은	사람/NNG+은/JX
9일	9/SN+일/NNB
열리는	열리/VV+는/ETM
제이컵	제이컵/NNP
주마	주마/NNP
남아프리카공화국	남아프리카공화국/NNP
대통령	대통령/NNG
취임식	취임식/NNG
사절로	사절/NNG+로/JKB
각각	각각/MAG
남아공을	남아공/NNP+을/JKO
방문한다.	방문/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.149.3.1
홍 원내대표는 5일 <한겨레>와 한 통화에서 “일정이 같아 (김 상임위원장을) 만나게 되면 남북 경색을 풀 계기가 될 만한 얘기를 하겠다”고 말했다.

홍	홍/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
5일	5/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“일정이	“/SS+일정/NNG+이/JKS
같아	같/VA+아/EC
(김	(/SS+김/NNP
상임위원장을)	상임/NNG+위원장/NNG+을/JKO+)/SS
만나게	만나/VV+게/EC
되면	되/VV+면/EC
남북	남북/NNP
경색을	경색/NNG+을/JKO
풀	풀/VV+ㄹ/ETM
계기가	계기/NNG+가/JKC
될	되/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.149.4.1
