# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.130
metadata : {}


# id : NWRW1800000033.130.1.1
[헬스&뷰티/주목! 헬스북]생애 첫 1시간이 인간의 모든 것을 결정한다

[헬스&뷰티/주목!	[/SS+헬스/NNG+&/SW+뷰티/NNG+//SP+주목/IC+!/SF
헬스북]생애	헬스북/NNG+]/SS+생애/NNG
첫	첫/MMN
1시간이	1/SN+시간/NNB+이/JKS
인간의	인간/NNG+의/JKG
모든	모든/MMN
것을	것/NNB+을/JKO
결정한다	결정/NNG+하/XSV+ㄴ다/EF


# id : NWRW1800000033.130.2.1
이교원·351쪽·2만 원·센추리원

이교원·351쪽·2만	이교원/NNP+·/SP+351/SN+쪽/NNG+·/SP+2/SN+만/NR
원·센추리원	원/NNB+·/SP+센추리원/NNP


# id : NWRW1800000033.130.3.1
사람의 일생이 임신 열 달, 출산 후 1시간, 생후 3년에 걸쳐 다 완성된다면?

사람의	사람/NNG+의/JKG
일생이	일생/NNG+이/JKS
임신	임신/NNG
열	열/NR
달,	달/NNB+,/SP
출산	출산/NNG
후	후/NNG
1시간,	1/SN+시간/NNB+,/SP
생후	생후/NNG
3년에	3/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
다	다/MAG
완성된다면?	완성/NNG+되/XSV+ㄴ다면/EC+?/SF


# id : NWRW1800000033.130.3.2
산부인과 의사로 강북삼성병원 웰빙케어링센터장을 맡고 있는 저자는 임신이란 게 단순히 아기를 몸 안에 두고 있는 것만은 아니라고 말한다.

산부인과	산부인과/NNG
의사로	의사/NNG+로/JKB
강북삼성병원	강북삼성병원/NNP
웰빙케어링센터장을	웰빙케어링센터장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
저자는	저자/NNG+는/JX
임신이란	임신/NNG+이/VCP+란/ETM
게	거/NNB+이/JKS
단순히	단순히/MAG
아기를	아기/NNG+를/JKO
몸	몸/NNG
안에	안/NNG+에/JKB
두고	두/VV+고/EC
것만은	것/NNB+만/JX+은/JX
아니라고	아니/VCN+라고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.130.3.3
자신이 먹는 음식이 태아에게 어떻게 전해지는지 무신경한 산모, 부모 될 마음가짐이 아직 되지 않은 아버지….

자신이	자신/NNG+이/JKS
먹는	먹/VV+는/ETM
음식이	음식/NNG+이/JKS
태아에게	태아/NNG+에게/JKB
어떻게	어떻/VA+게/EC
전해지는지	전하/VV+아/EC+지/VX+는지/EF
무신경한	무/XPN+신경/NNG+하/XSA+ㄴ/ETM
산모,	산모/NNG+,/SP
부모	부모/NNG
될	되/VV+ㄹ/ETM
마음가짐이	마음가짐/NNG+이/JKS
아직	아직/MAG
되지	되/VV+지/EC
않은	않/VX+은/ETM
아버지….	아버지/NNG+…/SE+./SF


# id : NWRW1800000033.130.3.4
이들이 한 인간의 ‘휴먼 프로그래밍’을 망치고 있다는 것.

이들이	이/NP+들/XSN+이/JKS
한	한/MMN
인간의	인간/NNG+의/JKG
‘휴먼	‘/SS+휴먼/NNG
프로그래밍’을	프로그래밍/NNG+’/SS+을/JKO
망치고	망치/VV+고/EC
있다는	있/VX+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.130.4.1
저자는 태교에서부터 생후 3년까지의 기간에 인간의 모든 것이 완성된다고 말한다.

저자는	저자/NNG+는/JX
태교에서부터	태교/NNG+에서부터/JKB
생후	생후/NNG
3년까지의	3/SN+년/NNB+까지/JX+의/JKG
기간에	기간/NNG+에/JKB
인간의	인간/NNG+의/JKG
모든	모든/MMN
것이	것/NNB+이/JKS
완성된다고	완성/NNG+되/XSV+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.130.4.2
임신을 준비할 때부터 아빠 엄마의 몸과 정신이 건강해야 하는 이유도 이 때문이다.

임신을	임신/NNG+을/JKO
준비할	준비/NNG+하/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
아빠	아빠/NNG
엄마의	엄마/NNG+의/JKG
몸과	몸/NNG+과/JC
정신이	정신/NNG+이/JKS
건강해야	건강/NNG+하/XSA+아야/EC
하는	하/VX+는/ETM
이유도	이유/NNG+도/JX
이	이/NP
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.130.4.3
인간은 만 3세가 되면 뇌의 무게가 약 1200g이 된다.

인간은	인간/NNG+은/JX
만	만/MMA
3세가	3/SN+세/NNB+가/JKC
되면	되/VV+면/EC
뇌의	뇌/NNG+의/JKG
무게가	무게/NNG+가/JKS
약	약/MMA
1200g이	1200/SN+g/SW+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.130.4.4
성인 뇌의 90%까지 성장하는 것.

성인	성인/NNG
뇌의	뇌/NNG+의/JKG
90%까지	90/SN+%/SW+까지/JX
성장하는	성장/NNG+하/XSV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.130.4.5
부모가 이 시기를 잘 키워야 제대로 된 사회구성원을 기를 수 있다.

부모가	부모/NNG+가/JKS
이	이/MMD
시기를	시기/NNG+를/JKO
잘	잘/MAG
키워야	키우/VV+어야/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
사회구성원을	사회/NNG+구성원/NNG+을/JKO
기를	기르/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.130.5.1
저자는 우리의 분만환경에도 일침을 가한다.

저자는	저자/NNG+는/JX
우리의	우리/NP+의/JKG
분만환경에도	분만/NNG+환경/NNG+에/JKB+도/JX
일침을	일침/NNG+을/JKO
가한다.	가하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.130.5.2
아기가 나오자마자 탯줄을 잘라내고 재빨리 신생아실로 데려갈 게 아니라 태아가 엄마와 눈을 맞추고 온 가족이 환영해주는 느낌을 받아야 한다는 것이다.

아기가	아기/NNG+가/JKS
나오자마자	나오/VV+자마자/EC
탯줄을	탯줄/NNG+을/JKO
잘라내고	자르/VV+아/EC+내/VX+고/EC
재빨리	재빨리/MAG
신생아실로	신생아실/NNG+로/JKB
데려갈	데려가/VV+ㄹ/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
태아가	태아/NNG+가/JKS
엄마와	엄마/NNG+와/JKB
눈을	눈/NNG+을/JKO
맞추고	맞추/VV+고/EC
온	온/MMN
가족이	가족/NNG+이/JKS
환영해주는	환영/NNG+하/XSV+아/EC+주/VX+는/ETM
느낌을	느낌/NNG+을/JKO
받아야	받/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.130.6.1
‘분만촉진제나 산모의 통증을 줄여주는 무통주사도 쓰지 말고, 제왕절개도 되도록 피한 채 자연스럽게 분만하라’는 저자의 말에 상당수 여성은 반발할 수 있다.

‘분만촉진제나	‘/SS+분만/NNG+촉진제/NNG+나/JX
산모의	산모/NNG+의/JKG
통증을	통증/NNG+을/JKO
줄여주는	줄이/VV+어/EC+주/VX+는/ETM
무통주사도	무통/NNG+주사/NNG+도/JX
쓰지	쓰/VV+지/EC
말고,	말/VX+고/EC+,/SP
제왕절개도	제왕/NNG+절개/NNG+도/JX
되도록	되도록/MAG
피한	피하/VV+ㄴ/ETM
채	채/NNB
자연스럽게	자연/NNG+스럽/XSA+게/EC
분만하라’는	분만/NNG+하/XSV+라/EF+’/SS+는/ETM
저자의	저자/NNG+의/JKG
말에	말/NNG+에/JKB
상당수	상당수/NNG
여성은	여성/NNG+은/JX
반발할	반발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.130.6.2
그러나 책을 읽는 내내 부모는 거저 되는 것이 아님을 절실히 느낀다.

그러나	그러나/MAJ
책을	책/NNG+을/JKO
읽는	읽/VV+는/ETM
내내	내내/MAG
부모는	부모/NNG+는/JX
거저	거저/MAG
되는	되/VV+는/ETM
것이	것/NNB+이/JKC
아님을	아니/VCN+ㅁ/ETN+을/JKO
절실히	절실히/MAG
느낀다.	느끼/VV+ㄴ다/EF+./SF


