# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.380
metadata : {}


# id : NWRW1800000030.380.1.1
[수도권] [도시탐구] 佛 여행 가이드북 ‘까르또빌’ 서울판

[수도권]	[/SS+수도/NNG+권/XSN+]/SS
[도시탐구]	[/SS+도시/NNG+탐구/NNG+]/SS
佛	佛/SH
여행	여행/NNG
가이드북	가이드북/NNG
‘까르또빌’	‘/SS+까르또빌/NNP+’/SS
서울판	서울판/NNG


# id : NWRW1800000030.380.2.1
•맛집·클럽·부티크·서점까지 프랑스가 들춰낸 서울의 명소

•맛집·클럽·부티크·서점까지	•/SW+맛집/NNG+·/SP+클럽/NNG+·/SP+부티크/NNG+·/SP+서점/NNG+까지/JX
프랑스가	프랑스/NNP+가/JKS
들춰낸	들춰내/VV+ㄴ/ETM
서울의	서울/NNP+의/JKG
명소	명소/NNG


# id : NWRW1800000030.380.3.1
프랑스 여행자 눈으로 본 서울 명소(名所)는 어디일까.

프랑스	프랑스/NNP
여행자	여행자/NNG
눈으로	눈/NNG+으로/JKB
본	보/VV+ㄴ/ETM
서울	서울/NNP
명소(名所)는	명소/NNG+(/SS+名所/SH+)/SS+는/JX
어디일까.	어디/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000030.380.3.2
지난달 나온 '까르또빌(Cartoville)' 서울판사진>은 비즈니스나 휴가를 위해 머무는 젊고 활동적인 여행자를 대상으로 만든 가이드북이다.

지난달	지난달/NNG
나온	나오/VV+ㄴ/ETM
'까르또빌(Cartoville)'	'/SS+까르또빌/NNP+(/SS+Cartoville/SL+)/SS+'/SS
서울판사진>은	서울판/NNG+사진/NNG+>/SS+은/JX
비즈니스나	비즈니스/NNG+나/JC
휴가를	휴가/NNG+를/JKO
위해	위하/VV+아/EC
머무는	머물/VV+는/ETM
젊고	젊/VA+고/EC
활동적인	활동/NNG+적/XSN+이/VCP+ㄴ/ETM
여행자를	여행자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
가이드북이다.	가이드북/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.380.3.3
프랑스 갈리마르 출판사에서 여행 작가를 보내 한 달 반 동안 발품을 팔아 낚은 생생한 정보를 펼쳐 놓았다.

프랑스	프랑스/NNP
갈리마르	갈리마르/NNP
출판사에서	출판사/NNG+에서/JKB
여행	여행/NNG
작가를	작가/NNG+를/JKO
보내	보내/VV+어/EC
한	한/MMN
달	달/NNB
반	반/NNG
동안	동안/NNG
발품을	발품/NNG+을/JKO
팔아	팔/VV+아/EC
낚은	낚/VV+은/ETM
생생한	생생하/VA+ㄴ/ETM
정보를	정보/NNG+를/JKO
펼쳐	펼치/VV+어/EC
놓았다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.380.4.1
광화문~삼청동 '천진포자'는 정독도서관을 드나드는 학생들 사이에서 입소문을 탔다.

광화문~삼청동	광화문/NNP+~/SO+삼청동/NNP
'천진포자'는	'/SS+천진포자/NNP+'/SS+는/JX
정독도서관을	정독도서관/NNP+을/JKO
드나드는	드나들/VV+는/ETM
학생들	학생/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
입소문을	입소문/NNG+을/JKO
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.380.4.2
톈진식 만두와 볶음 면이 일품.

톈진식	톈진식/NNG
만두와	만두/NNG+와/JC
볶음	볶음/NNG
면이	면/NNG+이/JKS
일품.	일품/NNG+./SF


# id : NWRW1800000030.380.4.3
한식연구원 '계동마나님'은 자연식 반찬 가게로 채식으로 버무린 간단한 식사도 할 수 있다.

한식연구원	한식/NNG+연구원/NNG
'계동마나님'은	'/SS+계동마나님/NNP+'/SS+은/JX
자연식	자연식/NNG
반찬	반찬/NNG
가게로	가게/NNG+로/JKB
채식으로	채식/NNG+으로/JKB
버무린	버무리/VV+ㄴ/ETM
간단한	간단하/VA+ㄴ/ETM
식사도	식사/NNG+도/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.380.4.4
'창희'는 커피 볶는 향이 은은한 근대풍 카페.

'창희'는	'/SS+창희/NNP+'/SS+는/JX
커피	커피/NNG
볶는	볶/VV+는/ETM
향이	향/NNG+이/JKS
은은한	은은하/VA+ㄴ/ETM
근대풍	근대/NNG+풍/XSN
카페.	카페/NNG+./SF


# id : NWRW1800000030.380.4.5
'압생트'는 유럽풍 작은 커피점으로 컵 케이크가 예쁘다.

'압생트'는	'/SS+압생트/NNP+'/SS+는/JX
유럽풍	유럽/NNP+풍/XSN
작은	작/VA+은/ETM
커피점으로	커피점/NNG+으로/JKB
컵	컵/NNG
케이크가	케이크/NNG+가/JKS
예쁘다.	예쁘/VA+다/EF+./SF


# id : NWRW1800000030.380.4.6
'누비진'은 작가 표현에 따르자면 '요정의 손'으로 맞춘 여성복 전문점.

'누비진'은	'/SS+누비진/NNP+'/SS+은/JX
작가	작가/NNG
표현에	표현/NNG+에/JKB
따르자면	따르/VV+자면/EC
'요정의	'/SS+요정/NNG+의/JKG
손'으로	손/NNG+'/SS+으로/JKB
맞춘	맞추/VV+ㄴ/ETM
여성복	여성복/NNG
전문점.	전문점/NNG+./SF


# id : NWRW1800000030.380.5.1
인사동~북촌~대학로 '고궁'은 방석에 앉아 전북 맛(로얄 전주비빔밥)을 경험할 수 있다.

인사동~북촌~대학로	인사동/NNP+~/SO+북촌/NNP+~/SO+대학로/NNP
'고궁'은	'/SS+고궁/NNP+'/SS+은/JX
방석에	방석/NNG+에/JKB
앉아	앉/VV+아/EC
전북	전북/NNP
맛(로얄	맛/NNG+(/SS+로얄/NNG
전주비빔밥)을	전주비빔밥/NNG+)/SS+을/JKO
경험할	경험/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.380.5.2
'발우공양'은 세련되면서 순수한 사찰 음식 전문점.

'발우공양'은	'/SS+발우공양/NNP+'/SS+은/JX
세련되면서	세련/NNG+되/XSA+면서/EC
