# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.74
metadata : {}


# id : NWRW1800000033.74.1.1
佛 명품업체들 ‘짝퉁과의 전쟁’

佛	佛/SH
명품업체들	명품/NNG+업체/NNG+들/XSN
‘짝퉁과의	‘/SS+짝퉁/NNG+과/JKB+의/JKG
전쟁’	전쟁/NNG+’/SS


# id : NWRW1800000033.74.2.1
“일자리 3만개 없어지고 세금 9조원이나 줄어”… 대대적 금지 캠페인

“일자리	“/SS+일자리/NNG
3만개	3/SN+만/NR+개/NNB
없어지고	없어지/VV+고/EC
세금	세금/NNG
9조원이나	9/SN+조/NR+원/NNB+이나/JX
줄어”…	줄/VV+어/EF+”/SS+…/SE
대대적	대대적/MMA
금지	금지/NNG
캠페인	캠페인/NNG


# id : NWRW1800000033.74.3.1
프랑스의 명품업체들이 ‘짝퉁(모조품)’과의 전쟁을 선포하고 나섰다.

프랑스의	프랑스/NNP+의/JKG
명품업체들이	명품/NNG+업체/NNG+들/XSN+이/JKS
‘짝퉁(모조품)’과의	‘/SS+짝퉁/NNG+(/SS+모조품/NNG+)/SS+’/SS+과/JKB+의/JKG
전쟁을	전쟁/NNG+을/JKO
선포하고	선포/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.74.3.2
샤넬, 에르메스, 루이뷔통 등 75개의 프랑스 명품 기업이 참여하고 있는 ‘콜베르 위원회’는 5월 30일부터 샤를드골, 오를리 공항 등 국내 주요 공항에서 포스터를 붙이고 모조품 밀수 단속과 소지 금지를 위한 캠페인을 시작했다.

샤넬,	샤넬/NNP+,/SP
에르메스,	에르메스/NNP+,/SP
루이뷔통	루이뷔통/NNP
등	등/NNB
75개의	75/SN+개/NNB+의/JKG
프랑스	프랑스/NNP
명품	명품/NNG
기업이	기업/NNG+이/JKS
참여하고	참여/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
‘콜베르	‘/SS+콜베르/NNP
위원회’는	위원회/NNG+’/SS+는/JX
5월	5/SN+월/NNB
30일부터	30/SN+일/NNB+부터/JX
샤를드골,	샤를드골/NNP+,/SP
오를리	오를리/NNP
공항	공항/NNG
국내	국내/NNG
주요	주요/NNG
공항에서	공항/NNG+에서/JKB
포스터를	포스터/NNG+를/JKO
붙이고	붙이/VV+고/EC
모조품	모조품/NNG
밀수	밀수/NNG
단속과	단속/NNG+과/JC
소지	소지/NNG
금지를	금지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
캠페인을	캠페인/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.74.4.1
프랑스는 세계에서 가장 강력한 모조품 처벌법을 갖고 있다.

프랑스는	프랑스/NNP+는/JX
세계에서	세계/NNG+에서/JKB
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
모조품	모조품/NNG
처벌법을	처벌법/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.74.4.2
모조품을 생산하거나 판매한 사람은 물론이고 소지만 해도 최고 30만 유로(약 4억3800만 원)의 벌금이나 최대 3년 징역형에 처해질 수 있다.

모조품을	모조품/NNG+을/JKO
생산하거나	생산/NNG+하/XSV+거나/EC
판매한	판매/NNG+하/XSV+ㄴ/ETM
사람은	사람/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
소지만	소지/NNG+만/JX
해도	하/VV+아도/EC
최고	최고/NNG
30만	30/SN+만/NR
유로(약	유로/NNB+(/SS+약/MMA
4억3800만	4/SN+억/NR+3800/SN+만/NR
원)의	원/NNB+)/SS+의/JKG
벌금이나	벌금/NNG+이나/JC
최대	최대/NNG
3년	3/SN+년/NNB
징역형에	징역형/NNG+에/JKB
처해질	처하/VV+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.74.4.3
또한 모조품을 10개 이상 소지하고 있으면 판매인으로 간주된다.

또한	또한/MAG
모조품을	모조품/NNG+을/JKO
10개	10/SN+개/NNB
이상	이상/NNG
소지하고	소지/NNG+하/XSV+고/EC
있으면	있/VX+으면/EC
판매인으로	판매인/NNG+으로/JKB
간주된다.	간주/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.74.5.1
콜베르 위원회는 여름철 해외여행을 떠나는 관광객에게 “모조품을 구입하지 말자”고 부탁하는 한편 국내에서도 모조품을 발견할 경우 즉각 신고해줄 것을 요청했다.

콜베르	콜베르/NNP
위원회는	위원회/NNG+는/JX
여름철	여름철/NNG
해외여행을	해외여행/NNG+을/JKO
떠나는	떠나/VV+는/ETM
관광객에게	관광객/NNG+에게/JKB
“모조품을	“/SS+모조품/NNG+을/JKO
구입하지	구입/NNG+하/XSV+지/EC
말자”고	말/VX+자/EF+”/SS+고/JKQ
부탁하는	부탁/NNG+하/XSV+는/ETM
한편	한편/NNG
국내에서도	국내/NNG+에서/JKB+도/JX
모조품을	모조품/NNG+을/JKO
발견할	발견/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
즉각	즉각/MAG
