# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.378
metadata : {}


# id : NWRW1800000033.378.1.1
北 미사일 발사준비 징후, 아리랑 3호도 잡아냈다

北	北/SH
미사일	미사일/NNG
발사준비	발사/NNG+준비/NNG
징후,	징후/NNG+,/SP
아리랑	아리랑/NNP
3호도	3/SN+호/NNB+도/JX
잡아냈다	잡아내/VV+었/EP+다/EF


# id : NWRW1800000033.378.2.1
엔진실험도 포착… 美와 공유

엔진실험도	엔진/NNG+실험/NNG+도/JX
포착…	포착/NNG+…/SE
美와	美/SH+와/JKB
공유	공유/NNG


# id : NWRW1800000033.378.3.1
5월 발사된 다목적 실용 위성 아리랑3호가 최근 북한 평안북도 동창리 미사일기지의 장거리로켓 발사 준비 움직임을 포착한 것으로 알려졌다.

5월	5/SN+월/NNB
발사된	발사/NNG+되/XSV+ㄴ/ETM
다목적	다목적/NNG
실용	실용/NNG
위성	위성/NNG
아리랑3호가	아리랑3호/NNP+가/JKS
최근	최근/MAG
북한	북한/NNP
평안북도	평안북도/NNP
동창리	동창리/NNP
미사일기지의	미사일/NNG+기지/NNG+의/JKG
장거리로켓	장거리/NNG+로켓/NNG
발사	발사/NNG
준비	준비/NNG
움직임을	움직임/NNG+을/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.378.4.1
정부 고위 소식통은 25일 “이달 초 미사일 부품으로 추정되는 화물을 실은 열차가 평양 인근 병기공장을 출발해 동창리 기지로 이동하는 정황을 미국의 정찰위성과 함께 아리랑3호도 잡은 것으로 알고 있다”라고 밝혔다.

정부	정부/NNG
고위	고위/NNG
소식통은	소식통/NNG+은/JX
25일	25/SN+일/NNB
“이달	“/SS+이달/NNG
초	초/NNB
미사일	미사일/NNG
부품으로	부품/NNG+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
화물을	화물/NNG+을/JKO
실은	싣/VV+은/ETM
열차가	열차/NNG+가/JKS
평양	평양/NNP
인근	인근/NNG
병기공장을	병기/NNG+공장/NNG+을/JKO
출발해	출발/NNG+하/XSV+아/EC
동창리	동창리/NNP
기지로	기지/NNG+로/JKB
이동하는	이동/NNG+하/XSV+는/ETM
정황을	정황/NNG+을/JKO
미국의	미국/NNP+의/JKG
정찰위성과	정찰/NNG+위성/NNG+과/JKB
함께	함께/MAG
아리랑3호도	아리랑3호/NNP+도/JX
잡은	잡/VV+은/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다”라고	있/VX+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.378.4.2
한미 정보 당국은 양국 위성의 영상정보를 정밀 분석한 결과 북한이 미사일 발사 준비에 착수한 징후로 판단했다고 이 소식통은 전했다.

한미	한미/NNP
정보	정보/NNG
당국은	당국/NNG+은/JX
양국	양국/NNG
위성의	위성/NNG+의/JKG
영상정보를	영상/NNG+정보/NNG+를/JKO
정밀	정밀/NNG
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
북한이	북한/NNP+이/JKS
미사일	미사일/NNG
발사	발사/NNG
준비에	준비/NNG+에/JKB
착수한	착수/NNG+하/XSV+ㄴ/ETM
징후로	징후/NNG+로/JKB
판단했다고	판단/NNG+하/XSV+았/EP+다고/EC
이	이/MMD
소식통은	소식통/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.378.5.1
아리랑3호는 북한이 장거리로켓 발사에 실패한 4월 이후 최근까지 동창리 기지 내 발사장에서 실시한 여러 차례의 로켓엔진 연소실험도 포착해 미국과 정보를 공유한 것으로 알려졌다.

아리랑3호는	아리랑3호/NNP+는/JX
북한이	북한/NNP+이/JKS
장거리로켓	장거리/NNG+로켓/NNG
발사에	발사/NNG+에/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
4월	4/SN+월/NNB
이후	이후/NNG
최근까지	최근/NNG+까지/JX
동창리	동창리/NNP
기지	기지/NNG
내	내/NNB
발사장에서	발사장/NNG+에서/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
여러	여러/MMN
차례의	차례/NNG+의/JKG
로켓엔진	로켓/NNG+엔진/NNG
연소실험도	연소/NNG+실험/NNG+도/JX
포착해	포착/NNG+하/XSV+아/EC
미국과	미국/NNP+과/JKB
정보를	정보/NNG+를/JKO
공유한	공유/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.378.5.2
군 고위 관계자는 “그간 북한의 핵과 미사일기지 동향에 대한 위성첩보는 미국에 거의 의존했지만 아리랑3호가 가동된 후 한국도 대북 영상정보 수집 능력이 크게 강화됐다”라고 말했다.

군	군/NNG
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“그간	“/SS+그/NP+간/XSN
북한의	북한/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일기지	미사일/NNG+기지/NNG
동향에	동향/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위성첩보는	위성/NNG+첩보/NNG+는/JX
미국에	미국/NNP+에/JKB
거의	거의/MAG
의존했지만	의존/NNG+하/XSV+았/EP+지만/EC
아리랑3호가	아리랑3호/NNP+가/JKS
가동된	가동/NNG+되/XSV+ㄴ/ETM
후	후/NNG
한국도	한국/NNP+도/JX
대북	대북/NNG
영상정보	영상/NNG+정보/NNG
수집	수집/NNG
능력이	능력/NNG+이/JKS
크게	크/VA+게/EC
강화됐다”라고	강화/NNG+되/XSV+었/EP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.378.6.1
5월 일본의 다네가시마(種子島) 우주센터에서 발사된 아리랑3호는 해상도 70cm급 전자광학카메라를 탑재해 지상의 차량과 도로 위 방향 표지를 정확히 식별할 수 있다.

5월	5/SN+월/NNB
일본의	일본/NNP+의/JKG
다네가시마(種子島)	다네가시마/NNP+(/SS+種子島/SH+)/SS
우주센터에서	우주/NNG+센터/NNG+에서/JKB
발사된	발사/NNG+되/XSV+ㄴ/ETM
아리랑3호는	아리랑3호/NNP+는/JX
해상도	해상도/NNG
70cm급	70/SN+cm/SW+급/NNG
전자광학카메라를	전자/NNG+광학/NNG+카메라/NNG+를/JKO
탑재해	탑재/NNG+하/XSV+아/EC
지상의	지상/NNG+의/JKG
차량과	차량/NNG+과/JC
도로	도로/NNG
위	위/NNG
방향	방향/NNG
표지를	표지/NNG+를/JKO
정확히	정확히/MAG
식별할	식별/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.378.6.2
지상 685km 궤도에서 지구를 하루 14.5바퀴 공전하는데, 매일 한반도 상공을 두 차례 지나가며 북한 주요 지역 등 한반도 전역을 디지털 영상으로 정밀 촬영한다.

지상	지상/NNG
685km	685/SN+km/SW
궤도에서	궤도/NNG+에서/JKB
지구를	지구/NNG+를/JKO
하루	하루/NNG
14.5바퀴	14/SN+./SP+5/SN+바퀴/NNB
공전하는데,	공전/NNG+하/XSV+는데/EC+,/SP
매일	매일/MAG
한반도	한반도/NNP
상공을	상공/NNG+을/JKO
두	두/MMN
차례	차례/NNG
지나가며	지나가/VV+며/EC
북한	북한/NNP
주요	주요/NNG
지역	지역/NNG
등	등/NNB
전역을	전역/NNG+을/JKO
디지털	디지털/NNG
영상으로	영상/NNG+으로/JKB
정밀	정밀/NNG
촬영한다.	촬영/NNG+하/XSV+ㄴ다/EF+./SF


