# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.235
metadata : {}


# id : NWRW1800000025.235.1.1
“美뉴욕 모스크?

“美뉴욕	“/SS+美/SH+뉴욕/NNP
모스크?	모스크/NNG+?/SF


# id : NWRW1800000025.235.1.2
짓든지 말든지…”

짓든지	짓/VV+든지/EC
말든지…”	말/VX+든지/EC+…/SE+”/SS


# id : NWRW1800000025.235.2.1
9·11테러 장소인 미국 뉴욕 맨해튼 ‘그라운드 제로’ 인근에 이슬람 사원인 모스크를 세우는 계획에 대해 중동의 무슬림들은 어떤 생각을 하고 있을까.

9·11테러	9/SN+·/SP+11/SN+테러/NNG
장소인	장소/NNG+이/VCP+ㄴ/ETM
미국	미국/NNP
뉴욕	뉴욕/NNP
맨해튼	맨해튼/NNP
‘그라운드	‘/SS+그라운드/NNG
제로’	제로/NNG+’/SS
인근에	인근/NNG+에/JKB
이슬람	이슬람/NNG
사원인	사원/NNG+이/VCP+ㄴ/ETM
모스크를	모스크/NNG+를/JKO
세우는	세우/VV+는/ETM
계획에	계획/NNG+에/JKB
대해	대하/VV+아/EC
중동의	중동/NNP+의/JKG
무슬림들은	무슬림/NNG+들/XSN+은/JX
어떤	어떤/MMD
생각을	생각/NNG+을/JKO
하고	하/VV+고/EC
있을까.	있/VX+을까/EF+./SF


# id : NWRW1800000025.235.3.1
버락 오바마 대통령이 지지 입장을 나타냈고 찬반 시위대 수백 명이 맨해튼 거리에서 대치하는 등 미국 전역이 떠들썩하지만 정작 중동지역의 무슬림 국가들은 침묵하고 있다고 AP통신이 23일 분위기를 전했다.

버락	버락/NNP
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
지지	지지/NNG
입장을	입장/NNG+을/JKO
나타냈고	나타내/VV+었/EP+고/EC
찬반	찬반/NNG
시위대	시위대/NNG
수백	수백/NR
명이	명/NNB+이/JKS
맨해튼	맨해튼/NNP
거리에서	거리/NNG+에서/JKB
대치하는	대치/NNG+하/XSV+는/ETM
등	등/NNB
미국	미국/NNP
전역이	전역/NNG+이/JKS
떠들썩하지만	떠들썩하/VA+지만/EC
정작	정작/MAG
중동지역의	중동/NNP+지역/NNG+의/JKG
무슬림	무슬림/NNG
국가들은	국가/NNG+들/XSN+은/JX
침묵하고	침묵/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
AP통신이	AP통신/NNP+이/JKS
23일	23/SN+일/NNB
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.235.4.1
AP에 따르면 중동의 무슬림 대부분은 한마디로 이번 상황에 직접적이고 적극적인 대응이 불필요하다고 느낀다고 한다.

AP에	AP/SL+에/JKB
따르면	따르/VV+면/EC
중동의	중동/NNP+의/JKG
무슬림	무슬림/NNG
대부분은	대/XPN+부분/NNG+은/JX
한마디로	한마디/NNG+로/JKB
이번	이번/NNG
상황에	상황/NNG+에/JKB
직접적이고	직접/NNG+적/XSN+이/VCP+고/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
대응이	대응/NNG+이/JKS
불필요하다고	불/XPN+필요/NNG+하/XSA+다고/EC
느낀다고	느끼/VV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.235.4.2
모스크 건립을 둘러싼 미국인들 사이의 거친 대립에서 이슬람교가 어떻게 비치는지, 이런 상황의 저변에 깔린 미국 내 이슬람 혐오주의의 근원은 무엇인지 같은 민감한 문제들을 다루기에 시기가 적절하지 않다는 인식 때문이다.

모스크	모스크/NNG
건립을	건립/NNG+을/JKO
