# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.277
metadata : {}


# id : NWRW1800000022.277.1.1
"大韓義軍 중장으로 의거… 안중근 將軍이라 불러야"

"大韓義軍	"/SS+大韓義軍/SH
중장으로	중장/NNG+으로/JKB
의거…	의거/NNG+…/SE
안중근	안중근/NNP
將軍이라	將軍/SH+이/VCP+라/EC
불러야"	부르/VV+어야/EC+"/SS


# id : NWRW1800000022.277.2.1
안중근은 '의사(義士)'가 아니라 '장군(將軍)'으로 불러야 한다.

안중근은	안중근/NNP+은/JX
'의사(義士)'가	'/SS+의사/NNG+(/SS+義士/SH+)/SS+'/SS+가/JKC
아니라	아니/VCN+라/EC
'장군(將軍)'으로	'/SS+장군/NNG+(/SS+將軍/SH+)/SS+'/SS+으로/JKB
불러야	부르/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.277.3.1
안중근은 공판과 최후진술 등에서 모두 4차례 자신이 이토 히로부미를 저격한 것은 "대한의군(大韓義軍) 참모중장(參謀中將)의 자격으로 독립전쟁을 한 것이지 결코 개인으로서 한 것이 아니다"라고 강조했다.

안중근은	안중근/NNP+은/JX
공판과	공판/NNG+과/JC
최후진술	최후/NNG+진술/NNG
등에서	등/NNB+에서/JKB
모두	모두/MAG
4차례	4/SN+차례/NNG
자신이	자신/NNG+이/JKS
이토	이토/NNP
히로부미를	히로부미/NNP+를/JKO
저격한	저격/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
"대한의군(大韓義軍)	"/SS+대한/NNP+의군/NNG+(/SS+大韓義軍/SH+)/SS
참모중장(參謀中將)의	참모/NNG+중장/NNG+(/SS+參謀中將/SH+)/SS+의/JKG
자격으로	자격/NNG+으로/JKB
독립전쟁을	독립/NNG+전쟁/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이지	것/NNB+이/VCP+지/EC
결코	결코/MAG
개인으로서	개인/NNG+으로서/JKB
것이	것/NNB+이/JKC
아니다"라고	아니/VCN+다/EF+"/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.277.3.2
그는 자신에게 적용되는 법은 일본의 국내법이 아니라 '만국공법(국제법)'이라고 주장했다.

그는	그/NP+는/JX
자신에게	자신/NNG+에게/JKB
적용되는	적용/NNG+되/XSV+는/ETM
법은	법/NNG+은/JX
일본의	일본/NNP+의/JKG
국내법이	국내법/NNG+이/JKC
아니라	아니/VCN+라/EC
'만국공법(국제법)'이라고	'/SS+만국/NNG+공법/NNG+(/SS+국제법/NNG+)/SS+'/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.277.3.3
1899년 제1차 헤이그 만국평화회의가 채택한 '육군 포로에 관한 법'은 의병도 교전단체로 규정하고 있다.

1899년	1899/SN+년/NNB
제1차	제/XPN+1/SN+차/NNB
헤이그	헤이그/NNP
만국평화회의가	만국/NNG+평화/NNG+회의/NNG+가/JKS
채택한	채택/NNG+하/XSV+ㄴ/ETM
'육군	'/SS+육군/NNG
포로에	포로/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법'은	법/NNG+'/SS+은/JX
의병도	의병/NNG+도/JX
교전단체로	교전/NNG+단체/NNG+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.277.4.1
안중근도 만국공법에 따라 일본군 포로를 석방한 일이 있었다.

안중근도	안중근/NNP+도/JX
만국공법에	만국/NNG+공법/NNG+에/JKB
따라	따르/VV+아/EC
일본군	일본군/NNG
포로를	포로/NNG+를/JKO
석방한	석방/NNG+하/XSV+ㄴ/ETM
일이	일/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.277.4.2
1908년 7월 국내진공 작전을 펼쳐 50여명 일본군 포로를 사로잡은 그는 "수용시설이 없는 포로는 돌려주어야 한다"는 만국공법에 따라 이들을 풀어주었다.

1908년	1908/SN+년/NNB
7월	7/SN+월/NNB
국내진공	국내/NNG+진공/NNG
작전을	작전/NNG+을/JKO
펼쳐	펼치/VV+어/EC
50여명	50/SN+여/XSN+명/NNB
일본군	일본군/NNG
포로를	포로/NNG+를/JKO
사로잡은	사로잡/VV+은/ETM
그는	그/NP+는/JX
"수용시설이	"/SS+수용/NNG+시설/NNG+이/JKS
없는	없/VA+는/ETM
포로는	포로/NNG+는/JX
돌려주어야	돌려주/VV+어야/EC
한다"는	하/VX+ㄴ다/EF+"/SS+는/ETM
만국공법에	만국/NNG+공법/NNG+에/JKB
따라	따르/VV+아/EC
이들을	이/NP+들/XSN+을/JKO
