# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.5
metadata : {}


# id : NWRW1800000024.5.1.1
미 “UN안보리 휴전성명 반대” /이스라엘 중동전략 측면지원

미	미/NNP
“UN안보리	“/SS+UN안보리/NNG
휴전성명	휴전/NNG+성명/NNG
반대”	반대/NNG+”/SS
/이스라엘	//SP+이스라엘/NNP
중동전략	중동/NNP+전략/NNG
측면지원	측면/NNG+지원/NNG


# id : NWRW1800000024.5.2.1
미국은 3일(현지시각) “하마스가 (휴전을) 지키지 않을 것이고 성공하기도 어렵다”는 이유를 내세워, 팔레스타인 가자지구의 휴전을 촉구하는 유엔 안전보장이사회 성명 채택을 무산시켰다.

미국은	미국/NNP+은/JX
3일(현지시각)	3/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
“하마스가	“/SS+하마스/NNP+가/JKS
(휴전을)	(/SS+휴전/NNG+을/JKO+)/SS
지키지	지키/VV+지/EC
않을	않/VX+을/ETM
것이고	것/NNB+이/VCP+고/EC
성공하기도	성공/NNG+하/XSV+기/ETN+도/JX
어렵다”는	어렵/VA+다/EF+”/SS+는/ETM
이유를	이유/NNG+를/JKO
내세워,	내세우/VV+어/EC+,/SP
팔레스타인	팔레스타인/NNP
가자지구의	가자지구/NNP+의/JKG
휴전을	휴전/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
유엔	유엔/NNP
안전보장이사회	안전/NNG+보장/NNG+이사회/NNG
성명	성명/NNG
채택을	채택/NNG+을/JKO
무산시켰다.	무산/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.5.3.1
미국 정부의 이런 태도는 이스라엘의 9일째 이어진 무력 공격으로 가자지구에서 사망자가 500명에 육박하는 등 피해가 심각해지자, 세계 각국이 즉각 휴전을 촉구하고 있는 것과는 거리가 있다.

미국	미국/NNP
정부의	정부/NNG+의/JKG
이런	이런/MMD
태도는	태도/NNG+는/JX
이스라엘의	이스라엘/NNP+의/JKG
9일째	9/SN+일/NNB+째/XSN
이어진	이어지/VV+ㄴ/ETM
무력	무력/NNG
공격으로	공격/NNG+으로/JKB
가자지구에서	가자지구/NNP+에서/JKB
사망자가	사망자/NNG+가/JKS
500명에	500/SN+명/NNB+에/JKB
육박하는	육박/NNG+하/XSV+는/ETM
등	등/NNB
피해가	피해/NNG+가/JKS
심각해지자,	심각하/VA+아/EC+지/VX+자/EC+,/SP
세계	세계/NNG
각국이	각국/NNG+이/JKS
즉각	즉각/MAG
휴전을	휴전/NNG+을/JKO
촉구하고	촉구/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것과는	것/NNB+과/JKB+는/JX
거리가	거리/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.5.3.2
조지 부시 미국 대통령은 이날 라디오 연설에서 “이스라엘에 (하마스의) 로켓 공격이 계속되는 일방적 휴전은 안 된다”고 말했다.

조지	조지/NNP
부시	부시/NNP
미국	미국/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
라디오	라디오/NNG
연설에서	연설/NNG+에서/JKB
“이스라엘에	“/SS+이스라엘/NNP+에/JKB
(하마스의)	(/SS+하마스/NNP+의/JKG+)/SS
로켓	로켓/NNG
공격이	공격/NNG+이/JKS
계속되는	계속/NNG+되/XSV+는/ETM
일방적	일방/NNG+적/XSN
휴전은	휴전/NNG+은/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.5.3.3
콘돌리자 라이스 국무장관은 이스라엘을 방문해, 공격 중단 등을 촉구할 계획이 없다고 밝혔다.

콘돌리자	콘돌리자/NNP
라이스	라이스/NNP
국무장관은	국무/NNG+장관/NNG+은/JX
이스라엘을	이스라엘/NNP+을/JKO
방문해,	방문/NNG+하/XSV+아/EC+,/SP
공격	공격/NNG
중단	중단/NNG
등을	등/NNB+을/JKO
촉구할	촉구/NNG+하/XSV+ㄹ/ETM
계획이	계획/NNG+이/JKS
없다고	없/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.5.4.1
미국은 이스라엘 편들기로 이스라엘의 전략을 측면 지원하고 있다.

미국은	미국/NNP+은/JX
이스라엘	이스라엘/NNP
편들기로	편들/VV+기/ETN+로/JKB
이스라엘의	이스라엘/NNP+의/JKG
전략을	전략/NNG+을/JKO
측면	측면/NNG
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.5.4.2
이는 중동의 전략적 지각판을 미국에 유리하게 재편하는 효과도 있다.

이는	이/NP+는/JX
중동의	중동/NNP+의/JKG
전략적	전략/NNG+적/XSN
지각판을	지각판/NNG+을/JKO
미국에	미국/NNP+에/JKB
유리하게	유리/NNG+하/XSA+게/EC
재편하는	재편/NNG+하/XSV+는/ETM
효과도	효과/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.5.5.1
