# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.333
metadata : {}


# id : NWRW1800000030.333.1.1
[노태우 회고록_정치자금과 나] 노태우가 말하는 주요 인물들

[노태우	[/SS+노태우/NNP
회고록_정치자금과	회고록/NNG+_/SS+정치/NNG+자금/NNG+과/JC
나]	나/NP+]/SS
노태우가	노태우/NNP+가/JKS
말하는	말/NNG+하/XSV+는/ETM
주요	주요/NNG
인물들	인물/NNG+들/XSN


# id : NWRW1800000030.333.2.1
•김영삼 - 모든게 권력 투쟁… 그를 오판했다, 김대중 - 대단한 인물… 점차 총명함 흐려져, 전두환 - 강한 우정… 생각 차이 어쩔 수 없어

•김영삼	•/SW+김영삼/NNP
-	-/SO
모든게	모든/MMN+거/NNB+이/JKS
권력	권력/NNG
투쟁…	투쟁/NNG+…/SE
그를	그/NP+를/JKO
오판했다,	오판/NNG+하/XSV+았/EP+다/EF+,/SP
김대중	김대중/NNP
대단한	대단하/VA+ㄴ/ETM
인물…	인물/NNG+…/SE
점차	점차/MAG
총명함	총명/NNG+하/XSA+ㅁ/ETN
흐려져,	흐려지/VV+어/EC+,/SP
전두환	전두환/NNP
강한	강하/VA+ㄴ/ETM
우정…	우정/NNG+…/SE
생각	생각/NNG
차이	차이/NNG
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EF


# id : NWRW1800000030.333.3.1
노태우 전 대통령은 회고록에서 전직 대통령을 포함한 현대사의 주역들과의 비화(秘話)와 함께 인물평을 솔직하게 내놓았다.

노태우	노태우/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
회고록에서	회고록/NNG+에서/JKB
전직	전직/NNG
대통령을	대통령/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
현대사의	현대사/NNG+의/JKG
주역들과의	주역/NNG+들/XSN+과/JKB+의/JKG
비화(秘話)와	비화/NNG+(/SS+秘話/SH+)/SS+와/JKB
함께	함께/MAG
인물평을	인물평/NNG+을/JKO
솔직하게	솔직하/VA+게/EC
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.333.3.2
다음은 그 요약이다.

다음은	다음/NNG+은/JX
그	그/MMD
요약이다.	요약/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.333.4.1
▶이승만 전 대통령=1954년 9월 이 대통령이 육사를 방문했다.

▶이승만	▶/SW+이승만/NNP
전	전/MMD
대통령=1954년	대통령/NNG+=/SW+1954/SN+년/NNB
9월	9/SN+월/NNB
이	이/NNP
대통령이	대통령/NNG+이/JKS
육사를	육사/NNP+를/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.333.4.2
이 대통령은 옆의 국방장관에게 "여기가 어디지?"라고 묻는 등 정신이 맑지 못한 상태였다.

이	이/NNP
대통령은	대통령/NNG+은/JX
옆의	옆/NNG+의/JKG
국방장관에게	국방/NNG+장관/NNG+에게/JKB
"여기가	"/SS+여기/NP+가/JKS
어디지?"라고	어디/NP+이/VCP+지/EF+?/SF+"/SS+라고/JKQ
묻는	묻/VV+는/ETM
등	등/NNB
정신이	정신/NNG+이/JKS
맑지	맑/VA+지/EC
못한	못하/VX+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.333.4.3
어린 마음에도 아찔함을 느끼지 않을 수 없었다.

어린	어리/VA+ㄴ/ETM
